path,ko_current,ja_value,proposed_ko,source,ns
ruleEnginePage.marketing.creativeSyncDesc1,カテゴリを選択し、,カテゴリを選択し、,"카테고리를 선택하고,",b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.creativeSyncDesc2,ボタンをクリックすると選択したカテゴリが,ボタンをクリックすると選択したカテゴリが,버튼을 클릭하면 선택한 카테고리가,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.creativeSyncDesc4,されます。,されます。,됩니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.aiRecommendBadge,AI推奨チャネル自動選択 · 変更可能,AI推奨チャネル自動選択 · 変更可能,AI 추천 채널 자동 선택 · 변경 가능,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.cat_platform,プラットフォーム・SaaS,プラットフォーム・SaaS,플랫폼·SaaS,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.alertNewApproval,新規マーケティングキャンペーンの承認リクエストが提出されました。,新規マーケティングキャンペーンの承認リクエストが提出されました。,새 마케팅 캠페인 승인 요청이 제출되었습니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.alertSelectCatCh,カテゴリと広告チャネルを1つ以上選択してください。,カテゴリと広告チャネルを1つ以上選択してください。,카테고리와 광고 채널을 1개 이상 선택해주세요.,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.alertSimulateError,AI戦略シミュレーションに失敗しました。もう一度お試しください。,AI戦略シミュレーションに失敗しました。もう一度お試しください。,AI 전략 시뮬레이션에 실패했습니다. 다시 시도해주세요.,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.approvalSubtitle,マーケティング戦略のレビューと承認,マーケティング戦略のレビューと承認,마케팅 전략 검토 및 승인,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.approvalWarning1,⚠ 承認後、選択したチャネルで広告が自動実行されます。慎重にご確認ください。,⚠ 承認後、選択したチャネルで広告が自動実行されます。慎重にご確認ください。,⚠ 승인 후 선택한 채널에서 광고가 자동 실행됩니다. 신중하게 확인해주세요.,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.approvalWarning2,📊 承認後、キャンペーンマネージャーでリアルタイム成果を確認できます。,📊 承認後、キャンペーンマネージャーでリアルタイム成果を確認できます。,📊 승인 후 캠페인 매니저에서 실시간 성과를 확인할 수 있습니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.reason1,📈 過去のキャンペーンデータに基づく最適化,📈 過去のキャンペーンデータに基づく最適化,📈 과거 캠페인 데이터 기반 최적화,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.reason2,🎯 ターゲット層に基づくカスタマイズチャネル選択,🎯 ターゲット層に基づくカスタマイズチャネル選択,🎯 타겟층 기반 맞춤 채널 선택,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.reason3,💰 最大ROIのためのAI予算最適配分,💰 最大ROIのためのAI予算最適配分,💰 최대 ROI를 위한 AI 예산 최적 배분,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.reason4,⏱ 最適なキャンペーンスケジュール選定,⏱ 最適なキャンペーンスケジュール選定,⏱ 최적의 캠페인 일정 선정,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.reason5,🧠 AI推奨クリエイティブ方向性,🧠 AI推奨クリエイティブ方向性,🧠 AI 추천 크리에이티브 방향성,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.tier1,🏆 プレミアム（3億ウォン以上）,🏆 プレミアム（3億ウォン以上）,🏆 프리미엄(3억 원 이상),b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.tier2,🥇 エンタープライズ（5千万ウォン以上）,🥇 エンタープライズ（5千万ウォン以上）,🥇 엔터프라이즈(5천만 원 이상),b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.tier3,🥈 グロース（1千万ウォン以上）,🥈 グロース（1千万ウォン以上）,🥈 그로스(1천만 원 이상),b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.tier4,🥉 スターター（3百万ウォン以上）,🥉 スターター（3百万ウォン以上）,🥉 스타터(300만 원 이상),b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.tier5,📦 フリー,📦 フリー,📦 무료,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.guideStartBtn,今すぐ開始,今すぐ開始,지금 시작,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.guideTabSetupName,キャンペーン設定,キャンペーン設定,캠페인 설정,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.guideTabSetupDesc,予算、カテゴリ、広告チャネルを設定しAI推薦を受けます。,予算、カテゴリ、広告チャネルを設定しAI推薦を受けます。,"예산, 카테고리, 광고 채널을 설정하고 AI 추천을 받습니다.",b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.guideTabPreviewName,シミュレーション結果,シミュレーション結果,시뮬레이션 결과,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.guideTabPreviewDesc,チャネル別予算配分と予想指標をプレビューします。,チャネル別予算配分と予想指標をプレビューします。,채널별 예산 배분과 예상 지표를 미리 확인합니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.tabCompare,キャンペーン比較,キャンペーン比較,캠페인 비교,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.noConnectedChannels,連携ハブでAPIキーを登録してください,連携ハブでAPIキーを登録してください,연동 허브에서 API 키를 등록해주세요,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.noCreativeData,クリエイティブデータなし,クリエイティブデータなし,크리에이티브 데이터 없음,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.noCreativeDesc,AIオートマーケティングでキャンペーンを作成してください,AIオートマーケティングでキャンペーンを作成してください,AI 오토 마케팅으로 캠페인을 생성해주세요,b8_batch_08,ruleEnginePage
ruleEnginePage.marketing.creativePerformance,素材別クリック・CV分析,素材別クリック・CV分析,소재별 클릭·전환 분석,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.creativeTable,素材別成果テーブル,素材別成果テーブル,소재별 성과 테이블,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.colCreativeName,素材/キャンペーン名,素材/キャンペーン名,소재/캠페인명,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.selectCampaigns,キャンペーン選択(最大4),キャンペーン選択(最大4),캠페인 선택(최대 4개),b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.selectCampaignsDesc,2つ以上選択して比較,2つ以上選択して比較,2개 이상 선택하여 비교,b8_batch_08,ruleEnginePage
ruleEnginePage.marketing.noCampaigns,キャンペーンがありません,キャンペーンがありません,캠페인이 없습니다,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.radarCompare,レーダー比較,レーダー比較,레이더 비교,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.selectAtLeast2,2つ以上選択してください,2つ以上選択してください,2개 이상 선택해주세요,b8_batch_08,ruleEnginePage
ruleEnginePage.marketing.guideTabStatusDesc,キャンペーン/広告セット分析,キャンペーン/広告セット分析,캠페인/광고 세트 분석,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.guideTabCompareDesc,レーダーチャートとKPI比較,レーダーチャートとKPI比較,레이더 차트와 KPI 비교,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.bgForecastChart,消化予測チャート,消化予測チャート,소진 예측 차트,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.bgForecastBudgetLine,予算ライン,予算ライン,예산 라인,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.bgForecastUnder,現在のペースでは月末まで予算内です。,現在のペースでは月末まで予算内です。,현재 페이스라면 월말까지 예산 내에서 운영 가능합니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.bgForecastOver,予算超過が予測されます。再配分を検討してください。,予算超過が予測されます。再配分を検討してください。,예산 초과가 예상됩니다. 재배분을 검토해주세요.,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.bgGuideTitle,予算管理ガイド,予算管理ガイド,예산 관리 가이드,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.bgGuideSub,予算管理のすべてをご案内します,予算管理のすべてをご案内します,예산 관리의 전체 흐름을 안내합니다,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.bgGuideStepsTitle,管理6ステップ,管理6ステップ,관리 6단계,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.bgGuideStep1Desc,概要タブのKPIカードで総配分予算、実際の支出、残高を一目で確認します。バーンレートのドーナツチャートとカテゴリ配分でリアルタイムに予算の健全性を評価します。,概要タブのKPIカードで総配分予算、実際の支出、残高を一目で確認します。バーンレートのドーナツチャートとカテゴリ配分でリアルタイムに予算の健全性を評価します。,"개요 탭의 KPI 카드에서 총 배분 예산, 실제 지출, 잔액을 한눈에 확인합니다. 번레이트 도넛 차트와 카테고리 배분으로 예산 건전성을 실시간 평가합니다.",b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.bgGuideStep2Desc,ドーナツチャートで現在の予算消化率を監視します。70%以上でオレンジ、90%以上で赤の警告が表示されます。トップチャネルの支出ランキングを確認します。,ドーナツチャートで現在の予算消化率を監視します。70%以上でオレンジ、90%以上で赤の警告が表示されます。トップチャネルの支出ランキングを確認します。,"도넛 차트로 현재 예산 소진율을 모니터링합니다. 70% 이상은 주황색, 90% 이상은 빨간색 경고로 표시됩니다. 상위 채널 지출 순위도 확인할 수 있습니다.",b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.bgGuideStep3Desc,チャネルペーシングタブで各広告チャネルの配分予算vs実際支出を追跡します。ON TRACK/OVERSPEND/UNDERSPEND状態でリアルタイム監視します。,チャネルペーシングタブで各広告チャネルの配分予算vs実際支出を追跡します。ON TRACK/OVERSPEND/UNDERSPEND状態でリアルタイム監視します。,채널 페이싱 탭에서 각 광고 채널의 배분 예산과 실제 지출을 비교 추적합니다. ON TRACK/OVERSPEND/UNDERSPEND 상태로 실시간 모니터링합니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.bgGuideStep4Title,キャンペーン分析,キャンペーン分析,캠페인 분석,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.bgGuideStep4Desc,キャンペーンタブで個別キャンペーンのインプレッション、CTR、予算、支出、利益、CPC、CPA、ROIを詳細分析します。,キャンペーンタブで個別キャンペーンのインプレッション、CTR、予算、支出、利益、CPC、CPA、ROIを詳細分析します。,"캠페인 탭에서 개별 캠페인의 노출, CTR, 예산, 지출, 이익, CPC, CPA, ROI를 상세 분석합니다.",b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.bgGuideStep5Desc,P&Lタブで売上からCOGS、粗利、広告費、プラットフォーム手数料、営業利益までウォーターフォール分析を提供します。,P&Lタブで売上からCOGS、粗利、広告費、プラットフォーム手数料、営業利益までウォーターフォール分析を提供します。,"P&L 탭에서 매출, COGS, 매출총이익, 광고비, 플랫폼 수수료, 영업이익까지 워터폴 분석을 제공합니다.",b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.bgGuideStep6Desc,予測タブで日平均消化額と月末予想消化を自動計算します。予測チャートで実績と予測を比較して予算超過リスクを事前検知します。,予測タブで日平均消化額と月末予想消化を自動計算します。予測チャートで実績と予測を比較して予算超過リスクを事前検知します。,예측 탭에서 일평균 소진액과 월말 예상 소진액을 자동 계산합니다. 예측 차트에서 실적과 예측을 비교해 예산 초과 리스크를 사전에 감지합니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.bgGuideTabOverviewDesc,総予算、実績、残高、バーンレート、カテゴリ配分、月次トレンドを一画面で確認します。,総予算、実績、残高、バーンレート、カテゴリ配分、月次トレンドを一画面で確認します。,"총예산, 실적, 잔액, 번레이트, 카테고리 배분, 월별 트렌드를 한 화면에서 확인합니다.",b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.bgGuideTabPacingName,ペーシング,ペーシング,페이싱,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.bgGuideTabPacingDesc,チャネル別の配分vs実績をバーチャートと詳細テーブルで分析します。,チャネル別の配分vs実績をバーチャートと詳細テーブルで分析します。,채널별 배분 대비 실적을 막대 차트와 상세 테이블로 분석합니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.bgGuideTabCampaignsDesc,キャンペーン別の詳細指標をテーブルで確認します。,キャンペーン別の詳細指標をテーブルで確認します。,캠페인별 상세 지표를 표로 확인합니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.bgGuideTabPnlDesc,売上から営業利益までのP&Lウォーターフォール分析とマージン/ROASサマリーを提供します。,売上から営業利益までのP&Lウォーターフォール分析とマージン/ROASサマリーを提供します。,매출부터 영업이익까지의 P&L 워터폴 분석과 마진/ROAS 요약을 제공합니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.bgGuideTabForecastDesc,日平均消化に基づく月末予算消化予測と超過リスクの事前検知を行います。,日平均消化に基づく月末予算消化予測と超過リスクの事前検知を行います。,일평균 소진액을 기반으로 월말 예산 소진을 예측하고 초과 리스크를 사전에 감지합니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.bgGuideTip1,消化率80%超で再配分検討,消化率80%超で再配分検討,소진율 80% 초과 시 재배분 검토,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.bgGuideTip2,超過チャネルは即調整,超過チャネルは即調整,초과 채널은 즉시 조정,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.bgGuideTip3,営業利益マイナスは要注意,営業利益マイナスは要注意,영업이익이 마이너스이면 주의가 필요합니다,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.bgGuideTip4,予測線超過で月末超過予測,予測線超過で月末超過予測,예측선을 초과해 월말 예산 초과 예상,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.abPageTitle,AI予算配分エンジン,AI予算配分エンジン,AI 예산 배분 엔진,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.abPageSub,データ駆動型AI予算配分,データ駆動型AI予算配分,데이터 기반 AI 예산 배분,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.abInputTitle,総予算を入力,総予算を入力,총예산 입력,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.abInputDesc,AIが最適配分を推奨,AIが最適配分を推奨,AI가 최적 배분 추천,b8_batch_08,ruleEnginePage
ruleEnginePage.marketing.abBtnGenerate,AIプラン生成,AIプラン生成,AI 플랜 생성,b8_batch_08,ruleEnginePage
ruleEnginePage.marketing.abMinBudget,"100,000以上入力してください","100,000以上入力してください","100,000 이상 입력해주세요",b8_batch_08,ruleEnginePage
ruleEnginePage.marketing.abStep1,ROAS・CACデータ分析中...,ROAS・CACデータ分析中...,ROAS·CAC 데이터 분석 중...,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.abStep2,チャネルリスク評価中...,チャネルリスク評価中...,채널 리스크 평가 중...,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.abStep3,LTVモデル適用中...,LTVモデル適用中...,LTV 모델 적용 중...,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.abReasonMeta,MetaのLTV予測により配分,MetaのLTV予測により配分,Meta LTV 예측 기반 배분,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.abReasonGoogle,検索コンバージョン確保,検索コンバージョン確保,검색 전환 확보,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.abReasonTiktokTitle,バイラル・低CPM,バイラル・低CPM,바이럴·낮은 CPM,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.abReasonTiktok,低CPMで新規獲得,低CPMで新規獲得,낮은 CPM으로 신규 고객 확보,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.abReasonYoutubeTitle,認知＆リマケ,認知＆リマケ,인지도 & 리마케팅,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.abReasonYoutube,ブランド認知と動画リマケ,ブランド認知と動画リマケ,브랜드 인지도와 동영상 리마케팅,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.abReasonNaver,ネイバー検索広告,ネイバー検索広告,네이버 검색 광고,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.abReasonKakao,カカオトーク活用,カカオトーク活用,카카오톡 활용,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.abOptTip,最適化ヒント,最適化ヒント,최적화 팁,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.abOptTipText,14日ごとにクリエイティブ更新,14日ごとにクリエイティブ更新,14일마다 크리에이티브 업데이트,b8_batch_08,ruleEnginePage
ruleEnginePage.marketing.abBtnDownload,レポートDL,レポートDL,리포트 다운로드,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.abBtnApply,キャンペーンに適用,キャンペーンに適用,캠페인에 적용,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.abGuideTitle,AI予算配分ガイド,AI予算配分ガイド,AI 예산 배분 가이드,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.abGuideSub,AIの配分方法と活用法,AIの配分方法と活用法,AI 배분 방식 및 활용법,b8_batch_08,ruleEnginePage
ruleEnginePage.marketing.abGuideStepsTitle,6ステップ,6ステップ,6단계,b8_batch_08,ruleEnginePage
ruleEnginePage.marketing.abGuideStep1Desc,連携ハブでMeta、Google、TikTokなどのAPIキーを登録すると、AI予算配分に自動的にチャネルが追加されます。各チャネルの過去実績データに基づいてAIが最適な配分を計算します。,連携ハブでMeta、Google、TikTokなどのAPIキーを登録すると、AI予算配分に自動的にチャネルが追加されます。各チャネルの過去実績データに基づいてAIが最適な配分を計算します。,"연동 허브에서 Meta, Google, TikTok 등의 API 키를 등록하면 AI 예산 배분에 채널이 자동 추가됩니다. AI는 각 채널의 과거 실적 데이터를 기반으로 최적 배분을 계산합니다.",b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.abGuideStep2Desc,月間総予算を入力するとAIエンジンが5段階分析で各チャネルの最適予算を自動配分します。予算規模に応じて高予算・低予算戦略が自動的に区分されます。,月間総予算を入力するとAIエンジンが5段階分析で各チャネルの最適予算を自動配分します。予算規模に応じて高予算・低予算戦略が自動的に区分されます。,월간 총예산을 입력하면 AI 엔진이 5단계 분석을 통해 각 채널의 최적 예산을 자동 배분합니다. 예산 규모에 따라 고예산·저예산 전략이 자동으로 구분됩니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.abGuideStep3Desc,チャネル別の配分予算、予想ROAS、予想CAC、過去比CAC変動率を詳細分析します。円グラフと棒グラフで配分比率を可視化します。,チャネル別の配分予算、予想ROAS、予想CAC、過去比CAC変動率を詳細分析します。円グラフと棒グラフで配分比率を可視化します。,"채널별 배분 예산, 예상 ROAS, 예상 CAC, 과거 대비 CAC 변동률을 상세 분석합니다. 원형 차트와 막대 차트로 배분 비율을 시각화합니다.",b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.abGuideStep4Desc,AIが提示するチャネル別戦略根拠を確認します。最適化のヒントとともに詳細に説明します。,AIが提示するチャネル別戦略根拠を確認します。最適化のヒントとともに詳細に説明します。,AI가 제시한 채널별 전략 근거를 확인합니다. 최적화 팁과 함께 상세히 안내합니다.,b8_batch_08,ruleEnginePage
ruleEnginePage.marketing.abGuideStep5Desc,配分結果をPDF/Excelでダウンロード、または「適用」ボタンで実際のキャンペーン予算に即座に反映できます。,配分結果をPDF/Excelでダウンロード、または「適用」ボタンで実際のキャンペーン予算に即座に反映できます。,배분 결과를 PDF/Excel로 다운로드하거나 ‘적용’ 버튼으로 실제 캠페인 예산에 즉시 반영할 수 있습니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.abGuideStep6Desc,配分後の実績をモニタリングし、次回配分時にAIがより精密な推奨を提供します。,配分後の実績をモニタリングし、次回配分時にAIがより精密な推奨を提供します。,배분 후 실적을 모니터링하면 다음 배분 시 AI가 더 정밀한 추천을 제공합니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.abGuideTip1,連携チャネルが多いほどAIの配分精度が向上します。最低3チャネル以上連携してください。,連携チャネルが多いほどAIの配分精度が向上します。最低3チャネル以上連携してください。,연동 채널이 많을수록 AI 배분 정확도가 높아집니다. 최소 3개 채널 이상 연동해주세요.,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.abGuideTip2,高予算と低予算でAIの配分戦略が異なります。,高予算と低予算でAIの配分戦略が異なります。,고예산과 저예산에 따라 AI 배분 전략이 달라집니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.abGuideTip3,CAC変動率がマイナスなら顧客獲得効率が改善されています。,CAC変動率がマイナスなら顧客獲得効率が改善されています。,CAC 변동률이 마이너스이면 고객 획득 효율이 개선되고 있습니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.abGuideTip4,Blended ROASが200%以上なら全体収益性は良好です。,Blended ROASが200%以上なら全体収益性は良好です。,Blended ROAS가 200% 이상이면 전체 수익성이 양호합니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.abGuideTip5,配分結果をダウンロードしてチームと共有し承認後に適用しましょう。,配分結果をダウンロードしてチームと共有し承認後に適用しましょう。,배분 결과를 다운로드해 팀과 공유하고 승인 후 적용해보세요.,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.tabCreative,① キャンペーン設定,① キャンペーン設定,① 캠페인 설정,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.heroSub,月間予算を設定すると、AIがTikTok・Meta・Naverなどに最適化されたマーケティング戦略を自動で立案します。,月間予算を設定すると、AIがTikTok・Meta・Naverなどに最適化されたマーケティング戦略を自動で立案します。,월간 예산을 설정하면 AI가 TikTok·Meta·Naver 등에 최적화된 마케팅 전략을 자동으로 수립합니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.marketing.guideTabOverviewName,パフォーマンス概要,パフォーマンス概要,성과 개요,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.guideTabOverviewDesc,KPIカードとデュアル軸トレンドチャートで全体の広告パフォーマンスを把握します。,KPIカードとデュアル軸トレンドチャートで全体の広告パフォーマンスを把握します。,KPI 카드와 듀얼 축 트렌드 차트로 전체 광고 성과를 파악합니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.guideTabCreativeName,クリエイティブ分析,クリエイティブ分析,크리에이티브 분석,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.guideTabCreativeDesc,キャンペーン別のクリック・コンバージョンを比較し、最高パフォーマンスのクリエイティブを特定します。,キャンペーン別のクリック・コンバージョンを比較し、最高パフォーマンスのクリエイティブを特定します。,캠페인별 클릭·전환을 비교해 가장 성과가 높은 크리에이티브를 확인합니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.marketing.tabAiDesign,AIデザイン,AIデザイン,AI 디자인,b8_batch_08,ruleEnginePage
ruleEnginePage.marketing.channelFeeDesc,連携チャネルの手数料率を確認,連携チャネルの手数料率を確認,연동 채널 수수료율 확인,b8_batch_10,ruleEnginePage
ruleEnginePage.heroDescI18n,すべてのチャネルの注文をリアルタイムで収集・管理・分析します。,すべてのチャネルの注文をリアルタイムで収集・管理・分析します。,모든 채널의 주문을 실시간으로 수집·관리·분석합니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.crmSyncDoneMsg,顧客情報がCRMに正常に同期されました。,顧客情報がCRMに正常に同期されました。,고객 정보가 CRM에 정상적으로 동기화되었습니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.crmSyncFailMsg,CRM同期に失敗しました。,CRM同期に失敗しました。,CRM 동기화에 실패했습니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.crmViewBtn,CRMへ移動,CRMへ移動,CRM으로 이동,b8_batch_09,ruleEnginePage
ruleEnginePage.carrierCJ,CJ ロジスティクス,CJ ロジスティクス,CJ대한통운,b8_batch_09,ruleEnginePage
ruleEnginePage.carrierLotte,ロッテ宅配,ロッテ宅配,롯데택배,b8_batch_10,ruleEnginePage
ruleEnginePage.carrierLogen,ロジェン宅配,ロジェン宅配,로젠택배,b8_batch_10,ruleEnginePage
ruleEnginePage.guideStep7Desc,B2Bタブで大量注文を別途管理します。,B2Bタブで大量注文を別途管理します。,B2B 탭에서 대량 주문을 별도로 관리합니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.guideStep8Desc,自動ルーティングタブで条件別ルールを作成・管理します。,自動ルーティングタブで条件別ルールを作成・管理します。,자동 라우팅 탭에서 조건별 규칙을 생성·관리합니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.liveFeedTitle,リアルタイム注文フィード,リアルタイム注文フィード,실시간 주문 피드,b8_batch_10,ruleEnginePage
ruleEnginePage.tabRouting,自動ルーティング,自動ルーティング,자동 라우팅,b8_batch_10,ruleEnginePage
ruleEnginePage.deliveryNoData,配送データなし,配送データなし,배송 데이터 없음,b8_batch_10,ruleEnginePage
ruleEnginePage.claimColId,クレームID,クレームID,클레임 ID,b8_batch_09,ruleEnginePage
ruleEnginePage.claimNoData,クレームなし,クレームなし,클레임 없음,b8_batch_09,ruleEnginePage
ruleEnginePage.intlNoData,国際注文なし,国際注文なし,국제 주문 없음,b8_batch_10,ruleEnginePage
ruleEnginePage.intlShipGuide,配送ガイド,配送ガイド,배송 가이드,b8_batch_10,ruleEnginePage
ruleEnginePage.intlDdpDesc,DDP:販売者が関税を負担します。,DDP:販売者が関税を負担します。,DDP: 판매자가 관세를 부담합니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.intlDduDesc,DDU:購入者が関税を負担します。,DDU:購入者が関税を負担します。,DDU: 구매자가 관세를 부담합니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.settingsDesc,注文収集と通知設定を管理します。,注文収集と通知設定を管理します。,주문 수집과 알림 설정을 관리합니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.settingsAutoCollectDesc,連携チャネルからリアルタイムで自動収集します。,連携チャネルからリアルタイムで自動収集します。,연동 채널에서 실시간으로 자동 수집합니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.settingsSlaMonitorDesc,チャネル別SLAを監視します。,チャネル別SLAを監視します。,채널별 SLA를 모니터링합니다.,b8_batch_09,ruleEnginePage
ruleEnginePage.settingsNotifDesc,新規注文・クレーム・SLA違反時に通知します。,新規注文・クレーム・SLA違反時に通知します。,새 주문·클레임·SLA 위반 시 알립니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.routingEngineDesc,条件別自動配送ルール管理,条件別自動配送ルール管理,조건별 자동 배송 규칙 관리,b8_batch_10,ruleEnginePage
ruleEnginePage.routingSimBtn,シミュレーション,シミュレーション,시뮬레이션,b8_batch_09,ruleEnginePage
ruleEnginePage.routingAddBtn,＋ルール追加,＋ルール追加,+ 규칙 추가,b8_batch_10,ruleEnginePage
ruleEnginePage.routingNewRule,新規ルール,新規ルール,새 규칙,b8_batch_10,ruleEnginePage
ruleEnginePage.routingMatched,マッチ,マッチ,매치,b8_batch_09,ruleEnginePage
ruleEnginePage.routingNoRules,ルールがありません。,ルールがありません。,규칙이 없습니다.,b8_batch_10,ruleEnginePage
ruleEnginePage.ovChannelSales,チャネル別売上,チャネル別売上,채널별 매출,b8_batch_09,ruleEnginePage
ruleEnginePage.ovPickingList,ピッキングリスト,ピッキングリスト,피킹 리스트,b8_batch_09,ruleEnginePage
ruleEnginePage.ovPackingSlip,パッキングスリップ,パッキングスリップ,패킹 슬립,b8_batch_09,ruleEnginePage
ruleEnginePage.ovClaimRate,クレーム率,クレーム率,클레임률,b8_batch_09,ruleEnginePage
ruleEnginePage.ovActiveChannels,有効チャネル,有効チャネル,활성 채널,b8_batch_10,ruleEnginePage
ruleEnginePage.enhTimelineTitle,注文タイムライン,注文タイムライン,주문 타임라인,b8_batch_10,ruleEnginePage
ruleEnginePage.enhMemoTitle,メモ,メモ,메모,b8_batch_10,ruleEnginePage
