path,ko_current,ja_value,proposed_ko,ns,type
crm.email.pxl.createPixelBtn,ピクセル作成,ピクセル作成,,crm,string
crm.email.pxl.pixelList,ピクセル一覧,ピクセル一覧,,crm,string
crm.email.pxl.noPixels,作成されたピクセルがありません,作成されたピクセルがありません,,crm,string
crm.email.pxl.snippet,スニペット,スニペット,,crm,string
crm.email.pxl.deleteConfirm,このピクセルを削除しますか？,このピクセルを削除しますか？,,crm,string
crm.email.pxl.snippetTitle,インストールスニペットコード,インストールスニペットコード,,crm,string
crm.email.pxl.snippetGuide1,上記のコードをウェブサイトの ,上記のコードをウェブサイトの ,,crm,string
crm.email.pxl.snippetGuide2, タグ内に貼り付けてください。, タグ内に貼り付けてください。,,crm,string
crm.email.pxl.snippetGuide3,Meta CAPIとTikTok Events APIにサーバーサイドで自動転送されます。,Meta CAPIとTikTok Events APIにサーバーサイドで自動転送されます。,,crm,string
crm.email.pxl.testEventSend,テストイベント送信,テストイベント送信,,crm,string
crm.email.pxl.eventType,イベントタイプ,イベントタイプ,,crm,string
crm.email.pxl.sendEvent,イベント送信,イベント送信,,crm,string
crm.email.pxl.realtimeStream,リアルタイムイベントストリーム,リアルタイムイベントストリーム,,crm,string
crm.email.pxl.noEvents,イベントなし — テストイベントを送信するかピクセルをインストールしてください,イベントなし — テストイベントを送信するかピクセルをインストールしてください,,crm,string
crm.email.pxl.secAlert,🚨 セキュリティ警告：不審な入力を検知,🚨 セキュリティ警告：不審な入力を検知,,crm,string
crm.email.pxl.secBlocked,ブロック済み,ブロック済み,,crm,string
crm.email.pxl.secTotal,件の脅威を検知,件の脅威を検知,,crm,string
crm.email.pxl.secLockTitle,セキュリティロック有効,セキュリティロック有効,,crm,string
crm.email.pxl.secLockDesc,異常なリクエストパターンが検知されました。セキュリティロックが有効化されました。,異常なリクエストパターンが検知されました。セキュリティロックが有効化されました。,,crm,string
crm.email.pxl.secLockWait,30秒後に自動解除されます,30秒後に自動解除されます,,crm,string
crm.email.pxl.secInputBlocked,セキュリティ：危険な入力がブロックされました,セキュリティ：危険な入力がブロックされました,,crm,string
crm.email.settlements.pageTitle,チャネル精算管理,チャネル精算管理,,crm,string
crm.email.settlements.pageDesc,プラットフォーム別精算額追跡・手数料分析・元帳照合,プラットフォーム別精算額追跡・手数料分析・元帳照合,,crm,string
crm.email.settlements.importBtn,+ インポート,+ インポート,,crm,string
crm.email.settlements.csvDownload,CSVダウンロード,CSVダウンロード,,crm,string
crm.email.settlements.csvSuccess,✓ CSVダウンロード完了,✓ CSVダウンロード完了,,crm,string
crm.email.settlements.importSuccess,✓ インポート成功,✓ インポート成功,,crm,string
crm.email.settlements.kpiPending,精算待ち,精算待ち,,crm,string
crm.email.settlements.kpiOrderSub,確定済み,確定済み,,crm,string
crm.email.settlements.kpiPendingWarn,手動確認が必要,手動確認が必要,,crm,string
crm.email.settlements.channelNetTitle,チャネル別Net Payout,チャネル別Net Payout,,crm,string
crm.email.settlements.searchPlaceholder,チャネル・注文番号検索,チャネル・注文番号検索,,crm,string
crm.email.settlements.exchangeRate,為替レート,為替レート,,crm,string
crm.email.settlements.detailCsvBtn,CSVエクスポート,CSVエクスポート,,crm,string
crm.email.settlements.detailCsvDone,✓ CSVダウンロード完了,✓ CSVダウンロード完了,,crm,string
crm.email.settlements.emptyTitle,精算データなし,精算データなし,,crm,string
crm.email.settlements.emptyDesc,連携ハブでチャネルを接続すると精算データが自動収集されます,連携ハブでチャネルを接続すると精算データが自動収集されます,,crm,string
crm.email.settlements.emptyGoHub,連携ハブへ移動,連携ハブへ移動,,crm,string
crm.email.settlements.autoFeeDesc,チャネル接続時に標準手数料率が自動適用,チャネル接続時に標準手数料率が自動適用,,crm,string
crm.aiHub.reviews.escalated,CSエスカレーション完了,CSエスカレーション完了,,crm,string
crm.aiHub.reviews.escalationTitle,危険レビュー確認,危険レビュー確認,,crm,string
crm.aiHub.reviews.escalationBody,迅速な処理が必要です。,迅速な処理が必要です。,,crm,string
crm.aiHub.reviews.bulkEscalate,ネガティブレビュー一括エスカレーション,ネガティブレビュー一括エスカレーション,,crm,string
crm.aiHub.reviews.kpiNegative,ネガティブレビュー,ネガティブレビュー,,crm,string
crm.aiHub.reviews.escalationCount,エスカレーション,エスカレーション,,crm,string
crm.aiHub.reviews.channelRatingTitle,チャネル別評価,チャネル別評価,,crm,string
crm.aiHub.reviews.negKeywordsTitle,ネガティブキーワードTop 5,ネガティブキーワードTop 5,,crm,string
crm.aiHub.reviews.autoAlertActive,自動アラート有効,自動アラート有効,,crm,string
crm.aiHub.reviews.autoAlertDesc,ネガティブキーワード急増時Slackに自動通知,ネガティブキーワード急増時Slackに自動通知,,crm,string
crm.aiHub.reviews.feedTitle,レビューフィード,レビューフィード,,crm,string
crm.aiHub.reviews.feedSub,AI返信案・CSエスカレーション,AI返信案・CSエスカレーション,,crm,string
crm.aiHub.reviews.filterPositive,ポジティブ,ポジティブ,,crm,string
crm.aiHub.reviews.filterNeutral,ニュートラル,ニュートラル,,crm,string
crm.aiHub.reviews.filterNegative,ネガティブ,ネガティブ,,crm,string
crm.aiHub.reviews.sentiment_positive,ポジティブ,ポジティブ,,crm,string
crm.aiHub.reviews.sentiment_neutral,ニュートラル,ニュートラル,,crm,string
crm.aiHub.reviews.sentiment_negative,ネガティブ,ネガティブ,,crm,string
crm.aiHub.reviews.csAssigned,CS配置済み,CS配置済み,,crm,string
crm.aiHub.reviews.foundHelpful,人が役立った,人が役立った,,crm,string
crm.aiHub.reviews._32,🤖 AIリアルタイムクリエイター総合評価,🤖 AIリアルタイムクリエイター総合評価,,crm,string
crm.aiHub.reviews.txt_ClaudeSonn_33,AIモデル駆動 · ROI·コンバージョン·エンゲージメント·コミッション推奨·契約更新提案 + 地域·年齢·性別分析,AIモデル駆動 · ROI·コンバージョン·エンゲージメント·コミッション推奨·契約更新提案 + 地域·年齢·性別分析,,crm,string
crm.aiHub.reviews.C_35,AIがクリエイターデータを分析中です...,AIがクリエイターデータを分析中です...,,crm,string
crm.aiHub.reviews.tabFeed,レビュー管理,レビュー管理,,crm,string
crm.aiHub.reviews.tabTrend,トレンド,トレンド,,crm,string
crm.aiHub.reviews.kpiTotalSub2,接続チャネル合計,接続チャネル合計,,crm,string
crm.aiHub.reviews.kpiAvgRatingSub2,全チャネル加重平均,全チャネル加重平均,,crm,string
crm.aiHub.reviews.noTrendData,トレンドデータがありません,トレンドデータがありません,,crm,string
crm.aiHub.reviews.noTrendDataSub,レビューデータが蓄積されると感情分析トレンドが自動的に表示されます。,レビューデータが蓄積されると感情分析トレンドが自動的に表示されます。,,crm,string
crm.aiHub.reviews.trendTitle,感情分析トレンド,感情分析トレンド,,crm,string
crm.aiHub.reviews.settingsTitle,レビュー管理設定,レビュー管理設定,,crm,string
crm.aiHub.reviews.aiToneLabel,AI返信トーン,AI返信トーン,,crm,string
crm.aiHub.reviews.toneProfessional,プロフェッショナル,プロフェッショナル,,crm,string
crm.aiHub.reviews.toneFriendly,フレンドリー,フレンドリー,,crm,string
crm.aiHub.reviews.toneFormal,フォーマル,フォーマル,,crm,string
crm.aiHub.reviews.autoEscalateLabel,自動エスカレーション,自動エスカレーション,,crm,string
crm.aiHub.reviews.autoEscalateDesc,1★のネガティブレビューを自動エスカレーション,1★のネガティブレビューを自動エスカレーション,,crm,string
crm.aiHub.reviews.slackWebhookSub,ネガティブキーワード急増時に自動通知を受け取るSlack Webhook URLを入力してください。,ネガティブキーワード急増時に自動通知を受け取るSlack Webhook URLを入力してください。,,crm,string
crm.aiHub.reviews.guideDashDesc,KPI要約、チャネル別評価、ネガティブキーワード監視,KPI要約、チャネル別評価、ネガティブキーワード監視,,crm,string
crm.aiHub.reviews.guideFeedName,レビュー管理,レビュー管理,,crm,string
crm.aiHub.reviews.guideFeedDesc,レビューフィルタリング、AI返信生成、CSエスカレーション,レビューフィルタリング、AI返信生成、CSエスカレーション,,crm,string
crm.aiHub.reviews.guideTrendName,トレンド,トレンド,,crm,string
crm.aiHub.reviews.guideTrendDesc,感情比率分析と時系列トレンド,感情比率分析と時系列トレンド,,crm,string
crm.aiHub.reviews.guideSettingsDesc,AIトーン設定、自動エスカレーション、Slackアラート,AIトーン設定、自動エスカレーション、Slackアラート,,crm,string
crm.aiHub.reviews.guideGuideDesc,レビュー管理ワークフロー案内,レビュー管理ワークフロー案内,,crm,string
crm.aiHub.reviews.csEscalate,CSエスカレーション,CSエスカレーション,,crm,string
crm.aiHub.reviews.hideReply,返信を隠す,返信を隠す,,crm,string
crm.aiHub.reviews.showReply,返信を表示,返信を表示,,crm,string
crm.aiHub.reviews.aiDisclaimer,AI生成案です。送信前に確認してください。,AI生成案です。送信前に確認してください。,,crm,string
crm.aiHub.actionPresets.pageTitle,ページタイトル,ページタイトル,,crm,string
crm.aiHub.crm.email.lblProvider,プロバイダー,プロバイダー,,crm,string
crm.aiHub.crm.email.lblSmtpHost,SMTPホスト,SMTPホスト,,crm,string
crm.aiHub.crm.email.lblSmtpPort,SMTPポート,SMTPポート,,crm,string
crm.aiHub.crm.email.lblSmtpUser,SMTPユーザー,SMTPユーザー,,crm,string
crm.aiHub.crm.email.lblPassword,パスワード,パスワード,,crm,string
crm.aiHub.crm.email.fromEmail,送信元メール,送信元メール,,crm,string
crm.aiHub.crm.email.awsRegion,AWSリージョン,AWSリージョン,,crm,string
crm.aiHub.crm.email.msgDelConfirm,削除しますか?,削除しますか?,,crm,string
crm.aiHub.crm.email.catWelcome,ウェルカム,ウェルカム,,crm,string
crm.aiHub.crm.email.catRetention,リテンション,リテンション,,crm,string
crm.aiHub.crm.email.tplNew,✨ 新規テンプレート,✨ 新規テンプレート,,crm,string
crm.aiHub.crm.email.noTemplates,テンプレートなし,テンプレートなし,,crm,string
crm.aiHub.crm.email.tplCreate,テンプレート作成,テンプレート作成,,crm,string
crm.aiHub.crm.email.tplEdit,テンプレート編集,テンプレート編集,,crm,string
crm.aiHub.crm.email.lblTplName,テンプレート名,テンプレート名,,crm,string
crm.aiHub.crm.email.subjPh,件名を入力...,件名を入力...,,crm,string
crm.aiHub.crm.email.msgSendConfirm,送信しますか?,送信しますか?,,crm,string
crm.aiHub.crm.email.kpiEmails,メール数,メール数,,crm,string
crm.aiHub.crm.email.cNew,🚀 新規キャンペーン,🚀 新規キャンペーン,,crm,string
crm.aiHub.crm.email.fName,キャンペーン名*,キャンペーン名*,,crm,string
crm.aiHub.crm.email.fTarget,対象セグメント,対象セグメント,,crm,string
crm.aiHub.crm.email.cStat,📊 キャンペーン状況,📊 キャンペーン状況,,crm,string
crm.aiHub.crm.email.emptyCamp,キャンペーンがありません。,キャンペーンがありません。,,crm,string
crm.aiHub.crm.email.anSegPerf,セグメント別パフォーマンス,セグメント別パフォーマンス,,crm,string
crm.aiHub.crm.email.anNoData,分析データなし,分析データなし,,crm,string
crm.aiHub.crm.email.tabCamp,📢 キャンペーン,📢 キャンペーン,,crm,string
crm.aiHub.crm.email.tabTpl,📝 テンプレート,📝 テンプレート,,crm,string
crm.aiHub.crm.email.title,📧 メールマーケティング,📧 メールマーケティング,,crm,string
crm.aiHub.crm.email.subTitle,全プラットフォームモジュールでリアルタイム同期のメールキャンペーンを作成,全プラットフォームモジュールでリアルタイム同期のメールキャンペーンを作成,,crm,string
crm.aiHub.crm.email.guideCampName,キャンペーン管理,キャンペーン管理,,crm,string
crm.aiHub.crm.email.guideCampDesc,キャンペーンの作成・送信・パフォーマンス管理,キャンペーンの作成・送信・パフォーマンス管理,,crm,string
crm.aiHub.crm.email.guideTplName,テンプレート管理,テンプレート管理,,crm,string
crm.aiHub.crm.email.guideTplDesc,メールHTMLテンプレートの登録・編集,メールHTMLテンプレートの登録・編集,,crm,string
crm.aiHub.crm.email.guideAnalyticsDesc,開封率・クリック率の分析,開封率・クリック率の分析,,crm,string
crm.aiHub.crm.email.guideSetDesc,SMTP/AWS SESプロバイダー設定,SMTP/AWS SESプロバイダー設定,,crm,string
crm.aiHub.crm.email.guideCreativeDesc,AI画像生成でメールデザインを作成,AI画像生成でメールデザインを作成,,crm,string
crm.aiHub.crm.email.tabCreative,🎨 クリエイティブ,🎨 クリエイティブ,,crm,string
crm.aiHub.crm.email.connectedChannels,接続チャネル,接続チャネル,,crm,string
crm.aiHub.crm.email.noChannels,メールサービス未接続,メールサービス未接続,,crm,string
crm.aiHub.crm.email.goHub,統合ハブへ,統合ハブへ,,crm,string
crm.aiHub.crm.email.liveSyncStatus,リアルタイム同期有効,リアルタイム同期有効,,crm,string
crm.aiHub.crm.email.secLockDesc,異常アクセス検出,異常アクセス検出,,crm,string
crm.aiHub.crm.email.exportCsv,CSVエクスポート,CSVエクスポート,,crm,string
crm.aiHub.crm.email.msgTplReq,❌ 必須項目を入力してください,❌ 必須項目を入力してください,,crm,string
crm.aiHub.crm.gRisk,リスク,リスク,,crm,string
crm.aiHub.crm.gChamp,チャンピオン,チャンピオン,,crm,string
crm.aiHub.crm.gLoyal,ロイヤル,ロイヤル,,crm,string
crm.aiHub.crm.emptyCust,顧客がありません。,顧客がありません。,,crm,string
crm.aiHub.crm.btnEmail,📧メール,📧メール,,crm,string
crm.aiHub.crm.btnKakao,💬カカオ,💬カカオ,,crm,string
crm.aiHub.crm.rfmListTit,RFMセグメント,RFMセグメント,,crm,string
crm.aiHub.crm.tabAiSeg,🤖 AIセグメント,🤖 AIセグメント,,crm,string
crm.aiHub.crm.tabManSeg,📋 手動セグメント,📋 手動セグメント,,crm,string
crm.aiHub.crm.pageSub,顧客データ統合管理 · セグメント · RFM · AI,顧客データ統合管理 · セグメント · RFM · AI,,crm,string
crm.aiHub.crm.guideCustName,👥 顧客リスト,👥 顧客リスト,,crm,string
crm.aiHub.crm.guideCustDesc,全顧客データをテーブル形式で管理。検索、ソート、ページネーション対応。クリックで詳細パネルを開き、購入履歴と活動ログを確認できます。,全顧客データをテーブル形式で管理。検索、ソート、ページネーション対応。クリックで詳細パネルを開き、購入履歴と活動ログを確認できます。,,crm,string
crm.aiHub.crm.guideAiName,🤖 AIセグメント,🤖 AIセグメント,,crm,string
crm.aiHub.crm.guideAiDesc,AIが顧客データを分析しセグメントを自動作成。VIPアップセル候補、離脱リスク顧客を識別し、予測売上とAIインサイトを提供します。,AIが顧客データを分析しセグメントを自動作成。VIPアップセル候補、離脱リスク顧客を識別し、予測売上とAIインサイトを提供します。,,crm,string
crm.aiHub.crm.guideSegName,🏷 手動セグメント,🏷 手動セグメント,,crm,string
crm.aiHub.crm.guideSegDesc,ユーザーが独自の条件を設定して顧客グループを作成。LTV、購入頻度などの条件を組み合わせてターゲットマーケティングに活用します。,ユーザーが独自の条件を設定して顧客グループを作成。LTV、購入頻度などの条件を組み合わせてターゲットマーケティングに活用します。,,crm,string
crm.aiHub.crm.guideRfmDesc,最近性・頻度・金額の3基準で顧客を5グレードに自動分類。グレード別顧客数を視覚的に確認し、詳細リストをテーブルで管理します。,最近性・頻度・金額の3基準で顧客を5グレードに自動分類。グレード別顧客数を視覚的に確認し、詳細リストをテーブルで管理します。,,crm,string
crm.aiHub.crm.aiSegVip,VIPアップセル候補,VIPアップセル候補,,crm,string
crm.aiHub.crm.aiSegVipReason,高LTV、直近30日以内に購入,高LTV、直近30日以内に購入,,crm,string
crm.aiHub.crm.aiSegVipInsight,プレミアムアップグレードの提案に適しています。,プレミアムアップグレードの提案に適しています。,,crm,string
crm.aiHub.crm.aiSegChurn,離脱リスク — 1回購入者,離脱リスク — 1回購入者,,crm,string
crm.aiHub.crm.aiSegChurnReason,1回のみ購入、60日以上非活動,1回のみ購入、60日以上非活動,,crm,string
crm.aiHub.crm.aiSegChurnInsight,リエンゲージメント割引を即座に送信してください。,リエンゲージメント割引を即座に送信してください。,,crm,string
crm.aiHub.crm.btnEmailMkt,📧 メールマーケティング,📧 メールマーケティング,,crm,string
crm.aiHub.crm.btnJourney,🗺️ カスタマージャーニー連携,🗺️ カスタマージャーニー連携,,crm,string
crm.aiHub.crm.exportCsv,CSVエクスポート,CSVエクスポート,,crm,string
crm.aiHub.crm.connectedChannels,接続チャネル,接続チャネル,,crm,string
crm.aiHub.crm.noConnectedChannels,接続チャネルがありません。統合ハブでAPIキーを登録してください。,接続チャネルがありません。統合ハブでAPIキーを登録してください。,,crm,string
crm.aiHub.crm.goIntegrationHub,統合ハブへ移動,統合ハブへ移動,,crm,string
crm.aiHub.crm.liveSyncStatus,リアルタイムクロスタブ同期有効 — すべてのメニューのデータがリアルタイムで反映されます。,リアルタイムクロスタブ同期有効 — すべてのメニューのデータがリアルタイムで反映されます。,,crm,string
crm.aiHub.crm.secLockDesc,異常なアクセスが検出されブロックされました。,異常なアクセスが検出されブロックされました。,,crm,string
crm.aiHub.crm.deleteConfirm,この顧客を削除しますか？,この顧客を削除しますか？,,crm,string
crm.aiHub.crm.page,ページ,ページ,,crm,string
crm.aiHub.crm.dateFilter,期間フィルタ,期間フィルタ,,crm,string
crm.aiHub.catalogSync.conn.tabDW,データウェアハウス,データウェアハウス,,crm,string
crm.aiHub.catalogSync.ds.heroDesc,広告・コマース・UGC全ドメインの統合スキーマ、パイプライン、指標、アラートルールを管理します。,広告・コマース・UGC全ドメインの統合スキーマ、パイプライン、指標、アラートルールを管理します。,,crm,string
crm.aiHub.catalogSync.ds.badgeTotalFields,全フィールド,全フィールド,,crm,string
crm.aiHub.catalogSync.ds.badgeAlertRules,アラートルール,アラートルール,,crm,string
crm.aiHub.catalogSync.ds.tabSchema,スキーマ,スキーマ,,crm,string
crm.aiHub.catalogSync.ds.tabSchemaDesc,ドメイン別フィールド定義,ドメイン別フィールド定義,,crm,string
crm.aiHub.catalogSync.ds.tabPipeline,パイプライン,パイプライン,,crm,string
crm.aiHub.catalogSync.ds.tabPipelineDesc,データ収集・処理フロー,データ収集・処理フロー,,crm,string
crm.aiHub.catalogSync.ds.tabMetricsDesc,指標カタログ,指標カタログ,,crm,string
crm.aiHub.catalogSync.ds.tabAlertsDesc,閾値アラートルール,閾値アラートルール,,crm,string
crm.aiHub.catalogSync.ds.adEvents,広告イベント,広告イベント,,crm,string
crm.aiHub.catalogSync.ds.marketOrders,マーケット注文,マーケット注文,,crm,string
crm.aiHub.catalogSync.ds.ugcInfluencer,UGC/インフルエンサー,UGC/インフルエンサー,,crm,string
crm.aiHub.catalogSync.ds.secCampaignHierarchy,キャンペーン階層,キャンペーン階層,,crm,string
crm.aiHub.catalogSync.ds.secAudienceTarget,オーディエンスターゲティング,オーディエンスターゲティング,,crm,string
crm.aiHub.catalogSync.ds.secPerfMetrics,パフォーマンス指標,パフォーマンス指標,,crm,string
crm.aiHub.catalogSync.ds.secReturnClaim,返品/クレーム,返品/クレーム,,crm,string
crm.aiHub.catalogSync.ds.secCreatorIdentity,クリエイター情報,クリエイター情報,,crm,string
crm.aiHub.catalogSync.ds.secContentPerf,コンテンツ実績,コンテンツ実績,,crm,string
crm.aiHub.catalogSync.ds.thField,フィールド名,フィールド名,,crm,string
crm.aiHub.catalogSync.ds.fields,フィールド,フィールド,,crm,string
crm.aiHub.catalogSync.ds.domain,ドメイン,ドメイン,,crm,string
crm.aiHub.catalogSync.ds.alertCondition,アラート条件,アラート条件,,crm,string
crm.aiHub.catalogSync.ds.definedMetrics,定義済み指標,定義済み指標,,crm,string
crm.aiHub.catalogSync.ds.metricsCatalog,指標カタログ,指標カタログ,,crm,string
crm.aiHub.catalogSync.ds.triggerCondition,トリガー条件,トリガー条件,,crm,string
crm.aiHub.catalogSync.ds.alertRuleCatalog,アラートルールカタログ,アラートルールカタログ,,crm,string
crm.aiHub.catalogSync.ds.secCode,セキュリティコードを入力,セキュリティコードを入力,,crm,string
crm.aiHub.catalogSync.ds.backToSchema,スキーマに戻る,スキーマに戻る,,crm,string
crm.aiHub.catalogSync.ds.exportSchema,スキーマ出力,スキーマ出力,,crm,string
crm.aiHub.catalogSync.journey.guideSubtitle,設定から実行・分析までのステップガイド,設定から実行・分析までのステップガイド,,crm,string
crm.aiHub.catalogSync.journey.guideStartBtn,始める,始める,,crm,string
crm.aiHub.catalogSync.journey.guideNodesTitle,🧩 ノードタイプリファレンス,🧩 ノードタイプリファレンス,,crm,string
crm.aiHub.catalogSync.journey.tabList,ジャーニー一覧,ジャーニー一覧,,crm,string
crm.aiHub.catalogSync.journey.pageTitle,カスタマージャーニービルダー,カスタマージャーニービルダー,,crm,string
crm.aiHub.catalogSync.journey.pageSub,AI搭載のオムニチャネル顧客ジャーニーを設計・自動化,AI搭載のオムニチャネル顧客ジャーニーを設計・自動化,,crm,string
crm.aiHub.catalogSync.journey.tplTitle,ジャーニーテンプレート,ジャーニーテンプレート,,crm,string
crm.aiHub.catalogSync.journey.tplSub,事前構築されたテンプレートで素早く開始,事前構築されたテンプレートで素早く開始,,crm,string
crm.aiHub.catalogSync.journey.tplUse,テンプレートを使用,テンプレートを使用,,crm,string
crm.aiHub.catalogSync.journey.tplWelcome,ウェルカムシリーズ,ウェルカムシリーズ,,crm,string
crm.aiHub.catalogSync.journey.tplCart,カート復旧,カート復旧,,crm,string
crm.aiHub.catalogSync.journey.tplPostPurchase,購入後フォロー,購入後フォロー,,crm,string
crm.aiHub.catalogSync.journey.aiDesignTitle,AIデザイン生成,AIデザイン生成,,crm,string
crm.aiHub.catalogSync.journey.aiTopicPh,タイトル/イベント/内容を入力,タイトル/イベント/内容を入力,,crm,string
crm.aiHub.catalogSync.journey.aiImagePh,AI画像の説明,AI画像の説明,,crm,string
crm.aiHub.catalogSync.journey.aiResultTitle,生成されたデザイン,生成されたデザイン,,crm,string
crm.aiHub.catalogSync.journey.aiThemeNewsletter,ニュースレター,ニュースレター,,crm,string
crm.aiHub.catalogSync.journey.aiThemeCart,カート復旧,カート復旧,,crm,string
crm.aiHub.catalogSync.journey.aiThemeWelcome,ウェルカム,ウェルカム,,crm,string
crm.aiHub.catalogSync.journey.aiThemeFlash,フラッシュセール,フラッシュセール,,crm,string
crm.aiHub.catalogSync.journey.aiThemeSeason,シーズン,シーズン,,crm,string
crm.aiHub.catalogSync.journey.uploadCustom,カスタム画像アップロード,カスタム画像アップロード,,crm,string
crm.aiHub.catalogSync.journey.uploadDragDrop,ドラッグ＆ドロップまたはクリック,ドラッグ＆ドロップまたはクリック,,crm,string
crm.aiHub.catalogSync.reviews.aiReplyPositive,"こんにちは！😊

{{product}}への素敵なレビューをありがとうございます！お客様からのフィードバックはチーム全体の励みになります。

引き続き良い製品とサービスをお届けします。またのご利用をお待ちしております！🙏","こんにちは！😊

{{product}}への素敵なレビューをありがとうございます！お客様からのフィードバックはチーム全体の励みになります。

引き続き良い製品とサービスをお届けします。またのご利用をお待ちしております！🙏",,crm,string
crm.aiHub.catalogSync.reviews.aiReplyNeutral,"こんにちは、

{{product}}をご利用いただきありがとうございます。{{category}}に関するフィードバックを確認しました。

担当チームに報告し改善に努めます。","こんにちは、

{{product}}をご利用いただきありがとうございます。{{category}}に関するフィードバックを確認しました。

担当チームに報告し改善に努めます。",,crm,string
crm.aiHub.catalogSync.reviews.aiReplyNegative,"こんにちは、

{{product}}のご利用中にご不便をおかけし申し訳ございません。

専任のCSスタッフを配定し24時間以内にご連絡いたします。🙇","こんにちは、

{{product}}のご利用中にご不便をおかけし申し訳ございません。

専任のCSスタッフを配定し24時間以内にご連絡いたします。🙇",,crm,string
crm.aiHub.catalogSync.reviews.bulkEscalate,ネガティブ一括エスカレーション,ネガティブ一括エスカレーション,,crm,string
crm.aiHub.catalogSync.reviews.kpiTotal,レビュー総数,レビュー総数,,crm,string
crm.aiHub.catalogSync.reviews.kpiTotalSub2,接続チャネル全体の合計,接続チャネル全体の合計,,crm,string
crm.aiHub.catalogSync.reviews.kpiAvgRatingSub2,チャネル別加重平均,チャネル別加重平均,,crm,string
crm.aiHub.catalogSync.reviews.kpiNegative,ネガティブレビュー,ネガティブレビュー,,crm,string
crm.aiHub.catalogSync.reviews.escalationCount,エスカレーション,エスカレーション,,crm,string
crm.aiHub.catalogSync.reviews.kpiNegativeSub,即時対応が必要,即時対応が必要,,crm,string
crm.aiHub.catalogSync.reviews.channelRatingTitle,チャネル別レビュー評価,チャネル別レビュー評価,,crm,string
crm.aiHub.catalogSync.reviews.noData,接続チャネルからレビューデータを収集中です。,接続チャネルからレビューデータを収集中です。,,crm,string
crm.aiHub.catalogSync.reviews.positive,ポジティブ,ポジティブ,,crm,string
crm.aiHub.catalogSync.reviews.negative,ネガティブ,ネガティブ,,crm,string
crm.aiHub.catalogSync.reviews.negKeywordsTitle,ネガティブキーワードTOP,ネガティブキーワードTOP,,crm,string
crm.aiHub.catalogSync.reviews.autoAlertActive,自動ネガティブアラート有効,自動ネガティブアラート有効,,crm,string
crm.aiHub.catalogSync.reviews.autoAlertDesc,ネガティブキーワード急増時にSlack/メールで即時通知されます。,ネガティブキーワード急増時にSlack/メールで即時通知されます。,,crm,string
crm.aiHub.catalogSync.reviews.foundHelpful,役に立った,役に立った,,crm,string
crm.aiHub.catalogSync.reviews.csEscalate,CSエスカレーション,CSエスカレーション,,crm,string
crm.aiHub.catalogSync.reviews.hideReply,返信を隠す,返信を隠す,,crm,string
crm.aiHub.catalogSync.reviews.showReply,返信を表示,返信を表示,,crm,string
crm.aiHub.catalogSync.reviews.aiGenerated,AI生成返信ドラフト,AI生成返信ドラフト,,crm,string
crm.aiHub.catalogSync.reviews.aiDisclaimer,AIが自動生成したドラフトです。送信前に必ず確認してください。,AIが自動生成したドラフトです。送信前に必ず確認してください。,,crm,string
crm.aiHub.catalogSync.reviews.feedTitle,レビューフィード,レビューフィード,,crm,string
crm.aiHub.catalogSync.reviews.feedSub,全レビュー·フィルター·AI返信,全レビュー·フィルター·AI返信,,crm,string
crm.aiHub.catalogSync.reviews.filterPositive,😊 ポジティブ,😊 ポジティブ,,crm,string
crm.aiHub.catalogSync.reviews.filterNegative,😠 ネガティブ,😠 ネガティブ,,crm,string
crm.aiHub.catalogSync.reviews.searchPlaceholder,レビューを検索...,レビューを検索...,,crm,string
crm.aiHub.catalogSync.reviews.noTrendData,トレンドデータなし,トレンドデータなし,,crm,string
crm.aiHub.catalogSync.reviews.noTrendDataSub,レビューデータが収集されるとトレンド分析が自動表示されます。,レビューデータが収集されるとトレンド分析が自動表示されます。,,crm,string
crm.aiHub.catalogSync.reviews.trendTitle,感情トレンド分析,感情トレンド分析,,crm,string
crm.aiHub.catalogSync.reviews.settingsTitle,レビュー管理設定,レビュー管理設定,,crm,string
crm.aiHub.catalogSync.reviews.aiToneLabel,AI返信トーン,AI返信トーン,,crm,string
crm.aiHub.catalogSync.reviews.toneProfessional,プロフェッショナル,プロフェッショナル,,crm,string
crm.aiHub.catalogSync.reviews.toneFriendly,フレンドリー,フレンドリー,,crm,string
crm.aiHub.catalogSync.reviews.toneFormal,フォーマル,フォーマル,,crm,string
crm.aiHub.catalogSync.reviews.autoEscalateLabel,自動エスカレーション,自動エスカレーション,,crm,string
crm.aiHub.catalogSync.reviews.autoEscalateDesc,ネガティブレビュー（1〜2星）検出時にCSチームへ自動エスカレーションします。,ネガティブレビュー（1〜2星）検出時にCSチームへ自動エスカレーションします。,,crm,string
crm.aiHub.catalogSync.reviews.slackWebhookSub,ネガティブレビュー通知を受けるSlackチャネルのWebhook URLを入力してください。,ネガティブレビュー通知を受けるSlackチャネルのWebhook URLを入力してください。,,crm,string
crm.aiHub.catalogSync.reviews.draftGenerated,✅ AI返信ドラフトが生成されました。,✅ AI返信ドラフトが生成されました。,,crm,string
crm.aiHub.catalogSync.reviews.copied,📋 クリップボードにコピーしました。,📋 クリップボードにコピーしました。,,crm,string
crm.aiHub.catalogSync.reviews.escalated,🚨 CSチームにエスカレーションしました。,🚨 CSチームにエスカレーションしました。,,crm,string
