path,ko_current,ja_value,ns
ruleEnginePage.marketing.abGuideTip1,連携チャネルが多いほどAIの配分精度が向上します。最低3チャネル以上連携してください。,連携チャネルが多いほどAIの配分精度が向上します。最低3チャネル以上連携してください。,ruleEnginePage
ruleEnginePage.marketing.abGuideTip2,高予算と低予算でAIの配分戦略が異なります。,高予算と低予算でAIの配分戦略が異なります。,ruleEnginePage
ruleEnginePage.marketing.abGuideTip3,CAC変動率がマイナスなら顧客獲得効率が改善されています。,CAC変動率がマイナスなら顧客獲得効率が改善されています。,ruleEnginePage
ruleEnginePage.marketing.abGuideTip4,Blended ROASが200%以上なら全体収益性は良好です。,Blended ROASが200%以上なら全体収益性は良好です。,ruleEnginePage
ruleEnginePage.marketing.abGuideTip5,配分結果をダウンロードしてチームと共有し承認後に適用しましょう。,配分結果をダウンロードしてチームと共有し承認後に適用しましょう。,ruleEnginePage
ruleEnginePage.marketing.tabCreative,① キャンペーン設定,① キャンペーン設定,ruleEnginePage
ruleEnginePage.marketing.heroSub,月間予算を設定すると、AIがTikTok・Meta・Naverなどに最適化されたマーケティング戦略を自動で立案します。,月間予算を設定すると、AIがTikTok・Meta・Naverなどに最適化されたマーケティング戦略を自動で立案します。,ruleEnginePage
ruleEnginePage.marketing.guideTabOverviewName,パフォーマンス概要,パフォーマンス概要,ruleEnginePage
ruleEnginePage.marketing.guideTabOverviewDesc,KPIカードとデュアル軸トレンドチャートで全体の広告パフォーマンスを把握します。,KPIカードとデュアル軸トレンドチャートで全体の広告パフォーマンスを把握します。,ruleEnginePage
ruleEnginePage.marketing.guideTabCreativeName,クリエイティブ分析,クリエイティブ分析,ruleEnginePage
ruleEnginePage.marketing.guideTabCreativeDesc,キャンペーン別のクリック・コンバージョンを比較し、最高パフォーマンスのクリエイティブを特定します。,キャンペーン別のクリック・コンバージョンを比較し、最高パフォーマンスのクリエイティブを特定します。,ruleEnginePage
ruleEnginePage.marketing.tabAiDesign,AIデザイン,AIデザイン,ruleEnginePage
ruleEnginePage.marketing.channelFeeDesc,連携チャネルの手数料率を確認,連携チャネルの手数料率を確認,ruleEnginePage
ruleEnginePage.heroDescI18n,すべてのチャネルの注文をリアルタイムで収集・管理・分析します。,すべてのチャネルの注文をリアルタイムで収集・管理・分析します。,ruleEnginePage
ruleEnginePage.crmSyncDoneMsg,顧客情報がCRMに正常に同期されました。,顧客情報がCRMに正常に同期されました。,ruleEnginePage
ruleEnginePage.crmSyncFailMsg,CRM同期に失敗しました。,CRM同期に失敗しました。,ruleEnginePage
ruleEnginePage.crmViewBtn,CRMへ移動,CRMへ移動,ruleEnginePage
ruleEnginePage.carrierCJ,CJ ロジスティクス,CJ ロジスティクス,ruleEnginePage
ruleEnginePage.carrierLotte,ロッテ宅配,ロッテ宅配,ruleEnginePage
ruleEnginePage.carrierLogen,ロジェン宅配,ロジェン宅配,ruleEnginePage
ruleEnginePage.guideStep7Desc,B2Bタブで大量注文を別途管理します。,B2Bタブで大量注文を別途管理します。,ruleEnginePage
ruleEnginePage.guideStep8Desc,自動ルーティングタブで条件別ルールを作成・管理します。,自動ルーティングタブで条件別ルールを作成・管理します。,ruleEnginePage
ruleEnginePage.liveFeedTitle,リアルタイム注文フィード,リアルタイム注文フィード,ruleEnginePage
ruleEnginePage.tabRouting,自動ルーティング,自動ルーティング,ruleEnginePage
ruleEnginePage.deliveryNoData,配送データなし,配送データなし,ruleEnginePage
ruleEnginePage.claimColId,クレームID,クレームID,ruleEnginePage
ruleEnginePage.claimNoData,クレームなし,クレームなし,ruleEnginePage
ruleEnginePage.intlNoData,国際注文なし,国際注文なし,ruleEnginePage
ruleEnginePage.intlShipGuide,配送ガイド,配送ガイド,ruleEnginePage
ruleEnginePage.intlDdpDesc,DDP:販売者が関税を負担します。,DDP:販売者が関税を負担します。,ruleEnginePage
ruleEnginePage.intlDduDesc,DDU:購入者が関税を負担します。,DDU:購入者が関税を負担します。,ruleEnginePage
ruleEnginePage.settingsDesc,注文収集と通知設定を管理します。,注文収集と通知設定を管理します。,ruleEnginePage
ruleEnginePage.settingsAutoCollectDesc,連携チャネルからリアルタイムで自動収集します。,連携チャネルからリアルタイムで自動収集します。,ruleEnginePage
ruleEnginePage.settingsSlaMonitorDesc,チャネル別SLAを監視します。,チャネル別SLAを監視します。,ruleEnginePage
ruleEnginePage.settingsNotifDesc,新規注文・クレーム・SLA違反時に通知します。,新規注文・クレーム・SLA違反時に通知します。,ruleEnginePage
ruleEnginePage.routingEngineDesc,条件別自動配送ルール管理,条件別自動配送ルール管理,ruleEnginePage
ruleEnginePage.routingSimBtn,シミュレーション,シミュレーション,ruleEnginePage
ruleEnginePage.routingAddBtn,＋ルール追加,＋ルール追加,ruleEnginePage
ruleEnginePage.routingNewRule,新規ルール,新規ルール,ruleEnginePage
ruleEnginePage.routingMatched,マッチ,マッチ,ruleEnginePage
ruleEnginePage.routingNoRules,ルールがありません。,ルールがありません。,ruleEnginePage
ruleEnginePage.ovChannelSales,チャネル別売上,チャネル別売上,ruleEnginePage
ruleEnginePage.ovPickingList,ピッキングリスト,ピッキングリスト,ruleEnginePage
ruleEnginePage.ovPackingSlip,パッキングスリップ,パッキングスリップ,ruleEnginePage
ruleEnginePage.ovClaimRate,クレーム率,クレーム率,ruleEnginePage
ruleEnginePage.ovActiveChannels,有効チャネル,有効チャネル,ruleEnginePage
ruleEnginePage.enhTimelineTitle,注文タイムライン,注文タイムライン,ruleEnginePage
ruleEnginePage.enhMemoTitle,メモ,メモ,ruleEnginePage
ruleEnginePage.enhMemoSave,メモ保存,メモ保存,ruleEnginePage
ruleEnginePage.settleBridgeTitle,精算センター,精算センター,ruleEnginePage
ruleEnginePage.settleBridgeDesc,詳細精算・照合機能は専用モジュールで確認できます。,詳細精算・照合機能は専用モジュールで確認できます。,ruleEnginePage
ruleEnginePage.root_pageTitle_campaignManager,キャンペーンマネージャー,キャンペーンマネージャー,ruleEnginePage
ruleEnginePage.root_pageTitle_accountPerformance,アカウント別成果,アカウント別成果,ruleEnginePage
ruleEnginePage.root_pageTitle_wms,WMSマネージャー,WMSマネージャー,ruleEnginePage
nav.smartConnect,スマートコネクト,スマートコネクト,nav
nav.license,ライセンス,ライセンス,nav
performance.title,パフォーマンス ハブ,パフォーマンス ハブ,performance
performance.subtitle,リアルタイム KPI モニタリング · 異常検出 · クロスチャネル分析,リアルタイム KPI モニタリング · 異常検出 · クロスチャネル分析,performance
performance.channelPerf,チャネルのパフォーマンス,チャネルのパフォーマンス,performance
performance.audienceInsights,視聴者に関する洞察,視聴者に関する洞察,performance
performance.creativePerf,クリエイティブなパフォーマンス,クリエイティブなパフォーマンス,performance
performance.colCtr,クリック率%,クリック率%,performance
performance.topProducts,人気の製品,人気の製品,performance
performance.anomalyDetected,異常が検出されました,異常が検出されました,performance
performance.noAnomaly,異常は検出されませんでした,異常は検出されませんでした,performance
performance.exportReport,と比較してくださいレポートのエクスポート,と比較してくださいレポートのエクスポート,performance
attribution.aScore,Aスコア (アトリビューション信頼度),Aスコア (アトリビューション信頼度),attribution
attribution.zScore,Zスコア,Zスコア,attribution
attribution.anomalyDesc,Zスコアを用いたリアルタイムチャネルパフォーマンス監視,Zスコアを用いたリアルタイムチャネルパフォーマンス監視,attribution
attribution.modelCompareDesc,レーダーチャートで5つのアトリビューションモデルを比較,レーダーチャートで5つのアトリビューションモデルを比較,attribution
channelKpi.pageTitle,チャネルKPI高度化管理,チャネルKPI高度化管理,channelKpi
channelKpi.pageSub,測定可能なKPI · ビジネス目標連携 · チャネル役割最適化 · 定期AI評価,測定可能なKPI · ビジネス目標連携 · チャネル役割最適化 · 定期AI評価,channelKpi
channelKpi.tabRole,📡 チャネル役割,📡 チャネル役割,channelKpi
channelKpi.goalTitle,🎯 ビジネス目標設定,🎯 ビジネス目標設定,channelKpi
channelKpi.noGoal,目標を選択してください,目標を選択してください,channelKpi
channelKpi.roleTitle,📡 チャネル別役割定義,📡 チャネル別役割定義,channelKpi
channelKpi.coreKpi,コアKPI,コアKPI,channelKpi
channelKpi.kpiSetupTitle,⚙️ チャネル別KPI目標設定,⚙️ チャネル別KPI目標設定,channelKpi
channelKpi.channelSnsKpi,チャネル別SNS KPI比較,チャネル別SNS KPI比較,channelKpi
channelKpi.contentTitle,📝 コンテンツチャネル (ブログ) KPI,📝 コンテンツチャネル (ブログ) KPI,channelKpi
channelKpi.communityTitle,💬 コミュニティ/カフェ KPI,💬 コミュニティ/カフェ KPI,channelKpi
channelKpi.channelAvg,チャネル全体平均達成状況,チャネル全体平均達成状況,channelKpi
channelKpi.monitorTitle,📈 KPIモニタリング & AI改善分析,📈 KPIモニタリング & AI改善分析,channelKpi
channelKpi.aiAnalysis,Claude AI チャネルKPI分析,Claude AI チャネルKPI分析,channelKpi
channelKpi.aiSubtitle,チャネル別KPI達成状況総合評価 · 改善アクション提案,チャネル別KPI達成状況総合評価 · 改善アクション提案,channelKpi
channelKpi.monthlyReview,📅 月間レビュー,📅 月間レビュー,channelKpi
channelKpi.runAI,🚀 AI チャネルKPI分析実行,🚀 AI チャネルKPI分析実行,channelKpi
channelKpi.topInsight,💡 最重要インサイト,💡 最重要インサイト,channelKpi
channelKpi.immediateAction,⚡ 即時アクション,⚡ 即時アクション,channelKpi
channelKpi.weeklyTrend,📊 週間広告パフォーマンス推移,📊 週間広告パフォーマンス推移,channelKpi
aiPredict.pageTitle,AI予測分析ハブ,AI予測分析ハブ,aiPredict
aiPredict.grade.churnRisk,チャーンリスク,チャーンリスク,aiPredict
crm.email.catalogSync.boxDetailsTitle,📦 ボックス単位詳細,📦 ボックス単位詳細,crm
crm.email.catalogSync.qtyPerBoxLabel,1ボックスあたり数量 (ea) *,1ボックスあたり数量 (ea) *,crm
crm.email.catalogSync.palletDetailsTitle,📦📦 パレット(PL)単位詳細,📦📦 パレット(PL)単位詳細,crm
crm.email.catalogSync.boxPerPlLabel,1PLあたりボックス数 *,1PLあたりボックス数 *,crm
crm.email.catalogSync.selectChannelStep,チャネル選択,チャネル選択,crm
crm.email.catalogSync.registerToChannelAction,✅ チャネル登録,✅ チャネル登録,crm
crm.email.catalogSync.registerToChannelDesc,選択したチャネルで販売を登録/有効化,選択したチャネルで販売を登録/有効化,crm
crm.email.catalogSync.unregisterChannelAction,⛔ チャネル解除,⛔ チャネル解除,crm
crm.email.catalogSync.unregisterChannelDesc,選択したチャネルで商品を無効化,選択したチャネルで商品を無効化,crm
crm.email.catalogSync.nextSetPriceBtn,次へ: 価格設定 →,次へ: 価格設定 →,crm
crm.email.catalogSync.productsUnregister,{{n}}件の商品を解除,{{n}}件の商品を解除,crm
crm.email.catalogSync.channelPriceRecommendTitle,💰 チャネル別推奨販売価格設定,💰 チャネル別推奨販売価格設定,crm
crm.email.catalogSync.channelPriceRecommendDesc,原価(仕入原価+入出庫費+保管料+作業費+送料)にチャネル手数料・税金・利益率を反映した推奨価格です。,原価(仕入原価+入出庫費+保管料+作業費+送料)にチャネル手数料・税金・利益率を反映した推奨価格です。,crm
crm.email.catalogSync.channelPriceAdjustDesc,マージン(%)を調整するとリアルタイムで再計算されます。直接入力で上書きも可能です。,マージン(%)を調整するとリアルタイムで再計算されます。直接入力で上書きも可能です。,crm
crm.email.catalogSync.manualPriceNoteDesc,· 黄色表示は手動入力された価格です。,· 黄色表示は手動入力された価格です。,crm
crm.email.catalogSync.backBtn,← 戻る,← 戻る,crm
crm.email.catalogSync.nextApproveBtn,次へ: 承認 & 登録 →,次へ: 承認 & 登録 →,crm
crm.email.catalogSync.finalReviewTitle,✅ 最終レビュー & 管理者承認,✅ 最終レビュー & 管理者承認,crm
crm.email.catalogSync.channelFinalSummary,📋 チャネル別最終販売価格サマリー,📋 チャネル別最終販売価格サマリー,crm
crm.email.catalogSync.managerApprovalText,✍️ 管理者承認: 上記価格で{{chCount}}チャネルに{{prodCount}}商品を登録,✍️ 管理者承認: 上記価格で{{chCount}}チャネルに{{prodCount}}商品を登録,crm
crm.email.catalogSync.approvalNoteText,承認後、全チャネルまたは選択チャネルに販売登録が進行されます。,承認後、全チャネルまたは選択チャネルに販売登録が進行されます。,crm
crm.email.catalogSync.registerDoneMsg,✅ {{prodCount}}商品 · {{chCount}}チャネル 登録完了！,✅ {{prodCount}}商品 · {{chCount}}チャネル 登録完了！,crm
crm.email.catalogSync.registerRunMsg,🚀 {{prodCount}}商品 · {{chCount}}チャネル 登録実行,🚀 {{prodCount}}商品 · {{chCount}}チャネル 登録実行,crm
crm.email.catalogSync.marginPctCol,マージン%,マージン%,crm
crm.email.catalogSync.fixedPriceDesc,新しい価格を直接入力,新しい価格を直接入力,crm
crm.email.catalogSync.markupDesc,現在価格に%を上乗せ,現在価格に%を上乗せ,crm
crm.email.catalogSync.discountDesc,現在価格から%割引,現在価格から%割引,crm
crm.email.catalogSync.fixedPricePh,新しい販売価格を入力,新しい販売価格を入力,crm
crm.email.catalogSync.markupPh,上乗せ率 (例: 10),上乗せ率 (例: 10),crm
crm.email.catalogSync.changePreview,📊 変更プレビュー,📊 変更プレビュー,crm
crm.email.catalogSync.applyChannel,📡 適用チャネル,📡 適用チャネル,crm
crm.email.catalogSync.roundingNone,なし,なし,crm
crm.email.catalogSync.openPricePreview,💰 価格プレビュー,💰 価格プレビュー,crm
crm.email.catalogSync.nearOutOfStockLabel,品切れ間近,品切れ間近,crm
crm.email.catalogSync.catMapTitle,🗂️ カテゴリマッピング,🗂️ カテゴリマッピング,crm
crm.email.catalogSync.catMapDesc,社内カテゴリを各チャネルのカテゴリにマッピングします。,社内カテゴリを各チャネルのカテゴリにマッピングします。,crm
crm.email.catalogSync.internalCategory,社内カテゴリ,社内カテゴリ,crm
crm.email.catalogSync.channelCategory,チャネルカテゴリ,チャネルカテゴリ,crm
crm.email.catalogSync.addMapping,マッピング追加,マッピング追加,crm
crm.email.catalogSync.editMapping,マッピング編集,マッピング編集,crm
crm.email.catalogSync.deleteMapping,マッピング削除,マッピング削除,crm
crm.email.catalogSync.autoMapSuggest,自動マッピング提案,自動マッピング提案,crm
crm.email.catalogSync.catMapSaved,カテゴリマッピングが保存されました。,カテゴリマッピングが保存されました。,crm
crm.email.catalogSync.scheduleTitle,⏰ 同期スケジュール,⏰ 同期スケジュール,crm
crm.email.catalogSync.scheduleDesc,自動同期の間隔を設定します。,自動同期の間隔を設定します。,crm
crm.email.catalogSync.scheduleEnabled,自動スケジュール有効化,自動スケジュール有効化,crm
crm.email.catalogSync.scheduleSaved,スケジュールが保存されました。,スケジュールが保存されました。,crm
crm.email.catalogSync.importExport,📥 インポート/エクスポート,📥 インポート/エクスポート,crm
crm.email.catalogSync.importDesc,CSV/Excelファイルで商品を一括登録します。,CSV/Excelファイルで商品を一括登録します。,crm
crm.email.catalogSync.exportDesc,現在の商品リストをエクスポートします。,現在の商品リストをエクスポートします。,crm
crm.email.catalogSync.downloadTemplate,テンプレートダウンロード,テンプレートダウンロード,crm
crm.email.catalogSync.importSuccess,{{n}}件の商品を正常にインポートしました。,{{n}}件の商品を正常にインポートしました。,crm
crm.email.catalogSync.importError,インポート中にエラーが発生しました。,インポート中にエラーが発生しました。,crm
crm.email.catalogSync.guideOverviewDesc,カタログ同期は、複数の販売チャネルに商品を一括登録・管理し、価格・在庫をリアルタイム同期するモジュールです。,カタログ同期は、複数の販売チャネルに商品を一括登録・管理し、価格・在庫をリアルタイム同期するモジュールです。,crm
crm.email.catalogSync.templateDownloaded,一括登録テンプレートをダウンロードしました,一括登録テンプレートをダウンロードしました,crm
crm.email.catalogSync.excelExportDone,{{n}}件の商品をExcelにエクスポートしました,{{n}}件の商品をExcelにエクスポートしました,crm
crm.email.catalogSync.excelImportError,Excelファイル解析エラー,Excelファイル解析エラー,crm
crm.email.catalogSync.excelImportEmpty,Excelファイルにデータがありません,Excelファイルにデータがありません,crm
crm.email.catalogSync.excelImportDone,{{n}}件の商品をExcelから一括登録しました,{{n}}件の商品をExcelから一括登録しました,crm
crm.email.catalogSync.excelTemplate,テンプレートDL,テンプレートDL,crm
crm.email.catalogSync.commissionAutoApplyDesc,チャネル別の販売手数料率と税金はCHANNEL_RATESポリシーから自動適用されます。手動での変更も可能です。,チャネル別の販売手数料率と税金はCHANNEL_RATESポリシーから自動適用されます。手動での変更も可能です。,crm
crm.email.catalogSync.csvImportError,CSVファイル解析エラー,CSVファイル解析エラー,crm
crm.email.catalogSync.csvImportEmpty,CSVファイルにデータがありません,CSVファイルにデータがありません,crm
crm.email.catalogSync.csvImportDone,{{n}}件の商品をCSVからインポートしました,{{n}}件の商品をCSVからインポートしました,crm
crm.email.catalogSync.csvExportDone,{{n}}件の商品をCSVにエクスポートしました,{{n}}件の商品をCSVにエクスポートしました,crm
crm.email.catalogSync.guideTips,💡 ヒント,💡 ヒント,crm
crm.email.campaignMgr.pageSub,AIマーケティングキャンペーン統合管理 · 素材·予算·成果 · リアルタイム,AIマーケティングキャンペーン統合管理 · 素材·予算·成果 · リアルタイム,crm
crm.email.campaignMgr.btnAiRecommend,AIマーケティング推奨,AIマーケティング推奨,crm
crm.email.campaignMgr.tabCrm,CRMチャネル,CRMチャネル,crm
crm.email.campaignMgr.newCampaignBtn,新規キャンペーン承認登録,新規キャンペーン承認登録,crm
crm.email.campaignMgr.tabBudgetAlert,予算アラート,予算アラート,crm
crm.email.campaignMgr.tabCopywriter,AIコピー,AIコピー,crm
crm.email.campaignMgr.roiRanking,キャンペーンROIランキング,キャンペーンROIランキング,crm
crm.email.campaignMgr.noCampaigns,キャンペーンがまだありません,キャンペーンがまだありません,crm
crm.email.campaignMgr.remaining,残り,残り,crm
crm.email.campaignMgr.noActive,アクティブキャンペーンなし,アクティブキャンペーンなし,crm
crm.email.campaignMgr.monitorTitle,リアルタイムキャンペーンモニター,リアルタイムキャンペーンモニター,crm
crm.email.campaignMgr.budgetAlertTitle,予算アラート & 自動停止,予算アラート & 自動停止,crm
crm.email.campaignMgr.budgetAlertDesc,予算消化率70%以上のキャンペーンを監視。95%超で自動停止。,予算消化率70%以上のキャンペーンを監視。95%超で自動停止。,crm
crm.email.campaignMgr.alertOnly,アラートのみ,アラートのみ,crm
crm.email.campaignMgr.noBudgetAlerts,すべて正常,すべて正常,crm
crm.email.campaignMgr.aiCopyTitle,AIコピーライター,AIコピーライター,crm
crm.email.campaignMgr.copyPrompt,商品やサービスを説明してください...,商品やサービスを説明してください...,crm
crm.email.campaignMgr.toneLuxury,ラグジュアリー,ラグジュアリー,crm
crm.email.aiPolicy.tabPoliciesDesc,ガードレール管理,ガードレール管理,crm
crm.email.aiPolicy.tabGovernance,📋 ガバナンス,📋 ガバナンス,crm
crm.email.aiPolicy.tabConfigDesc,AIガードレール設定,AIガードレール設定,crm
crm.email.aiPolicy.totalPolicies,ポリシー合計,ポリシー合計,crm
crm.email.aiPolicy.policiesTitle,🛡️ AIガードレールポリシー,🛡️ AIガードレールポリシー,crm
crm.email.aiPolicy.addPolicy,ポリシー追加,ポリシー追加,crm
crm.email.aiPolicy.policyNamePh,例: ROAS下限ポリシー,例: ROAS下限ポリシー,crm
crm.email.aiPolicy.savePolicy,ポリシー保存,ポリシー保存,crm
crm.email.aiPolicy.policyCreated,ポリシー作成済み,ポリシー作成済み,crm
crm.email.aiPolicy.noPoliciesDesc,ポリシーを作成してください,ポリシーを作成してください,crm
crm.email.aiPolicy.policyFired,ポリシーイベント,ポリシーイベント,crm
crm.email.aiPolicy.secEvents,セキュリティイベント,セキュリティイベント,crm
crm.email.aiPolicy.noGovernance,ガバナンスログなし,ガバナンスログなし,crm
crm.email.aiPolicy.noGovernanceDesc,ポリシー適用ログがここに表示されます,ポリシー適用ログがここに表示されます,crm
crm.email.aiPolicy.configTitle,⚙ AIガードレール設定,⚙ AIガードレール設定,crm
crm.email.aiPolicy.cfgBudgetDesc,AIの日次予算超過支出を防止,AIの日次予算超過支出を防止,crm
crm.email.aiPolicy.cfgRoasDesc,最低閾値未満のROASキャンペーンをブロック,最低閾値未満のROASキャンペーンをブロック,crm
crm.email.aiPolicy.cfgBidDesc,AIが設定可能な最大CPC/CPM,AIが設定可能な最大CPC/CPM,crm
crm.email.aiPolicy.cfgFreqCap,フリークエンシーキャップ,フリークエンシーキャップ,crm
crm.email.aiPolicy.cfgFreqDesc,ユーザーあたりの広告表示回数を制限,ユーザーあたりの広告表示回数を制限,crm
crm.email.aiPolicy.cfgCreativeFilter,クリエイティブ安全,クリエイティブ安全,crm
crm.email.aiPolicy.cfgCreativeDesc,未承認クリエイティブの自動配信をブロック,未承認クリエイティブの自動配信をブロック,crm
crm.email.aiPolicy.cfgApprovalDesc,閾値超のAI変更に事前承認を要求,閾値超のAI変更に事前承認を要求,crm
crm.email.aiPolicy.badgePolicies,ポリシー,ポリシー,crm
crm.email.aiPolicy.crossTabConfig,別タブから設定変更,別タブから設定変更,crm
crm.email.conn.tabPlatforms,📡 プラットフォーム,📡 プラットフォーム,crm
crm.email.conn.noPlatforms,接続済みプラットフォームなし,接続済みプラットフォームなし,crm
crm.email.conn.noPlatformsDesc,APIキーまたはOAuthで広告・コマース・CRMプラットフォームを接続してください。,APIキーまたはOAuthで広告・コマース・CRMプラットフォームを接続してください。,crm
crm.email.conn.eventFeed,イベントフィード,イベントフィード,crm
crm.email.conn.noEvents,受信イベントなし,受信イベントなし,crm
crm.email.conn.dwTitle,データウェアハウス — 分析データ自動同期,データウェアハウス — 分析データ自動同期,crm
crm.email.conn.dwDesc,BigQuery・Snowflake・Redshift・Databricksにマーケティングデータをリアルタイム同期。ネイティブコネクタで既存BIツールと即座に統合可能。,BigQuery・Snowflake・Redshift・Databricksにマーケティングデータをリアルタイム同期。ネイティブコネクタで既存BIツールと即座に統合可能。,crm
crm.email.conn.dwBadge1,✓ Zero-ETLパイプライン,✓ Zero-ETLパイプライン,crm
crm.email.conn.dwBadge2,✓ リアルタイムストリーミング,✓ リアルタイムストリーミング,crm
crm.email.conn.dwBadge4,✓ 自動スキーマ進化,✓ 自動スキーマ進化,crm
crm.email.conn.dwBadge5,✓ 圧縮・パーティショニング,✓ 圧縮・パーティショニング,crm
crm.email.conn.dwArchTitle,データパイプラインアーキテクチャ,データパイプラインアーキテクチャ,crm
crm.email.conn.dwArchAd,広告プラットフォーム,広告プラットフォーム,crm
crm.email.conn.dwAuthSA,サービスアカウント,サービスアカウント,crm
crm.email.conn.dwConnectPrompt,データウェアハウス接続後マーケティングデータを自動同期します,データウェアハウス接続後マーケティングデータを自動同期します,crm
crm.email.conn.dwFeatureStreaming,リアルタイムストリーミング,リアルタイムストリーミング,crm
crm.email.conn.dwFeaturePartition,パーティショニング自動化,パーティショニング自動化,crm
crm.email.conn.dwFeatureML,MLモデル統合,MLモデル統合,crm
crm.email.conn.dwFeatureAutoScale,自動スケーリング,自動スケーリング,crm
crm.email.conn.dwFeatureSpectrum,Spectrum外部テーブル,Spectrum外部テーブル,crm
crm.email.conn.dwFeatureMLBuiltin,ML内蔵サポート,ML内蔵サポート,crm
crm.email.conn.dwFeatureDelta,Deltaトランザクション,Deltaトランザクション,crm
crm.email.conn.dwSync5min,5分ごと,5分ごと,crm
crm.email.conn.dwSync15min,15分ごと,15分ごと,crm
crm.email.ds.tabSchemaDesc,標準フィールド仕様,標準フィールド仕様,crm
crm.email.ds.tabPipelineDesc,データパイプライン,データパイプライン,crm
crm.email.ds.tabAlerts,推奨/アラートルール,推奨/アラートルール,crm
crm.email.ds.tabAlertsDesc,自動化トリガー,自動化トリガー,crm
crm.email.ds.badgeTotalFields,全イベントフィールド,全イベントフィールド,crm
crm.email.ds.badgeMetrics,メトリクス定義,メトリクス定義,crm
crm.email.ds.badgePlatforms,対応プラットフォーム,対応プラットフォーム,crm
crm.email.ds.adDesc,キャンペーン・クリエイティブ・キーワード・オーディエンスレベルのインプレッション/クリック/コンバージョンイベント標準スキーマ,キャンペーン・クリエイティブ・キーワード・オーディエンスレベルのインプレッション/クリック/コンバージョンイベント標準スキーマ,crm
crm.email.ds.marketOrders,マーケット注文/精算,マーケット注文/精算,crm
crm.email.ds.marketDesc,注文・返品・クレーム・精算の詳細控除項目を含むマーケットイベント標準スキーマ,注文・返品・クレーム・精算の詳細控除項目を含むマーケットイベント標準スキーマ,crm
crm.email.ds.ugcDesc,コンテンツ活動・クリック・クーポン・契約・権利/ホワイトリスト標準スキーマ,コンテンツ活動・クリック・クーポン・契約・権利/ホワイトリスト標準スキーマ,crm
crm.email.ds.secReturnClaim,返品・クレーム,返品・クレーム,crm
crm.email.ds.secCreatorIdentity,クリエイター識別,クリエイター識別,crm
crm.email.ds.secContentPerf,コンテンツパフォーマンス,コンテンツパフォーマンス,crm
crm.email.ds.fEventId,イベント固有UUID v4,イベント固有UUID v4,crm
crm.email.ds.fPlatform,プラットフォームコード,プラットフォームコード,crm
crm.email.ds.fAccountId,広告アカウントID,広告アカウントID,crm
crm.email.ds.fCampaignId,キャンペーンID,キャンペーンID,crm
crm.email.ds.fCampaignObj,キャンペーン目標,キャンペーン目標,crm
crm.email.ds.fAdsetId,広告セット/グループID,広告セット/グループID,crm
crm.email.ds.fAdsetName,広告セット名,広告セット名,crm
crm.email.ds.fAdId,クリエイティブ(広告)ID,クリエイティブ(広告)ID,crm
crm.email.ds.fAdName,クリエイティブ名,クリエイティブ名,crm
crm.email.ds.fCreativeType,クリエイティブタイプ,クリエイティブタイプ,crm
crm.email.ds.fKeywordId,検索キーワードID,検索キーワードID,crm
crm.email.ds.fKeywordText,キーワードテキスト,キーワードテキスト,crm
crm.email.ds.fMatchType,キーワードマッチタイプ,キーワードマッチタイプ,crm
crm.email.ds.fAudienceId,オーディエンスセグメントID,オーディエンスセグメントID,crm
crm.email.ds.fAudienceType,リターゲト/LAL/関心,リターゲト/LAL/関心,crm
crm.email.ds.fGeoCountry,国コード,国コード,crm
crm.email.ds.fDeviceType,デバイスタイプ,デバイスタイプ,crm
crm.email.ds.fEventDate,イベント日時UTC,イベント日時UTC,crm
crm.email.ds.fImpressions,インプレッション数,インプレッション数,crm
crm.email.ds.fCurrency,通貨コード,通貨コード,crm
crm.email.ds.fConversions,コンバージョン数,コンバージョン数,crm
crm.email.ds.fConvValue,コンバージョン金額,コンバージョン金額,crm
crm.email.ds.fReach,ユニークリーチ,ユニークリーチ,crm
crm.email.ds.fCpc,クリック単価,クリック単価,crm
crm.email.ds.fCreatorId,内部クリエイターUUID,内部クリエイターUUID,crm
crm.email.ds.fHandle,プラットフォームハンドル,プラットフォームハンドル,crm
crm.email.ds.fTier,クリエイターティア,クリエイターティア,crm
crm.email.ds.fContentId,プラットフォームコンテンツID,プラットフォームコンテンツID,crm
crm.email.ds.fContentType,コンテンツタイプ,コンテンツタイプ,crm
crm.email.ds.fLikes,いいね数,いいね数,crm
crm.email.ds.fAttribRevenue,アトリビューション寄与売上,アトリビューション寄与売上,crm
crm.email.ds.pipeMetricsCalc,メトリクス計算,メトリクス計算,crm
crm.email.ds.pipeRecommend,推奨/アラート,推奨/アラート,crm
crm.email.ds.pipeAdApiDesc,OAuth2トークン自動更新、15分間隔,OAuth2トークン自動更新、15分間隔,crm
crm.email.ds.pipeMarketFile,マーケット精算ファイル,マーケット精算ファイル,crm
crm.email.ds.pipeMarketFileDesc,精算CSV自動ダウンロード→S3ロード,精算CSV自動ダウンロード→S3ロード,crm
crm.email.ds.pipeUgcCrawl,UGCコンテンツ収集,UGCコンテンツ収集,crm
crm.email.ds.pipeUgcCrawlDesc,投稿後1h・24h・7d・30dスナップショット,投稿後1h・24h・7d・30dスナップショット,crm
crm.email.ds.pipeFieldMap,フィールドマッピング・通貨変換,フィールドマッピング・通貨変換,crm
crm.email.ds.pipeFieldMapDesc,プラットフォーム別→標準スキーママッピング,プラットフォーム別→標準スキーママッピング,crm
