ns,path,pollution_type,ko_value,ja_value,en_value,ko_length,suggested_ko
pages,pages.marketingIntel.channelDetail,LATIN_LONG,Channel Detail,Channel Detail,Channel Detail,14,
pages,pages.marketingIntel.channelKpiPage.keyInsight,LATIN_LONG,Key Insight,Key Insight,Key Insight,11,
pages,pages.marketingIntel.conditionLineClicked,LATIN_LONG,Condition Line Clicked,Condition Line Clicked,Condition Line Clicked,22,
pages,pages.marketingIntel.conditionPurchased,LATIN_LONG,Condition Purchased,Condition Purchased,Condition Purchased,19,
pages,pages.marketingIntel.confLabel,LATIN_LONG,Conf Label,Conf Label,Conf Label,10,
pages,pages.marketingIntel.creativePerf,LATIN_LONG,Creative Perf,Creative Perf,Creative Perf,13,
pages,pages.marketingIntel.creativeStudio.adFormatCount,LATIN_LONG,Ad Format Count,Ad Format Count,Ad Format Count,15,
pages,pages.marketingIntel.creativeStudio.adPreviewLabel,LATIN_LONG,Ad Preview Label,Ad Preview Label,Ad Preview Label,16,
pages,pages.marketingIntel.creativeStudio.adSpec,LATIN_LONG,Ad Spec,Ad Spec,Ad Spec,7,
pages,pages.marketingIntel.creativeStudio.adTag,LATIN_LONG,Advertising,Advertising,Advertising,11,
pages,pages.marketingIntel.creativeStudio.adTipTitle,LATIN_LONG,Ad Tip Title,Ad Tip Title,Ad Tip Title,12,
pages,pages.marketingIntel.creativeStudio.bodyHint,LATIN_LONG,Body Hint,Body Hint,Body Hint,9,
pages,pages.marketingIntel.creativeStudio.cat_beauty_desc,LATIN_LONG,Cat_beauty_desc,Cat_beauty_desc,Cat_beauty_desc,15,
pages,pages.marketingIntel.creativeStudio.cat_electronics,LATIN_LONG,Cat_electronics,Cat_electronics,Cat_electronics,15,
pages,pages.marketingIntel.creativeStudio.cat_electronics_desc,LATIN_LONG,Cat_electronics_desc,Cat_electronics_desc,Cat_electronics_desc,20,
pages,pages.marketingIntel.creativeStudio.cat_fashion,LATIN_LONG,Cat_fashion,Cat_fashion,Cat_fashion,11,
pages,pages.marketingIntel.creativeStudio.cat_fashion_desc,LATIN_LONG,Cat_fashion_desc,Cat_fashion_desc,Cat_fashion_desc,16,
pages,pages.marketingIntel.creativeStudio.cat_food_desc,LATIN_LONG,Cat_food_desc,Cat_food_desc,Cat_food_desc,13,
pages,pages.marketingIntel.creativeStudio.cat_general,LATIN_LONG,Cat_general,Cat_general,Cat_general,11,
pages,pages.marketingIntel.creativeStudio.cat_general_desc,LATIN_LONG,Cat_general_desc,Cat_general_desc,Cat_general_desc,16,
pages,pages.marketingIntel.creativeStudio.cat_overseas_buy,LATIN_LONG,Cat_overseas_buy,Cat_overseas_buy,Cat_overseas_buy,16,
pages,pages.marketingIntel.creativeStudio.cat_overseas_buy_desc,LATIN_LONG,Cat_overseas_buy_desc,Cat_overseas_buy_desc,Cat_overseas_buy_desc,21,
pages,pages.marketingIntel.creativeStudio.cat_overseas_ship,LATIN_LONG,Cat_overseas_ship,Cat_overseas_ship,Cat_overseas_ship,17,
pages,pages.marketingIntel.creativeStudio.cat_overseas_ship_desc,LATIN_LONG,Cat_overseas_ship_desc,Cat_overseas_ship_desc,Cat_overseas_ship_desc,22,
pages,pages.marketingIntel.creativeStudio.cat_sports_desc,LATIN_LONG,Cat_sports_desc,Cat_sports_desc,Cat_sports_desc,15,
pages,pages.marketingIntel.creativeStudio.categoryOptimized,LATIN_LONG,Category Optimized,Category Optimized,Category Optimized,18,
pages,pages.marketingIntel.creativeStudio.channelStep,LATIN_LONG,Channel Step,Channel Step,Channel Step,12,
pages,pages.marketingIntel.creativeStudio.ctaHint,LATIN_LONG,👆 CTA:,👆 CTA:,👆 CTA:,7,
pages,pages.marketingIntel.creativeStudio.customBody,LATIN_LONG,Custom Body,Custom Body,Custom Body,11,
pages,pages.marketingIntel.creativeStudio.customCopyToggle,LATIN_LONG,Custom Copy Toggle,Custom Copy Toggle,Custom Copy Toggle,18,
pages,pages.marketingIntel.creativeStudio.customHeadline,LATIN_LONG,Custom Headline,Custom Headline,Custom Headline,15,
pages,pages.marketingIntel.creativeStudio.headlineHint,LATIN_LONG,Headline Hint,Headline Hint,Headline Hint,13,
pages,pages.marketingIntel.creativeStudio.productInfo,LATIN_LONG,Product Info,Product Info,Product Info,12,
pages,pages.marketingIntel.creativeStudio.selectedLabel,LATIN_LONG,Selected Label,Selected Label,Selected Label,14,
pages,pages.marketingIntel.creativeStudio.selectFirst,LATIN_LONG,Select First,Select First,Select First,12,
pages,pages.marketingIntel.creativeStudio.selectFirstDesc,LATIN_LONG,Select First Desc,Select First Desc,Select First Desc,17,
pages,pages.marketingIntel.creativeStudio.selectStep,LATIN_LONG,Select Step,Select Step,Select Step,11,
pages,pages.marketingIntel.creativeStudio.selectStepHint,LATIN_LONG,Select Step Hint,Select Step Hint,Select Step Hint,16,
pages,pages.marketingIntel.days,LATIN_LONG, days, days,days,5,
pages,pages.marketingIntel.dbAdmin.backupHistory,LATIN_LONG,Backup History,Backup History,Backup History,14,
pages,pages.marketingIntel.dbAdmin.backupNow,LATIN_LONG,Backup Now,Backup Now,Backup Now,10,
pages,pages.marketingIntel.dbAdmin.dbConnected,LATIN_LONG,Db Connected,Db Connected,Db Connected,12,
pages,pages.marketingIntel.dbAdmin.lastBackup,LATIN_LONG,Last Backup,Last Backup,Last Backup,11,
pages,pages.marketingIntel.dbAdmin.queryResult,LATIN_LONG,Query Result,Query Result,Query Result,12,
pages,pages.marketingIntel.dbAdmin.runQuery,LATIN_LONG,Run Query,Run Query,Run Query,9,
pages,pages.marketingIntel.dbAdmin.slowQueries,LATIN_LONG,Slow Queries,Slow Queries,Slow Queries,12,
pages,pages.marketingIntel.dbAdmin.tabBackup,LATIN_LONG,Tab Backup,Tab Backup,Tab Backup,10,
pages,pages.marketingIntel.dbAdmin.tabQuery,LATIN_LONG,Tab Query,Tab Query,Tab Query,9,
pages,pages.marketingIntel.dbAdmin.tabStatus,LATIN_LONG,Tab Status,Tab Status,Tab Status,10,
pages,pages.marketingIntel.dbAdmin.totalSize,LATIN_LONG,Total Size,Total Size,Total Size,10,
pages,pages.marketingIntel.dbAdmin.totalTables,LATIN_LONG,Total Tables,Total Tables,Total Tables,12,
pages,pages.marketingIntel.dimChannel,LATIN_LONG,Dim Channel,Dim Channel,Dim Channel,11,
pages,pages.marketingIntel.dimContent,LATIN_LONG,Content type,Content type,Dim Content,12,
pages,pages.marketingIntel.dimCoupon,LATIN_LONG,Dim Coupon,Dim Coupon,Dim Coupon,10,
pages,pages.marketingIntel.dimCustomer,LATIN_LONG,Dim Customer,Dim Customer,Dim Customer,12,
pages,pages.marketingIntel.dimDevice,LATIN_LONG,Dim Device,Dim Device,Dim Device,10,
pages,pages.marketingIntel.dimTier,LATIN_LONG,Dim Tier,Dim Tier,Dim Tier,8,
pages,pages.marketingIntel.dimTime,LATIN_LONG,Dim Time,Dim Time,Dim Time,8,
pages,pages.marketingIntel.dimTouch,LATIN_LONG,Dim Touch,Dim Touch,Dim Touch,9,
pages,pages.marketingIntel.emailSenderPh,LATIN_LONG,Email Sender Ph,Email Sender Ph,Email Sender Ph,15,
pages,pages.marketingIntel.engagementTrend,LATIN_LONG,Engagement Trend,Engagement Trend,Engagement Trend,16,
pages,pages.marketingIntel.exportReport,LATIN_LONG,Export Report,Export Report,Export Report,13,
pages,pages.marketingIntel.finalCvr,LATIN_LONG,Final Cvr,Final Cvr,Final Cvr,9,
pages,pages.marketingIntel.forecast30d,LATIN_LONG,Forecast30d,Forecast30d,Forecast30d,11,
pages,pages.marketingIntel.forecast30dTotal,LATIN_LONG,Forecast30d Total,Forecast30d Total,Forecast30d Total,17,
pages,pages.marketingIntel.forecast7dTotal,LATIN_LONG,Forecast7d Total,Forecast7d Total,Forecast7d Total,16,
pages,pages.marketingIntel.funnelImp,LATIN_LONG,Impression count,Impression count,Impressions,16,
pages,pages.marketingIntel.funnelTotal,LATIN_LONG,Funnel Total,Funnel Total,Funnel Total,12,
pages,pages.marketingIntel.helpPanel.canDo,LATIN_LONG,🎯 What you can do with this menu,🎯 What you can do with this menu,🎯 What you can do with this menu,33,
pages,pages.marketingIntel.helpPanel.currentPageHelp,LATIN_LONG,Current Page Help,Current Page Help,Current Page Help,17,
pages,pages.marketingIntel.helpPanel.dataFrom,LATIN_LONG,Data From,Data From,Data From,9,
pages,pages.marketingIntel.helpPanel.defaultStep1,LATIN_LONG,Default Step1,Default Step1,Default Step1,13,
pages,pages.marketingIntel.helpPanel.defaultStep2,LATIN_LONG,Default Step2,Default Step2,Default Step2,13,
pages,pages.marketingIntel.helpPanel.defaultSummary,LATIN_LONG,Default Summary,Default Summary,Default Summary,15,
pages,pages.marketingIntel.helpPanel.defaultTitle,LATIN_LONG,Default Title,Default Title,Default Title,13,
pages,pages.marketingIntel.helpPanel.footerHelp,LATIN_LONG,Footer Help,Footer Help,Footer Help,11,
pages,pages.marketingIntel.helpPanel.fullManual,LATIN_LONG,Full Manual,Full Manual,Full Manual,11,
pages,pages.marketingIntel.helpPanel.goBack,LATIN_LONG,Go Back,Go Back,Go Back,7,
pages,pages.marketingIntel.helpPanel.goToPage,LATIN_LONG,Go To Page,Go To Page,Go To Page,10,
pages,pages.marketingIntel.helpPanel.helpResultCount,LATIN_LONG,"""{{q}}"" — {{n}}help articles","""{{q}}"" — {{n}}help articles","""{{q}}"" — {{n}}help articles",28,
pages,pages.marketingIntel.helpPanel.howToUse,LATIN_LONG,How To Use,How To Use,How To Use,10,
pages,pages.marketingIntel.helpPanel.needMoreHelp,LATIN_LONG,Need More Help,Need More Help,Need More Help,14,
pages,pages.marketingIntel.helpPanel.noHelpFound,LATIN_LONG,No Help Found,No Help Found,No Help Found,13,
pages,pages.marketingIntel.helpPanel.provides,LATIN_LONG,📊 Information this menu provides,📊 Information this menu provides,📊 Information this menu provides,33,
pages,pages.marketingIntel.helpPanel.searchResult,LATIN_LONG,Search Results,Search Results,Search Results,14,
pages,pages.marketingIntel.helpPanel.tryOther,LATIN_LONG,Try Other,Try Other,Try Other,9,
pages,pages.marketingIntel.infFunnel,LATIN_LONG,Inf Funnel,Inf Funnel,Inf Funnel,10,
pages,pages.marketingIntel.influencer.addInfluencer,LATIN_LONG,Add Influencer,Add Influencer,Add Influencer,14,
pages,pages.marketingIntel.influencer.aiLoading,LATIN_LONG,Ai Loading,Ai Loading,Ai Loading,10,
pages,pages.marketingIntel.influencer.aiRun,LATIN_LONG,Ai Run,Ai Run,Ai Run,6,
pages,pages.marketingIntel.influencer.attrData.abCollectMore,LATIN_LONG,Ab Collect More,Ab Collect More,Ab Collect More,15,
pages,pages.marketingIntel.influencer.attrData.abDeploy,LATIN_LONG,Ab Deploy,Ab Deploy,Ab Deploy,9,
pages,pages.marketingIntel.influencer.attrData.abKeepRunning,LATIN_LONG,Ab Keep Running,Ab Keep Running,Ab Keep Running,15,
pages,pages.marketingIntel.influencer.attrData.abWinner,LATIN_LONG,Ab Winner,Ab Winner,Ab Winner,9,
pages,pages.marketingIntel.influencer.attrData.alertCountSuffix,LATIN_LONG,Alert Count Suffix,Alert Count Suffix,Alert Count Suffix,18,
pages,pages.marketingIntel.influencer.attrData.allCompare,LATIN_LONG,All Compare,All Compare,All Compare,11,
pages,pages.marketingIntel.influencer.attrData.analysisJourney,LATIN_LONG,Analysis Journey,Analysis Journey,Analysis Journey,16,
pages,pages.marketingIntel.influencer.attrData.anomalyBodyText,LATIN_LONG,Anomaly Body Text,Anomaly Body Text,Anomaly Body Text,17,
pages,pages.marketingIntel.influencer.attrData.anomalyHeadDesc,LATIN_LONG,Anomaly Head Desc,Anomaly Head Desc,Anomaly Head Desc,17,
pages,pages.marketingIntel.influencer.attrData.anomalySummary,LATIN_LONG,Anomaly Summary,Anomaly Summary,Anomaly Summary,15,
pages,pages.marketingIntel.influencer.attrData.aScoreSub,LATIN_LONG,A Score Sub,A Score Sub,A Score Sub,11,
pages,pages.marketingIntel.influencer.attrData.ascoreTitle,LATIN_LONG,Ascore Title,Ascore Title,Ascore Title,12,
pages,pages.marketingIntel.influencer.attrData.autoRefl,LATIN_LONG,Auto Refl,Auto Refl,Auto Refl,9,
pages,pages.marketingIntel.influencer.attrData.badgeMmm,LATIN_LONG,Badge Mmm,Badge Mmm,Badge Mmm,9,
pages,pages.marketingIntel.influencer.attrData.badgeShapley,LATIN_LONG,Badge Shapley,Badge Shapley,Badge Shapley,13,
pages,pages.marketingIntel.influencer.attrData.badgeUplift,LATIN_LONG,Badge Uplift,Badge Uplift,Badge Uplift,12,
pages,pages.marketingIntel.influencer.attrData.betaBinomial,LATIN_LONG,Beta Binomial,Beta Binomial,Beta Binomial,13,
pages,pages.marketingIntel.influencer.attrData.budgetAdjust,LATIN_LONG,Budget Adjust,Budget Adjust,Budget Adjust,13,
pages,pages.marketingIntel.influencer.attrData.channelContrib,LATIN_LONG,Channel Contrib,Channel Contrib,Channel Contrib,15,
pages,pages.marketingIntel.influencer.attrData.channelSynergy,LATIN_LONG,Channel Synergy,Channel Synergy,Channel Synergy,15,
pages,pages.marketingIntel.influencer.attrData.cohortTitle,LATIN_LONG,Cohort Title,Cohort Title,Cohort Title,12,
pages,pages.marketingIntel.influencer.attrData.compareDescText,LATIN_LONG,Compare Desc Text,Compare Desc Text,Compare Desc Text,17,
pages,pages.marketingIntel.influencer.attrData.currVal,LATIN_LONG,Curr Val,Curr Val,Curr Val,8,
pages,pages.marketingIntel.influencer.attrData.dataIncluded,LATIN_LONG,Data Included,Data Included,Data Included,13,
pages,pages.marketingIntel.influencer.attrData.expectedBlendRoas,LATIN_LONG,Expected Blend Roas,Expected Blend Roas,Expected Blend Roas,19,
pages,pages.marketingIntel.influencer.attrData.explainAb,LATIN_LONG,Explain Ab,Explain Ab,Explain Ab,10,
pages,pages.marketingIntel.influencer.attrData.explainMarkov,LATIN_LONG,Explain Markov,Explain Markov,Explain Markov,14,
pages,pages.marketingIntel.influencer.attrData.explainMmm,LATIN_LONG,Explain Mmm,Explain Mmm,Explain Mmm,11,
pages,pages.marketingIntel.influencer.attrData.explainShapley,LATIN_LONG,Explain Shapley,Explain Shapley,Explain Shapley,15,
pages,pages.marketingIntel.influencer.attrData.filterIssue,LATIN_LONG,Filter Issue,Filter Issue,Filter Issue,12,
pages,pages.marketingIntel.influencer.attrData.filterOk,LATIN_LONG,Filter Ok,Filter Ok,Filter Ok,9,
pages,pages.marketingIntel.influencer.attrData.firstTouch,LATIN_LONG,First Touch,First Touch,First Touch,11,
pages,pages.marketingIntel.influencer.attrData.guideAbName,LATIN_LONG,Bayesian A/B,Bayesian A/B,Bayesian A/B,12,
pages,pages.marketingIntel.influencer.attrData.guideMarkovName,LATIN_LONG,Markov+Uplift,Markov+Uplift,Markov+Uplift,13,
pages,pages.marketingIntel.influencer.attrData.guideMmmName,LATIN_LONG,Bayesian MMM,Bayesian MMM,Bayesian MMM,12,
pages,pages.marketingIntel.influencer.attrData.health,LATIN_LONG,Health Score,Health Score,Health Score,12,
pages,pages.marketingIntel.influencer.attrData.hubRun,LATIN_LONG,Hub Run,Hub Run,Hub Run,7,
pages,pages.marketingIntel.influencer.attrData.lastTouch,LATIN_LONG,Last Touch,Last Touch,Last Touch,10,
pages,pages.marketingIntel.influencer.attrData.ltvcacTitle,LATIN_LONG,Ltvcac Title,Ltvcac Title,Ltvcac Title,12,
pages,pages.marketingIntel.influencer.attrData.markovInProgress,LATIN_LONG,Markov In Progress,Markov In Progress,Markov In Progress,18,
pages,pages.marketingIntel.influencer.attrData.markovRemoval,LATIN_LONG,🔗 Markov Chain — Removal Effect,🔗 Markov Chain — Removal Effect,🔗 Markov Chain — Removal Effect,32,
pages,pages.marketingIntel.influencer.attrData.markovTitle,LATIN_LONG,Markov Title,Markov Title,Markov Title,12,
pages,pages.marketingIntel.influencer.attrData.mmmSim,LATIN_LONG,Mmm Sim,Mmm Sim,Mmm Sim,7,
pages,pages.marketingIntel.influencer.attrData.mmmTitle,LATIN_LONG,Mmm Title,Mmm Title,Mmm Title,9,
pages,pages.marketingIntel.influencer.attrData.modelCompareTable,LATIN_LONG,Model Compare Table,Model Compare Table,Model Compare Table,19,
pages,pages.marketingIntel.influencer.attrData.noAbData,LATIN_LONG,No Ab Data,No Ab Data,No Ab Data,10,
pages,pages.marketingIntel.influencer.attrData.noJourneyData,LATIN_LONG,No Journey Data,No Journey Data,No Journey Data,15,
pages,pages.marketingIntel.influencer.attrData.noTimeSeriesData,LATIN_LONG,No Time Series Data,No Time Series Data,No Time Series Data,19,
pages,pages.marketingIntel.influencer.attrData.radarCompare,LATIN_LONG,Radar Compare,Radar Compare,Radar Compare,13,
pages,pages.marketingIntel.influencer.attrData.realtimeSync,LATIN_LONG,Real-time Sync ✓,Real-time Sync ✓,Real-time Sync ✓,16,
pages,pages.marketingIntel.influencer.attrData.roasSurge,LATIN_LONG,Roas Surge,Roas Surge,Roas Surge,10,
pages,pages.marketingIntel.influencer.attrData.saturationWarning,LATIN_LONG,Saturation Warning,Saturation Warning,Saturation Warning,18,
pages,pages.marketingIntel.influencer.attrData.shapleyBudgetRec,LATIN_LONG,Shapley Budget Rec,Shapley Budget Rec,Shapley Budget Rec,18,
pages,pages.marketingIntel.influencer.attrData.shapleyInProgress,LATIN_LONG,Shapley In Progress,Shapley In Progress,Shapley In Progress,19,
pages,pages.marketingIntel.influencer.attrData.shapleyTitle,LATIN_LONG,Shapley Title,Shapley Title,Shapley Title,13,
pages,pages.marketingIntel.influencer.attrData.statusAlert,LATIN_LONG,Status Alert,Status Alert,Status Alert,12,
pages,pages.marketingIntel.influencer.attrData.statusCrit,LATIN_LONG,Status Crit,Status Crit,Status Crit,11,
pages,pages.marketingIntel.influencer.attrData.statusInfo,LATIN_LONG,Status Info,Status Info,Status Info,11,
pages,pages.marketingIntel.influencer.attrData.statusOk,LATIN_LONG,Status Ok,Status Ok,Status Ok,9,
pages,pages.marketingIntel.influencer.attrData.statusWarn,LATIN_LONG,Status Warn,Status Warn,Status Warn,11,
pages,pages.marketingIntel.influencer.attrData.tabAbDesc,LATIN_LONG,Tab Ab Desc,Tab Ab Desc,Tab Ab Desc,11,
pages,pages.marketingIntel.influencer.attrData.tabAbLabel,LATIN_LONG,Tab Ab Label,Tab Ab Label,Tab Ab Label,12,
pages,pages.marketingIntel.influencer.attrData.tabAnomalyDesc,LATIN_LONG,Tab Anomaly Desc,Tab Anomaly Desc,Tab Anomaly Desc,16,
pages,pages.marketingIntel.influencer.attrData.tabAnomalyLabel,LATIN_LONG,Tab Anomaly Label,Tab Anomaly Label,Tab Anomaly Label,17,
pages,pages.marketingIntel.influencer.attrData.tabCohortDesc,LATIN_LONG,Tab Cohort Desc,Tab Cohort Desc,Tab Cohort Desc,15,
pages,pages.marketingIntel.influencer.attrData.tabCohortLabel,LATIN_LONG,Tab Cohort Label,Tab Cohort Label,Tab Cohort Label,16,
pages,pages.marketingIntel.influencer.attrData.tabCompareDesc,LATIN_LONG,Tab Compare Desc,Tab Compare Desc,Tab Compare Desc,16,
pages,pages.marketingIntel.influencer.attrData.tabCompareLabel,LATIN_LONG,Tab Compare Label,Tab Compare Label,Tab Compare Label,17,
pages,pages.marketingIntel.influencer.attrData.tabLtvDesc,LATIN_LONG,Tab Ltv Desc,Tab Ltv Desc,Tab Ltv Desc,12,
pages,pages.marketingIntel.influencer.attrData.tabMarkovDesc,LATIN_LONG,Tab Markov Desc,Tab Markov Desc,Tab Markov Desc,15,
pages,pages.marketingIntel.influencer.attrData.tabMarkovLabel,LATIN_LONG,Tab Markov Label,Tab Markov Label,Tab Markov Label,16,
pages,pages.marketingIntel.influencer.attrData.tabMmmDesc,LATIN_LONG,Tab Mmm Desc,Tab Mmm Desc,Tab Mmm Desc,12,
pages,pages.marketingIntel.influencer.attrData.tabMmmLabel,LATIN_LONG,Tab Mmm Label,Tab Mmm Label,Tab Mmm Label,13,
pages,pages.marketingIntel.influencer.attrData.tabMtaDesc,LATIN_LONG,Tab Mta Desc,Tab Mta Desc,Tab Mta Desc,12,
pages,pages.marketingIntel.influencer.attrData.tabMtaLabel,LATIN_LONG,Tab Mta Label,Tab Mta Label,Tab Mta Label,13,
pages,pages.marketingIntel.influencer.attrData.tabShapleyDesc,LATIN_LONG,Tab Shapley Desc,Tab Shapley Desc,Tab Shapley Desc,16,
pages,pages.marketingIntel.influencer.attrData.tabShapleyLabel,LATIN_LONG,Tab Shapley Label,Tab Shapley Label,Tab Shapley Label,17,
pages,pages.marketingIntel.influencer.attrData.timeSeries,LATIN_LONG,Time Series,Time Series,Time Series,11,
pages,pages.marketingIntel.influencer.attrData.topPaths,LATIN_LONG,Top Paths,Top Paths,Top Paths,9,
pages,pages.marketingIntel.influencer.attrData.totalCac,LATIN_LONG,Total Cac,Total Cac,Total Cac,9,
pages,pages.marketingIntel.influencer.attrData.totalLtv,LATIN_LONG,Total Ltv,Total Ltv,Total Ltv,9,
pages,pages.marketingIntel.influencer.attrData.totalStr,LATIN_LONG,Total Str,Total Str,Total Str,9,
pages,pages.marketingIntel.influencer.attrData.upliftSub,LATIN_LONG,Uplift Sub,Uplift Sub,Uplift Sub,10,
pages,pages.marketingIntel.influencer.attrData.upliftTitle,LATIN_LONG,Uplift Title,Uplift Title,Uplift Title,12,
pages,pages.marketingIntel.influencer.attrData.winner,LATIN_LONG,🏆 Winner,🏆 Winner,🏆 Winner,9,
pages,pages.marketingIntel.influencer.avgRoi,LATIN_LONG,Average ROI,Average ROI,Average ROI,11,
pages,pages.marketingIntel.influencer.colContent,LATIN_LONG,Col Content,Col Content,Col Content,11,
pages,pages.marketingIntel.influencer.colLikes,LATIN_LONG,Col Likes,Col Likes,Col Likes,9,
pages,pages.marketingIntel.influencer.createCampaign,LATIN_LONG,+ Create Marketing Campaign,+ Create Marketing Campaign,+ Create Marketing Campaign,27,
pages,pages.marketingIntel.influencer.estTotal,LATIN_LONG,Est Total,Est Total,Est Total,9,
pages,pages.marketingIntel.influencer.graph.contribCreative,LATIN_LONG,Contrib Creative,Contrib Creative,Contrib Creative,16,
pages,pages.marketingIntel.influencer.graph.contribInfluencer,LATIN_LONG,Contrib Influencer,Contrib Influencer,Contrib Influencer,18,
pages,pages.marketingIntel.influencer.graph.contribPath,LATIN_LONG,Contrib Path,Contrib Path,Contrib Path,12,
pages,pages.marketingIntel.influencer.graph.noEdge,LATIN_LONG,No Edge,No Edge,No Edge,7,
pages,pages.marketingIntel.influencer.graph.noPath,LATIN_LONG,No Path,No Path,No Path,7,
pages,pages.marketingIntel.influencer.graph.pathW,LATIN_LONG,Path W,Path W,Path W,6,
pages,pages.marketingIntel.influencer.graph.sourceNode,LATIN_LONG,Source Node,Source Node,Source Node,11,
pages,pages.marketingIntel.influencer.graph.targetNode,LATIN_LONG,Target Node,Target Node,Target Node,11,
pages,pages.marketingIntel.influencer.graph.topInfluencer,LATIN_LONG,Top Influencer,Top Influencer,Top Influencer,14,
pages,pages.marketingIntel.influencer.perfRate,LATIN_LONG,Perf Rate,Perf Rate,Perf Rate,9,
pages,pages.marketingIntel.influencer.recomFlat,LATIN_LONG,Recom Flat,Recom Flat,Recom Flat,10,
pages,pages.marketingIntel.influencer.system.activeUsers,LATIN_LONG,Active Users,Active Users,Active Users,12,
pages,pages.marketingIntel.influencer.system.apiLatency,LATIN_LONG,Api Latency,Api Latency,Api Latency,11,
pages,pages.marketingIntel.influencer.system.errorRate,LATIN_LONG,Error Rate,Error Rate,Error Rate,10,
pages,pages.marketingIntel.influencer.system.serverStatus,LATIN_LONG,Server Status,Server Status,Server Status,13,
pages,pages.marketingIntel.influencer.tabAnalytics,LATIN_LONG,Analysis Dashboard,Analysis Dashboard,Tab Analytics,18,
pages,pages.marketingIntel.influencer.tabCampaigns,LATIN_LONG,📣 Campaign Management,📣 Campaign Management,📣 Campaign Management,22,
pages,pages.marketingIntel.influencer.tabUgc,LATIN_LONG,Tab Ugc,Tab Ugc,Tab Ugc,7,
pages,pages.marketingIntel.influencer.totalInfluencers,LATIN_LONG,Total Influencers,Total Influencers,Total Influencers,17,
pages,pages.marketingIntel.kpiContrib,LATIN_LONG,Kpi Contrib,Kpi Contrib,Kpi Contrib,11,
pages,pages.marketingIntel.kpiContribSub,LATIN_LONG,Kpi Contrib Sub,Kpi Contrib Sub,Kpi Contrib Sub,15,
pages,pages.marketingIntel.kpiMetric,LATIN_LONG,Kpi Metric,Kpi Metric,Kpi Metric,10,
pages,pages.marketingIntel.kpiTable,LATIN_LONG,Kpi Table,Kpi Table,Kpi Table,9,
pages,pages.marketingIntel.logApproved,LATIN_LONG,✅ [Approve],✅ [Approve],✅ [Approve],11,
pages,pages.marketingIntel.logExecuted,LATIN_LONG,Log Executed,Log Executed,Log Executed,12,
pages,pages.marketingIntel.logRejected,LATIN_LONG,Log Rejected,Log Rejected,Log Rejected,12,
pages,pages.marketingIntel.marketingIntel.aiPredict.banner.days,LATIN_LONG, days, days,days,5,
pages,pages.marketingIntel.marketingIntel.aiPredict.kpi.churnAction,LATIN_LONG,Churn Action,Churn Action,Churn Action,12,
pages,pages.marketingIntel.marketingIntel.aiPredict.kpi.churnRisk,LATIN_LONG,Churn Risk Customer,Churn Risk Customer,Churn Risk Customer,19,
pages,pages.marketingIntel.marketingIntel.aiPredict.kpi.highLtv,LATIN_LONG,High Ltv,High Ltv,High Ltv,8,
pages,pages.marketingIntel.marketingIntel.aiPredict.kpi.highLtvSub,LATIN_LONG,High Ltv Sub,High Ltv Sub,High Ltv Sub,12,
pages,pages.marketingIntel.marketingIntel.aiPredict.kpi.mlAccuracy,LATIN_LONG,Ml Accuracy,Ml Accuracy,Ml Accuracy,11,
pages,pages.marketingIntel.marketingIntel.aiPredict.kpi.mlSub,LATIN_LONG,Ml Sub,Ml Sub,Ml Sub,6,
pages,pages.marketingIntel.marketingIntel.aiPredict.kpi.revenueSub,LATIN_LONG,Revenue Sub,Revenue Sub,Revenue Sub,11,
pages,pages.marketingIntel.marketingIntel.aiPredict.tab.integration,LATIN_LONG,Integration,Integration,Integration,11,
pages,pages.marketingIntel.marketingIntel.aiSuggestions,LATIN_LONG,Ai Suggestions,Ai Suggestions,Ai Suggestions,14,
pages,pages.marketingIntel.marketingIntel.banner.attrAiRun,LATIN_LONG,Attr Ai Run,Attr Ai Run,Attr Ai Run,11,
pages,pages.marketingIntel.marketingIntel.banner.attrAiSub,LATIN_LONG,Attr Ai,Attr Ai,Attr Ai,7,
pages,pages.marketingIntel.marketingIntel.banner.days,LATIN_LONG, days, days,days,5,
pages,pages.marketingIntel.marketingIntel.banner.kpiAllNormal,LATIN_LONG,All Normal,All Normal,All Normal,10,
pages,pages.marketingIntel.marketingIntel.banner.kpiRuleAction,LATIN_LONG,Rule Action,Rule Action,Rule Action,11,
pages,pages.marketingIntel.marketingIntel.banner.kpiRulesActive,LATIN_LONG,Rules Active,Rules Active,Rules Active,12,
pages,pages.marketingIntel.marketingIntel.banner.kpiRulesFired,LATIN_LONG,Rules Fired,Rules Fired,Rules Fired,11,
pages,pages.marketingIntel.marketingIntel.banner.pnlAiAction,LATIN_LONG,Pnl Ai Action,Pnl Ai Action,Pnl Ai Action,13,
pages,pages.marketingIntel.marketingIntel.banner.pnlBudgetAction,LATIN_LONG,Pnl Budget Action,Pnl Budget Action,Pnl Budget Action,17,
pages,pages.marketingIntel.marketingIntel.banner.pnlHighMargin,LATIN_LONG,Pnl High Margin,Pnl High Margin,Pnl High Margin,15,
pages,pages.marketingIntel.marketingIntel.banner.pnlHighMarginSub,LATIN_LONG,Pnl High Margin,Pnl High Margin,Pnl High Margin,15,
pages,pages.marketingIntel.marketingIntel.banner.pnlLowMargin,LATIN_LONG,Pnl Low Margin,Pnl Low Margin,Pnl Low Margin,14,
