ruleEnginePage.heroDescI18n	"すべてのチャネルの注文をリアルタイムで収集・管理・分析します。"
ruleEnginePage.gNav.pricing	"料金プラン"
ruleEnginePage.gNav.auditLog	"監査ログ"
ruleEnginePage.gNav.workspace	"ワークスペース"
ruleEnginePage.gNav.caseStudy	"ケーススタディ"
ruleEnginePage.gNav.help	"ヘルプセンター"
ruleEnginePage.gNav.feedback	"フィードバック"
ruleEnginePage.gNav.developerHub	"開発者ハブ"
ruleEnginePage.gNav.platformEnv	"プラットフォーム設定"
ruleEnginePage.gNav.userMgmt	"ユーザー管理"
ruleEnginePage.gNav.menuRule	"メニューアクセス"
ruleEnginePage.gNav.dbSchema	"DBスキーマ"
ruleEnginePage.gNav.serverMonitor	"サーバーモニター"
ruleEnginePage.gNav.aiRecommend	"AI即時レコメンド"
ruleEnginePage.gNav.contentCalendar	"コンテンツカレンダー"
ruleEnginePage.gNav.budgetPlanner	"予算プランナー"
ruleEnginePage.gNav.marketingIntel	"マーケティングインテリジェンス"
ruleEnginePage.gNav.digitalShelf	"デジタルシェルフ"
ruleEnginePage.gNav.amazonRisk	"Amazonリスク"
ruleEnginePage.gNav.smsMarketing	"SMSマーケティング"
ruleEnginePage.gNav.krChannel	"韓国チャネル精算"
ruleEnginePage.gNav.asiaLogistics	"アジア物流ハブ"
ruleEnginePage.gNav.myCoupons	"マイクーポン"
ruleEnginePage.gNav.connectors	"マスターコネクタ"
ruleEnginePage.gNav.eventNorm	"イベントスキーマ"
ruleEnginePage.gNav.adminCenter	"管理センター"
ruleEnginePage.gNav.systemMonitor	"サーバーモニター"
ruleEnginePage.gNav.menuAccessManager	"メニューアクセス管理"
ruleEnginePage.gNav.performance	"パフォーマンスセンター"
ruleEnginePage.super.clearCanvas	"キャンバスクリア"
ruleEnginePage.super.importBtn	"+ インポート"
ruleEnginePage.super.emptyTitle	"精算データなし"
ruleEnginePage.super.emptyDesc	"連携ハブでチャネルを接続すると精算データが自動収集されます"
ruleEnginePage.super.emptyGoHub	"連携ハブへ移動"
ruleEnginePage.super.autoFeeDesc	"チャネル接続時に標準手数料率が自動適用されます"
ruleEnginePage.super.pageTitle	"チャネル精算管理"
ruleEnginePage.super.pageDesc	"プラットフォーム別精算額追跡・手数料分析"
ruleEnginePage.super.noData	"データがありません。"
ruleEnginePage.super.kpiClaimCount	"クレーム"
ruleEnginePage.super.searchPlaceholder	"注文番号・購入者・商品名で検索..."
ruleEnginePage.super.allChannels	"全チャネル"
ruleEnginePage.super.allStatus	"全ステータス"
ruleEnginePage.super.colChannel	"チャネル"
ruleEnginePage.super.badgeClaim	"クレーム"
ruleEnginePage.super.labelChannel	"チャネル"
ruleEnginePage.super.settleColChannel	"チャネル"
ruleEnginePage.super.claimCancel	"キャンセル"
ruleEnginePage.super.settingsAutoCollectDesc	"連携チャネルから注文データをリアルタイムで自動収集します。"
ruleEnginePage.super.settingsSlaMonitor	"SLAモニタリング"
ruleEnginePage.super.settingsSlaMonitorDesc	"チャネル別出荷SLA基準時間を監視し、違反時に即座に通知します。"
ruleEnginePage.super.settingsNotifDesc	"新規注文、クレーム受付、SLA違反時にSlack/Emailで通知します。"
ruleEnginePage.super.routingNoRules	"ルーティングルールがありません。ルールを追加してください。"
nav.smartConnect	"スマートコネクト"
nav.license	"ライセンス"
pages.onboarding.guideSecMarketer	"広告連携、アトリビューション、AI、CRM、A/B。"
pages.onboarding.guideSecCommerce	"マルチチャネル、注文、WMS、決済、アラート。"
pages.onboarding.guideSecFinance	"P&L、収益性、照合、ESG、レポート。"
pages.onboarding.guideSecOps	"3PL、サプライチェーン、返品、アジア、アラート。"
pages.onboarding.guideSecDev	"APIキー、コネクタ、スキーマ、監視、AI。"
pages.onboarding.viewGuide	"利用ガイド"
pages.onboarding.backToRoles	"役割選択に戻る"
pages.onboarding.export	"エクスポート"
pages.onboarding.channelsLinked	"チャネル連携"
pages.onboarding.welcomeTitle	"Geniego-ROIへようこそ！"
pages.onboarding.welcomeDesc	"役割を選択すると、30分以内に最初のインサイトを得るためのカスタマイズされた5ステップパスをご案内します。"
pages.onboarding.estimatedTime	"予想所要: 役割あたり30分以内"
pages.onboarding.selectRole	"役割を選択してください"
pages.onboarding.btnStart	"開始する"
pages.onboarding.btnNext	"次へ"
pages.onboarding.markComplete	"完了マーク"
pages.onboarding.exclusiveGuide	"専用スタートガイド"
pages.onboarding.fiveStepPath	"5ステップカスタムパス"
pages.onboarding.expectedEffect	"このステップ完了時の予想効果"
pages.onboarding.allComplete	"全5ステップ完了！"
pages.onboarding.completionMsg	"オンボーディング完了。Geniego-ROIでROIを最大化しましょう。"
pages.onboarding.goToDashboard	"ダッシュボードへ"
pages.onboarding.exploreOtherRoles	"他の役割を探索"
pages.onboarding.roleStarted	"オンボーディング開始"
pages.onboarding.stepCompleted	"ステップ完了"
pages.onboarding.crossTabSync	"別タブからスキーマ同期"
pages.onboarding.pageTitle	"🔌 連携ハブ"
pages.onboarding.pageSub	"コネクタ＆統合管理"
pages.onboarding.roleMarketer	"マーケター"
pages.onboarding.roleMarketerDesc	"広告パフォーマンス分析、AIキャンペーン自動化、CRMセグメント"
pages.onboarding.roleCommerce	"コマースオーナー"
pages.onboarding.roleCommerceDesc	"マルチチャネル注文・在庫・WMS・返品統合管理"
pages.onboarding.roleFinance	"財務・経営者"
pages.onboarding.roleFinanceDesc	"P&L分析、チャネル別収益性、ESG・レポート自動化"
pages.onboarding.roleOpsDesc	"3PL・物流・サプライチェーン・返品統合運営"
pages.onboarding.roleDev	"開発者・IT管理者"
pages.onboarding.roleDevDesc	"API連携、システム監視、データスキーマ"
pages.onboarding.tagSupplyChain	"サプライチェーン"
pages.onboarding.tagMonitoring	"システム監視"
pages.onboarding.tagData	"データ"
pages.onboarding.stepAdsIntegration	"広告チャネル連携"
pages.onboarding.stepAdsIntegrationDesc	"Meta・Google・TikTok・Naver・KakaoのAPIキー入力だけで広告データが自動収集されます。"
pages.onboarding.kpiAdsIntegration	"平均30分以内に初回データ収集"
pages.onboarding.stepAttribution	"アトリビューション分析"
pages.onboarding.stepAttributionDesc	"Shapley Valueベースでどのチャネルが実際の売上に貢献したかを公正に測定します。"
pages.onboarding.kpiAttribution	"チャネル無駄予算平均23%削減"
pages.onboarding.stepAIMarketing	"AIマーケティング自動化"
pages.onboarding.stepAIMarketingDesc	"AIが顧客セグメントを自動生成し、最適な送信時間にEmail・Kakao・SMSを自動配信します。"
pages.onboarding.stepCRM	"CRMセグメント設定"
pages.onboarding.stepCRMDesc	"VIP・離脱リスク・再購入可能な顧客をAIが自動分類します。"
pages.onboarding.stepABTest	"A/Bテスト実行"
pages.onboarding.stepABTestDesc	"ベイズ最適化で勝者バリアントを統計的に95%信頼度で自動確定します。"
pages.onboarding.kpiABTest	"コンバージョン率平均+18%向上"
pages.onboarding.stepChannelConnect	"販売チャネル連携"
pages.onboarding.stepChannelConnectDesc	"Shopify・Coupang・Naver・Amazon APIを接続すると商品・在庫・注文がリアルタイム同期されます。"
pages.onboarding.stepOrderHub	"注文ハブ設定"
pages.onboarding.stepOrderHubDesc	"全チャネル注文を一カ所で処理し、配送会社自動割当ルールを設定します。"
pages.onboarding.stepWMSDesc	"入庫・ピッキング・出庫・棚卸をバーコードスキャンベースで自動化します。"
pages.onboarding.kpiWMS	"ピッキングエラー率0.08%以下"
pages.onboarding.stepSettlementDesc	"チャネル別手数料を自動照合し、実質純利益をリアルタイム計算します。"
pages.onboarding.stepInventoryAlert	"在庫アラート設定"
pages.onboarding.stepInventoryAlertDesc	"安全在庫以下で即時アラート、需要予測ベースの自動発注推奨を受けます。"
pages.onboarding.kpiInventoryAlert	"在庫切れを事前防止"
pages.onboarding.stepPnL	"P&Lダッシュボード"
pages.onboarding.stepPnLDesc	"チャネル別・SKU別の実質純利益を広告費・手数料・物流費控除後にリアルタイムで確認します。"
pages.onboarding.stepChannelProfit	"チャネル別収益性分析"
pages.onboarding.stepChannelProfitDesc	"LTV/CAC比率でどのチャネルが長期的に最も収益性が高いか分析します。"
pages.onboarding.stepReconciliationDesc	"プラットフォーム精算内容と実際入金額を自動マッチングし、未払い・誤払いを即座に検知します。"
pages.onboarding.kpiReconciliation	"マッチング率97.6%"
pages.onboarding.stepESG	"ESGレポート"
pages.onboarding.stepESGDesc	"炭素排出・持続可能性指標を自動集計し、投資家・規制対応レポートを生成します。"
pages.onboarding.stepReportAuto	"レポート自動化"
pages.onboarding.stepReportAutoDesc	"経営陣用週次/月次レポートをPDF・Excelでスケジュール自動送信設定します。"
pages.onboarding.kpiReportAuto	"レポート作成時間90%削減"
pages.onboarding.step3PL	"3PLパートナー登録"
pages.onboarding.step3PLDesc	"物流パートナーを登録し、自動配車ルールを設定します。"
pages.onboarding.stepSupplyChain	"サプライチェーン管理"
pages.onboarding.stepSupplyChainDesc	"サプライヤーから消費者まで全サプライチェーンの可視性をリアルタイムで確認します。"
pages.onboarding.kpiSupplyChain	"サプライチェーンリスク早期検知"
pages.onboarding.stepReturns	"返品ポータル設定"
pages.onboarding.stepReturnsDesc	"顧客返品申請→検品→再入庫→返金を自動化し、返品原因を分析します。"
pages.onboarding.stepAsiaLogistics	"アジア物流連携"
pages.onboarding.stepAsiaLogisticsDesc	"韓国・日本・東南アジア3PL、関税・通関自動化、多国倉庫管理を設定します。"
pages.onboarding.kpiAsiaLogistics	"海外配送エラー78%減少"
pages.onboarding.stepOpsAlert	"運営アラート設定"
pages.onboarding.stepOpsAlertDesc	"配送遅延、在庫切迫、システムエラー発生時に即座にSlack・Emailアラートを受け取ります。"
pages.onboarding.stepAPIKey	"APIキー発行"
pages.onboarding.stepAPIKeyDesc	"REST APIキーを発行して外部システムとGeniego-ROIを統合します。"
pages.onboarding.kpiAPIKey	"400+ APIエンドポイント対応"
pages.onboarding.stepConnector	"コネクタ設定"
pages.onboarding.stepConnectorDesc	"ERP・PIM・WMS等既存システムと双方向データパイプラインを構成します。"
pages.onboarding.kpiConnector	"100+システム統合対応"
pages.onboarding.stepDataSchema	"データスキーマ確認"
pages.onboarding.stepDataSchemaDesc	"収集される全イベント・注文・顧客データのスキーマと正規化ルールを確認します。"
pages.onboarding.kpiDataSchema	"リアルタイムデータ検証"
pages.onboarding.stepSysMonitor	"システム監視"
pages.onboarding.stepSysMonitorDesc	"APIレイテンシ、DLQエラー、バッチジョブ状態をリアルタイムで監視します。"
pages.onboarding.stepAIPolicyDesc	"AI自動化ルールの実行条件・承認フロー・監査ログを構成します。"
pages.onboarding.secTitle	"セキュリティ脅威検出"
pages.onboarding.secCode	"ロック解除コード入力"
pages.onboarding.secUnlock	"ロック解除"
pages.writeback.heroDesc	"API キーを登録し接続状態を管理します。"
pages.writeback.pageTitle	"🔌 連携ハブ"
pages.writeback.pageSub	"コネクタ＆統合管理"
pages.writeback.channel	"チャネル"
pages.writeback.skuPlaceholder	"SKUを入力"
pages.writeback.btnPreview	"プレビュー"
pages.writeback.btnRefreshJobs	"ジョブ更新"
pages.writeback.policyValidate	"ポリシー検証"
pages.writeback.categorySuggestion	"カテゴリ提案"
pages.writeback.runPreparePolicy	"Prepareを実行してポリシーを検証。"
pages.writeback.runPrepareCategory	"Prepareを実行してカテゴリ提案を取得。"
pages.writeback.policyFindings	"ポリシー発見事項"
pages.writeback.payloadEditor	"ペイロードエディタ"
pages.writeback.payloadEditorDesc	"商品JSONを入力し、プレビューで実行前に検証。"
pages.writeback.jobHistory	"ジョブ履歴"
pages.writeback.noJobs	"ライトバックジョブなし"
pages.writeback.noJobsDesc	"ライトバック操作を実行するとジョブ履歴が表示されます。"
pages.writeback.colChannel	"チャネル"
pages.writeback.colStatus	"ステータス"
pages.writeback.tabConsole	"コンソール"
pages.writeback.tabConsoleDesc	"チャネルライトバック操作"
pages.writeback.tabJobs	"ジョブ履歴"
pages.writeback.tabJobsDesc	"ライトバックジョブログ"
pages.writeback.tabSettingsDesc	"ライトバック設定"
pages.writeback.settingsTitle	"⚙ ライトバック設定"
pages.writeback.cfgAutoRetry	"自動リトライ"
pages.writeback.cfgAutoRetryDesc	"失敗ジョブの自動再試行"
pages.writeback.cfgDryRun	"ドライランモード"
pages.writeback.cfgDryRunDesc	"実際のAPI呼び出しなしにシミュレーション"
pages.writeback.cfgApprovalGate	"承認ゲート"
pages.writeback.cfgApprovalGateDesc	"高リスク操作に承認必要"
pages.writeback.cfgWebhookNotifyDesc	"完了/失敗時にWebhook送信"
pages.writeback.cfgRateLimit	"レート制限"
pages.writeback.cfgRateLimitDesc	"チャネル別APIレート制限"
pages.writeback.cfgAuditLog	"監査ログ"
pages.writeback.cfgAuditLogDesc	"コンプライアンス用全操作記録"
pages.writeback.badgeChannels	"チャネル"
pages.writeback.badgeRealtime	"リアルタイム同期"
pages.writeback.badgeSecurity	"セキュリティ有効"
pages.writeback.syncRules	"AIルール"
pages.writeback.liveSyncStatus	"リアルタイムデータ同期状態"
pages.writeback.demoBanner	"🎭 デモモード"
pages.writeback.demoBannerDesc	"読み取り専用。"
pages.writeback.upgradeBtn	"💎 Proアップグレード"
pages.writeback.crossTabSync	"別タブからスキーマ同期"
pages.writeback.demoGuard	"デモモード — ライトバック操作不可"
pages.writeback.errNoSku	"SKUを入力してください。"
pages.writeback.errNoPayload	"商品JSONを入力してください。"
pages.writeback.approvalCreated	"承認が必要です。承認管理で承認してください。"
pages.writeback.secTitle	"セキュリティ脅威検出"
pages.writeback.secDesc	"不審なアクティビティ検出"
pages.writeback.secCode	"ロック解除コード入力"
pages.writeback.secUnlock	"ロック解除"
pages.marketing.sidebarAlertCount	"🚨 {{n}}件アラート"
pages.marketing.sidebarCampaignActive	"🟢 {{n}}キャンペーン実行中"
pages.marketing.sidebarUpgrade	"アップグレード"
pages.marketing.sidebarLogout	"ログアウト"
pages.marketing.convRateLbl	"コンバージョン率"
pages.marketing.channel	"チャネル"
pages.graphScore.pageTitle	"グラフスコアリング"
pages.graphScore.heroDesc	"インフルエンサー・クリエイティブ・SKU・注文間のグラフネットワークを分析し、各ノードの貢献度をスコアリングします。"
pages.graphScore.tabSummary	"サマリースコア"
pages.graphScore.tabBrowser	"グラフブラウザ"
pages.graphScore.tabInfluencer	"インフルエンサースコア"
pages.graphScore.tabSku	"SKUスコア"
pages.graphScore.lbl_influencer	"インフルエンサー"
pages.graphScore.lbl_creative	"クリエイティブ（広告素材）"
pages.graphScore.nodes	"接続ノード"
pages.graphScore.totalEdge	"総エッジ数："
pages.graphScore.topInfluencer	"トップ貢献インフルエンサー"
pages.graphScore.topCreative	"最も効果的なクリエイティブ"
pages.graphScore.topSku	"商品別コンバージョン貢献度"
pages.graphScore.noData	"データがありません。統合ハブでチャネルを接続し、データを収集してください。"
pages.graphScore.loading	"読み込み中…"
pages.graphScore.phInfId	"インフルエンサーIDを選択または入力"
pages.graphScore.phSkuId	"SKU IDを選択または入力"
pages.graphScore.phNodeIdFilter	"ノードIDでフィルタ"
pages.graphScore.graphScoreLabel	"グラフスコア"
pages.graphScore.connectedSku	"接続済みSKU"
pages.graphScore.connectedOrders	"接続済み注文"
pages.graphScore.label	"ラベル"
pages.graphScore.weightDesc	"エッジ重み = 貢献度指標"
pages.graphScore.weight	"重み"
pages.graphScore.guideTabsTitle	"タブ別詳細ガイド"
pages.graphScore.guideSummaryName	"📊 サマリーダッシュボード"
pages.graphScore.guideSummaryDesc	"ネットワーク全体のノード数、エッジ数、トップ貢献者を一覧する総合ダッシュボード。ノードタイプ別の色分けで直感的に視覚化します。"
pages.graphScore.guideBrowserName	"🔍 グラフブラウザ"
pages.graphScore.guideBrowserDesc	"全エッジをテーブル形式で閲覧し、ノードIDで検索・フィルタリングする探索ツールです。ソースノード、ターゲットノード、重み、ラベルを確認できます。"
pages.graphScore.guideInfluencerName	"🤝 インフルエンサースコア"
pages.graphScore.guideInfluencerDesc	"特定インフルエンサーのGraph Score、接続SKU数、接続注文数をKPIカードで表示。貢献パステーブルで完全な変換経路を追跡します。"
pages.graphScore.guideSkuName	"📦 SKUスコア"
pages.graphScore.guideSkuDesc	"特定SKUに貢献したクリエイティブ数、注文数、インフルエンサーランキングを分析します。メダル表示（🥇🥈🥉）で最大貢献者を可視化します。"
pages.graphScore.tabCreative	"クリエイティブスコア"
pages.graphScore.phCreativeId	"クリエイティブIDを選択または入力"
pages.graphScore.connectedCreatives	"接続済みクリエイティブ"
pages.graphScore.connectedInfluencers	"接続済みインフルエンサー"
pages.graphScore.weightSettings	"重み設定"
pages.graphScore.weightSettingsDesc	"ノードタイプ別の重みを調整してスコアリング基準をカスタマイズします。"
pages.graphScore.weightInfluencer	"インフルエンサー重み"
pages.graphScore.weightCreative	"クリエイティブ重み"
pages.graphScore.weightSku	"SKU重み"
pages.graphScore.weightOrder	"注文重み"
pages.graphScore.weightApply	"重み適用"
pages.graphScore.weightReset	"デフォルトに戻す"
pages.graphScore.exportCsv	"CSVエクスポート"
pages.graphScore.exportExcel	"Excelエクスポート"
pages.graphScore.channelFee	"チャネル手数料"
pages.graphScore.channelFeeDesc	"接続チャネルの手数料を反映した純貢献度です。"
pages.graphScore.connectedChannels	"接続チャネル"
pages.graphScore.noConnectedChannels	"接続チャネルがありません。統合ハブでAPIキーを登録してください。"
pages.graphScore.goIntegrationHub	"統合ハブへ移動"
pages.graphScore.syncNow	"今すぐ同期"
pages.graphScore.pathWeight	"パス重み"
pages.graphScore.contribPath	"🛤 貢献パス"
pages.graphScore.contribCreative	"貢献クリエイティブ"
pages.graphScore.contribInfluencer	"貢献インフルエンサー"
pages.graphScore.sourceNode	"ソースノード"
pages.graphScore.targetNode	"ターゲットノード"
pages.graphScore.noEdge	"エッジなし — 統合ハブでチャネルを接続してください"
pages.graphScore.noPath	"接続された貢献パスなし"
pages.graphScore.inf	"インフルエンサー"
pages.graphScore.crt	"クリエイティブ"
pages.graphScore.secLockTitle	"セキュリティ警告検出"
pages.graphScore.secLockDesc	"異常なアクセスが検出され、ブロックされました。しばらくしてから再試行してください。"
pages.graphScore.liveSyncStatus	"リアルタイムクロスタブ同期有効 — すべてのメニューのデータがリアルタイムで反映されます。"
pages.graphScore.guideSummaryTitle	"サマリーダッシュボード"
pages.graphScore.guideBrowserTitle	"グラフブラウザ"
pages.graphScore.guideInfluencerTitle	"インフルエンサースコア"
pages.graphScore.guideSkuTitle	"SKUスコア"
pages.graphScore.guideCreativeName	"🎬 クリエイティブスコア"
pages.graphScore.guideCreativeTitle	"クリエイティブスコア"
pages.graphScore.guideCreativeDesc	"特定クリエイティブのGraph Score、接続SKU、関連インフルエンサー、派生注文数を分析します。クリエイティブ別ROI最適化に活用できます。"
pages.krChannel.pageTitle	"🔌 連携ハブ"
pages.krChannel.pageSub	"コネクタ＆統合管理"
pages.krChannel.noRules	"ルールなし"
pages.krChannel.channel	"チャネル"
pages.reconciliation.pageTitle	"🔌 連携ハブ"
pages.reconciliation.pageSub	"コネクタ＆統合管理"
pages.reconciliation.tabUpload	"📤 商品アップロード"
pages.reconciliation.uploadTitle	"📤 商品一括アップロード"
pages.reconciliation.uploadDesc	"CSVファイルをドロップしてチャネル間在庫を自動アップロードします。"
pages._marketing_1.pageTitle	"🔌 連携ハブ"
pages._marketing_1.pageSub	"コネクタ＆統合管理"
pages._marketing_1.colChannel	"チャネル"
pages._marketing_1.colStatus	"ステータス"
pages._marketing_1.generating	"ルール生成中..."
pages._marketing_1.kpiTotal	"全チャネル"
pages._marketing_1.approved	"承認済み"
pages.perms.menu.channelKpi.heroDesc	"API キーを登録し接続状態を管理します。"
pages.perms.menu.marketingIntel.pageTitle	"🧠 マーケティングインテリジェンス"
pages.perms.menu.marketingIntel.pageSub	"流入・転換分析 · 20項目KPI貢献度スコアリング · AI推薦 · 自動化承認実行"
pages.perms.menu.marketingIntel.badge4ch	"4チャンネル"
pages.perms.menu.marketingIntel.badge5inf	"5インフルエンサー"
pages.perms.menu.marketingIntel.tabFunnel	"📊 流入・転換分析"
pages.perms.menu.marketingIntel.tabFunnelDesc	"ファネル・チャネル・インフルエンサー転換"
pages.perms.menu.marketingIntel.tabKpiDesc	"20項目KPI貢献度スコアリング"
pages.perms.menu.marketingIntel.tabAi	"🤖 AI推薦エンジン"
pages.perms.menu.marketingIntel.tabAiDesc	"AIマーケティング手法推薦"
pages.perms.menu.marketingIntel.tabAuto	"⚙️ マーケティング自動化"
pages.perms.menu.marketingIntel.tabAutoDesc	"自動化ルール・承認・実行"
pages.perms.menu.marketingIntel.funnelTotal	"🔽 全体マーケティングファネル (4チャネル統合)"
pages.perms.menu.marketingIntel.funnelClicks	"クリック数"
pages.perms.menu.marketingIntel.funnelCart	"カート"
pages.perms.menu.marketingIntel.ctr	"クリック率(CTR)"
pages.perms.menu.marketingIntel.cartRate	"カート率"
pages.perms.menu.marketingIntel.channelDetail	"📣 チャネル別流入・転換詳細 (クリックで展開)"
pages.perms.menu.marketingIntel.cartToBuy	"カート→購入"
pages.perms.menu.marketingIntel.cpo	"CPO (件当たりコスト)"
pages.perms.menu.marketingIntel.mobileCvr	"モバイル転換"
pages.perms.menu.marketingIntel.infFunnel	"🤝 インフルエンサーキャンペーン流入・転換"
pages.perms.menu.marketingIntel.creator	"クリエイター"
pages.perms.menu.marketingIntel.reach	"リーチ"
pages.perms.menu.marketingIntel.clicks	"クリック"
pages.perms.menu.marketingIntel.kpiTotal	"🏆 チャネル総合貢献度スコア (20項目加重合算)"
pages.perms.menu.marketingIntel.kpiTable	"📋 20項目標準評価指標詳細 (チャネル別)"
pages.perms.menu.marketingIntel.dimChannel	"チャネル種別"
pages.perms.menu.marketingIntel.dimContent	"コンテンツ種別"
pages.perms.menu.marketingIntel.dimTier	"インフルエンサー規模"
pages.perms.menu.marketingIntel.dimDevice	"デバイス"
pages.perms.menu.marketingIntel.dimCoupon	"プロモーション種別"
pages.perms.menu.marketingIntel.dimTouch	"タッチポイント数"
pages.perms.menu.marketingIntel.aiEngine	"🤖 Claude AI マーケティング推薦エンジン"
pages.perms.menu.marketingIntel.aiEngineDesc	"流入・転換・貢献度データ基盤 最適マーケティング戦略推薦"
pages.perms.menu.marketingIntel.actionLabel	"実行アクション:"
pages.perms.menu.marketingIntel.autoRules	"⚙️ 自動化ルール一覧"
pages.perms.menu.marketingIntel.statusPending	"承認待ち"
pages.perms.menu.marketingIntel.statusApproved	"承認済み"
pages.perms.menu.marketingIntel.trigger	"トリガー"
pages.perms.menu.marketingIntel.action	"アクション"
pages.perms.menu.marketingIntel.rejected	"✕ 却下済み"
pages.perms.menu.marketingIntel.execLog	"📜 自動化実行ログ"
pages.perms.menu.marketingIntel.adCreativeTitle	"🎨 AI広告クリエイティブ生成スタジオ"
pages.perms.menu.marketingIntel.adCreativeSub	"Claude AIがチャネル・カテゴリ・ターゲットに合わせた広告素材を自動生成します"
pages.perms.menu.marketingIntel.adPlatform	"📢 広告プラットフォーム選択"
pages.perms.menu.marketingIntel.adSize	"📐 広告サイズ"
pages.perms.menu.marketingIntel.adStyle	"🎨 クリエイティブスタイル"
pages.perms.menu.marketingIntel.adTone	"✍️ コピーのトーン"
pages.perms.menu.marketingIntel.adProductPh	"例: 保湿クリーム プレミアム 50ml"
pages.perms.menu.marketingIntel.adKeyword	"🔑 キーワード"
pages.perms.menu.marketingIntel.adKeywordPh	"例: 保湿, 弾力, 肌バリア"
pages.perms.menu.marketingIntel.adTarget	"🎯 ターゲット"
pages.perms.menu.marketingIntel.adCta	"📣 CTAボタン"
pages.perms.menu.marketingIntel.adGenerate	"✨ AI広告素材を生成"
pages.perms.menu.marketingIntel.adGenerating	"🤖 AIが広告素材を生成中…"
pages.perms.menu.marketingIntel.adResult	"🎨 生成された広告素材"
pages.perms.menu.marketingIntel.adHeadline	"ヘッドライン"
pages.perms.menu.marketingIntel.adBody	"本文コピー"
pages.perms.menu.marketingIntel.adHashtags	"ハッシュタグ"
pages.perms.menu.marketingIntel.adKeywords	"キーワード"
pages.perms.menu.marketingIntel.adDownload	"⬇ ダウンロード"
pages.perms.menu.marketingIntel.adCopy	"📋 コピー"
pages.perms.menu.approvals.pageTitle	"🔌 連携ハブ"
pages.perms.menu.approvals.pageSub	"コネクタ＆統合管理"
pages.perms.menu.approvals.requestList	"📋 承認キュー"
pages.perms.menu.approvals.filterAll	"すべて"
pages.perms.menu.approvals.noRequests	"承認リクエストなし"
pages.perms.menu.approvals.GuardDecide	"デモモードでは承認/却下不可"
pages.perms.menu.approvals.GuardExecute	"デモモードでは実行不可"
pages.perms.menu.writeback.pageTitle	"🔌 連携ハブ"
pages.perms.menu.writeback.pageSub	"コネクタ＆統合管理"
pages.perms.menu.writeback.tabPolicies	"🛡️ ポリシー"
pages.perms.menu.writeback.policyName	"ポリシー名"
pages.perms.menu.writeback.noPolicies	"ポリシーなし"
pages.perms.menu.connectors.pageTitle	"🔌 連携ハブ"
pages.perms.menu.connectors.pageSub	"コネクタ＆統合管理"
pages.perms.menu.connectors.connected	"接続済み"
pages.perms.menu.eventNorm.pageTitle	"🔌 連携ハブ"
pages.perms.menu.eventNorm.pageSub	"コネクタ＆統合管理"
pages.perms.menu.mappingRegistry.pageTitle	"🔌 連携ハブ"
pages.perms.menu.mappingRegistry.pageSub	"コネクタ＆統合管理"
pages.perms.colChannel	"チャネル"
pages.report.colStatus	"ステータス"
pages.mobile.coupon.pageTitle	"🔌 連携ハブ"
pages.mobile.coupon.pageSub	"コネクタ＆統合管理"
pages.mobile.adminCoupon.tabHistory	"📋 アラート履歴"
pages.mobile.adminCoupon.colStatus	"ステータス"
pages.mobile.adminCoupon.colAction	"アクション"
pages.mobile.aiInsightsPage.heroDesc	"API キーを登録し接続状態を管理します。"
pages.mobile.aiInsightsPage.tabHistory	"📋 アラート履歴"
pages.mobile.aiInsightsPage.tabHistoryDesc	"リアルタイムログ"
pages.cmpVal.aiPredict.pageTitle	"🔌 連携ハブ"
pages.cmpVal.aiPredict.pageSub	"コネクタ＆統合管理"
pages.cmpVal.aiPredict.filterAll	"すべて"
pages.menu.channelKpi.heroDesc	"API キーを登録し接続状態を管理します。"
pages.menu.marketingIntel.pageTitle	"🧠 マーケティングインテリジェンス"
pages.menu.marketingIntel.pageSub	"流入・転換分析 · 20項目KPI貢献度スコアリング · AI推薦 · 自動化承認実行"
pages.menu.marketingIntel.badge4ch	"4チャンネル"
pages.menu.marketingIntel.badge5inf	"5インフルエンサー"
pages.menu.marketingIntel.tabFunnel	"📊 流入・転換分析"
pages.menu.marketingIntel.tabFunnelDesc	"ファネル・チャネル・インフルエンサー転換"
pages.menu.marketingIntel.tabKpiDesc	"20項目KPI貢献度スコアリング"
pages.menu.marketingIntel.tabAi	"🤖 AI推薦エンジン"
pages.menu.marketingIntel.tabAiDesc	"AIマーケティング手法推薦"
pages.menu.marketingIntel.tabAuto	"⚙️ マーケティング自動化"
pages.menu.marketingIntel.tabAutoDesc	"自動化ルール・承認・実行"
pages.menu.marketingIntel.funnelTotal	"🔽 全体マーケティングファネル (4チャネル統合)"
pages.menu.marketingIntel.funnelClicks	"クリック数"
pages.menu.marketingIntel.funnelCart	"カート"
pages.menu.marketingIntel.ctr	"クリック率(CTR)"
pages.menu.marketingIntel.cartRate	"カート率"
pages.menu.marketingIntel.channelDetail	"📣 チャネル別流入・転換詳細 (クリックで展開)"
pages.menu.marketingIntel.cartToBuy	"カート→購入"
pages.menu.marketingIntel.cpo	"CPO (件当たりコスト)"
pages.menu.marketingIntel.mobileCvr	"モバイル転換"
pages.menu.marketingIntel.infFunnel	"🤝 インフルエンサーキャンペーン流入・転換"
pages.menu.marketingIntel.creator	"クリエイター"
pages.menu.marketingIntel.reach	"リーチ"
pages.menu.marketingIntel.clicks	"クリック"
pages.menu.marketingIntel.kpiTotal	"🏆 チャネル総合貢献度スコア (20項目加重合算)"
