ko_value,count,path,ja_value,en_value,suggested_ko
Margin Rate (based on sale price),3,crm.email.catalogSync.marginRate,Margin Rate (based on sale price),Margin Rate (based on sale price),마진율 (판매가 기준)
Registering...,3,crm.email.catalogSync.registering,Registering...,Registering...,등록 중...
SELECT * FROM ...,3,dbAdmin.queryPlaceholder,SELECT * FROM ...,SELECT * FROM ...,SELECT * FROM ...
AI Policy,3,marketing.gNav.aiPolicy,AI Policy,AI Policy,AI 정책
Budget Tracker,3,marketing.gNav.budgetTracker,Budget Tracker,Budget Tracker,예산 트래커
Channel KPI,3,marketing.gNav.channelKpi,Channel KPI,Channel KPI,채널 KPI
Reconciliation,3,marketing.gNav.reconciliation,Reconciliation,Reconciliation,정산 대조
Report Builder,3,marketing.gNav.reportBuilder,Report Builder,Report Builder,리포트 빌더
":{ ""sku"": ""..."", ""title"": ""..."", ""price"": 0 }",3,nav.pages.writeback.payloadPlaceholder,,,":{ ""sku"": ""..."", ""title"": ""..."", ""price"": 0 }"
Real-time · Blended ROAS,3,pages.cmpVal.aiPredict.kpi.k_0,Real-time · Blended ROAS,Real-time · Blended ROAS,실시간 · Blended ROAS
Gross Profit,3,pages.cmpVal.aiPredict.kpi.k_1,Gross Profit,Operating Profit,매출총이익
Channel Performance,3,pages.commerce.channelPerf,Channel Performance,Channel Performance,채널 성과
End Date,3,pages.krChannel.endDate,End Date,End Date,종료일
No reconciliation reports,3,pages.krChannel.noReports,No reconciliation reports,No reconciliation reports,정산 대조 보고서 없음
✅ No Tickets (Below threshold),3,pages.krChannel.noTickets,✅ No Tickets (Below threshold),✅ No Tickets (Below threshold),✅ 티켓 없음 (임계값 미만)
Platform Fee Rate,3,pages.krChannel.platformFeeRate,Platform Fee Rate,Platform Fee Rate,플랫폼 수수료율
Start Date,3,pages.krChannel.startDate,Start Date,Start Date,시작일
🔍 Settlement Reconciliation,3,pages.krChannel.tabRecon,🔍 Settlement Reconciliation,🔍 Settlement Reconciliation,🔍 정산 대조
Ad & Channel Analytics,3,pages.marketing.adAnalytics,Ad & Channel Analytics,Ad & Channel Analytics,광고 & 채널 분석
🚀 AI Marketing Automation,3,pages.marketing.aiMarketing,🚀 AI Marketing Automation,🚀 AI Marketing Automation,🚀 AI 마케팅 자동화
AI Strategy Generator,3,pages.marketing.autoMarketing,AI Strategy Generator,AI Strategy Generator,AI 전략 생성기
Channel Intelligence,3,pages.marketing.chIntelTitle,Channel Intelligence,Channel Intelligence,채널 인텔리전스
Customer CRM + AI Segment,3,pages.marketing.crmMain,Customer CRM + AI Segment,Customer CRM + AI Segment,고객 CRM + AI 세그먼트
Email + A/B Test,3,pages.marketing.emailMarketing,Email + A/B Test,Email + A/B Test,이메일 + A/B 테스트
Kakao Channel,3,pages.marketing.kakaoChannel,Kakao Channel,Kakao Channel,카카오 채널
Reviews & UGC Analysis,3,pages.marketing.reviewsUgc,Reviews & UGC Analysis,Reviews & UGC Analysis,리뷰 & UGC 분석
Compare to,3,pages.marketingIntel.compareTo,Compare to,Compare to,비교 대상
Api Key,3,pages.marketingIntel.connectors.apiKey,Api Key,Api Key,API 키
Configuration,3,pages.marketingIntel.connectors.configure,Configuration,Configuration,설정
No Connectors,3,pages.marketingIntel.connectors.noConnectors,No Connectors,No Connectors,커넥터 없음
Oauth Login,3,pages.marketingIntel.connectors.oauthLogin,Oauth Login,Oauth Login,OAuth 로그인
Sync Frequency,3,pages.marketingIntel.connectors.syncFrequency,Sync Frequency,Sync Frequency,동기화 주기
Ad Channels,3,pages.marketingIntel.connectors.tabAds,Ad Channels,Ad Channels,광고 채널
Tab All,3,pages.marketingIntel.connectors.tabAll,Tab All,Tab All,전체
Sales channel,3,pages.marketingIntel.connectors.tabSales,Sales channel,Sales channel,판매 채널
Connection Test,3,pages.marketingIntel.connectors.testConnection,Connection Test,Test Connection,연결 테스트
Add Schema,3,pages.marketingIntel.eventNorm.addSchema,Add Schema,Add Schema,스키마 추가
Event Name,3,pages.marketingIntel.eventNorm.eventName,Event Name,Event Name,이벤트명
No Schemas,3,pages.marketingIntel.eventNorm.noSchemas,No Schemas,No Schemas,스키마 없음
Source Channel,3,pages.marketingIntel.eventNorm.sourceChannel,Source Channel,Source Channel,소스 채널
Standard Event,3,pages.marketingIntel.eventNorm.standardEvent,Standard Event,Standard Event,표준 이벤트
Tab Mapping,3,pages.marketingIntel.eventNorm.tabMapping,Tab Mapping,Tab Mapping,매핑
📋 Schemas,3,pages.marketingIntel.eventNorm.tabSchemas,📋 Schemas,📋 Schemas,📋 스키마
Tab Test,3,pages.marketingIntel.eventNorm.tabTest,Tab Test,Tab Test,테스트
Test Event,3,pages.marketingIntel.eventNorm.testEvent,Test Event,Test Event,테스트 이벤트
Add Mapping,3,pages.marketingIntel.mappingRegistry.addMapping,Add Mapping,Add Mapping,매핑 추가
No Mappings,3,pages.marketingIntel.mappingRegistry.noMappings,No Mappings,No Mappings,매핑 없음
Tab Category Map,3,pages.marketingIntel.mappingRegistry.tabCategoryMap,Tab Category Map,Tab Category Map,카테고리 매핑
Tab Channel Map,3,pages.marketingIntel.mappingRegistry.tabChannelMap,Tab Channel Map,Tab Channel Map,채널 매핑
Tab Product Map,3,pages.marketingIntel.mappingRegistry.tabProductMap,Tab Product Map,Tab Product Map,상품 매핑
20 KPI,3,pages.marketingIntel.marketingIntel.badge20kpi,20 KPI,Badge20kpi,20 KPI
🎯 Trigger,3,pages.marketingIntel.trigger,🎯 Trigger,🎯 Trigger,🎯 트리거
Deactivated,3,pages.marketingIntel.userMgmt.status_inactive,Deactivated,Inactive,비활성
Approved At,3,pages.menu.approvals.approvedAt,Approved At,Approved At,승인 시각
Budget Planner,3,pages.menu.budgetPlanner,Budget Planner,Budget Planner,예산 플래너
Content Calendar,3,pages.menu.contentCalendar,Content Calendar,Content Calendar,콘텐츠 캘린더
💾 Save,3,ruleEnginePage.wms.carrSaveBtn,💾 Save,💾 Save,💾 저장
Lead Time,3,ruleEnginePage.wms.supDrawerLeadTime,Lead Time,Lead Time,리드타임
Payment Terms,3,ruleEnginePage.wms.supDrawerPayTerms,Payment Terms,Payment Terms,결제 조건
Expected Revenue,2,attr.expectedRev,Expected Revenue,Expected Revenue,예상 매출
items,2,attrData.cases,items,items,건
Copy Link,2,audit.copyLink,Copy Link,Copy Link,링크 복사
Select All,2,audit.selectAll,Select All,Select All,전체 선택
Unity Catalog,2,catalogSync.ihub.dwFeatureUnity,,,Unity Catalog
SmartConnect AI,2,catalogSync.ihub.scTitle,,,SmartConnect AI
Smart Connect,2,catalogSync.ihub.tabSmartConnect,,,Smart Connect
https://example.com/promo,2,catalogSync.webPopup.linkUrlPh,,,https://example.com/promo
Add Budget,2,crm.aiHub.addBudget,Add Budget,Add Budget,예산 추가
Ad Saving,2,crm.aiHub.adSaving,Ad Saving,Ad Saving,광고비 절감
Approve All,2,crm.aiHub.aiHub.approveAll,Approve All,Approve All,전체 승인
Attribution Link,2,crm.aiHub.aiHub.attributionLink,Attribution Link,Attribution Link,어트리뷰션 링크
Auto Registered,2,crm.aiHub.aiHub.autoRegistered,Auto Registered,Auto Registered,자동 등록됨
Boost Reason,2,crm.aiHub.aiHub.boostReason,Boost Reason,Boost Reason,부스트 사유
Budget Shift,2,crm.aiHub.aiHub.budgetShift,Budget Shift,Budget Shift,예산 재배분
Bulk Approved,2,crm.aiHub.aiHub.bulkApproved,Bulk Approved,Bulk Approved,일괄 승인됨
Bulk Exec,2,crm.aiHub.aiHub.bulkExec,Bulk Exec,Bulk Exec,일괄 실행
Card Limit Alert,2,crm.aiHub.aiHub.cardLimitAlert,Card Limit Alert,Card Limit Alert,카드 한도 알림
Cards Unit,2,crm.aiHub.aiHub.cardsUnit,Cards Unit,Cards Unit,장
Cat Budget Opt,2,crm.aiHub.aiHub.catBudgetOpt,Cat Budget Opt,Cat Budget Opt,카테고리 예산 최적화
Cat Crm Retarget,2,crm.aiHub.aiHub.catCrmRetarget,Cat Crm Retarget,Cat Crm Retarget,CRM 리타게팅
Cat Inventory Risk,2,crm.aiHub.aiHub.catInventoryRisk,Cat Inventory Risk,Cat Inventory Risk,재고 리스크
Cat Settlement,2,crm.aiHub.aiHub.catSettlement,Cat Settlement,Cat Settlement,정산
Check In Campaign Mgr,2,crm.aiHub.aiHub.checkInCampaignMgr,Check In Campaign Mgr,Check In Campaign Mgr,캠페인 매니저에서 확인
Current Charged,2,crm.aiHub.aiHub.currentCharged,Current Charged,Current Charged,현재 청구액
Daily Sales,2,crm.aiHub.aiHub.dailySales,Daily Sales,Daily Sales,일 매출
Dp Add Budget,2,crm.aiHub.aiHub.dpAddBudget,Dp Add Budget,Dp Add Budget,예산 추가
Dp Ad Roi,2,crm.aiHub.aiHub.dpAdRoi,Dp Ad Roi,Dp Ad Roi,광고 ROI
Dp Ad Saving,2,crm.aiHub.aiHub.dpAdSaving,Dp Ad Saving,Dp Ad Saving,광고비 절감
Dp Est Roas,2,crm.aiHub.aiHub.dpEstRoas,Dp Est Roas,Dp Est Roas,예상 ROAS
Dp Expected Profit,2,crm.aiHub.aiHub.dpExpectedProfit,Dp Expected Profit,Dp Expected Profit,예상 이익
Dp Expire In,2,crm.aiHub.aiHub.dpExpireIn,Dp Expire In,Dp Expire In,만료 예정
Dp Settlement Margin,2,crm.aiHub.aiHub.dpSettlementMargin,Dp Settlement Margin,Dp Settlement Margin,정산 마진
Dp Shift Budget,2,crm.aiHub.aiHub.dpShiftBudget,Dp Shift Budget,Dp Shift Budget,예산 재배분
Dp Vip Count,2,crm.aiHub.aiHub.dpVipCount,Dp Vip Count,Dp Vip Count,VIP 수
Ds Active Rules,2,crm.aiHub.aiHub.dsActiveRules,Ds Active Rules,Ds Active Rules,활성 규칙
Ds Rules Fired,2,crm.aiHub.aiHub.dsRulesFired,Ds Rules Fired,Ds Rules Fired,실행된 규칙
Est Roas,2,crm.aiHub.aiHub.estRoas,Est Roas,Est Roas,예상 ROAS
Exec Budget,2,crm.aiHub.aiHub.execBudget,Exec Budget,Exec Budget,집행 예산
Exec Log,2,crm.aiHub.aiHub.execLog,Exec Log,Exec Log,실행 로그
Filter Executed,2,crm.aiHub.aiHub.filterExecuted,Filter Executed,Filter Executed,실행됨
In Days5,2,crm.aiHub.aiHub.inDays5,In Days5,In Days5,5일 이내
Journey Automation,2,crm.aiHub.aiHub.journeyAutomation,Journey Automation,Journey Automation,여정 자동화
Journey Link,2,crm.aiHub.aiHub.journeyLink,Journey Link,Journey Link,여정 링크
Need Card,2,crm.aiHub.aiHub.needCard,Need Card,Need Card,카드 필요
No Card Alert,2,crm.aiHub.aiHub.noCardAlert,No Card Alert,No Card Alert,카드 없음 알림
Pending Campaigns,2,crm.aiHub.aiHub.pendingCampaigns,Pending Campaigns,Pending Campaigns,대기 중 캠페인
Ready To Exec,2,crm.aiHub.aiHub.readyToExec,Ready To Exec,Ready To Exec,실행 준비 완료
Rec Boost Title,2,crm.aiHub.aiHub.recBoostTitle,Rec Boost Title,Rec Boost Title,부스트 추천
Rec Low Stock Title,2,crm.aiHub.aiHub.recLowStockTitle,Rec Low Stock Title,Rec Low Stock Title,재고 부족 추천
Rec Rebalance Title,2,crm.aiHub.aiHub.recRebalanceTitle,Rec Rebalance Title,Rec Rebalance Title,재배분 추천
Rec Vip Title,2,crm.aiHub.aiHub.recVipTitle,Rec Vip Title,Rec Vip Title,VIP 추천
Settlement Margin,2,crm.aiHub.aiHub.settlementMargin,Settlement Margin,Settlement Margin,정산 마진
Times Unit,2,crm.aiHub.aiHub.timesUnit,Times Unit,Times Unit,회
Total Exec Budget,2,crm.aiHub.aiHub.totalExecBudget,Total Exec Budget,Total Exec Budget,총 실행 예산
View Campaigns,2,crm.aiHub.aiHub.viewCampaigns,View Campaigns,View Campaigns,캠페인 보기
Vip Insight,2,crm.aiHub.aiHub.vipInsight,Vip Insight,Vip Insight,VIP 인사이트
Vip Reason,2,crm.aiHub.aiHub.vipReason,Vip Reason,Vip Reason,VIP 사유
Wasted Budget,2,crm.aiHub.aiHub.wastedBudget,Wasted Budget,Wasted Budget,낭비 예산
Demo Banner,2,crm.aiHub.aiPolicy.demoBanner,Demo Banner,Demo Banner,데모 배너
Live Sync Status,2,crm.aiHub.aiPolicy.liveSyncStatus,Live Sync Status,Live Sync Status,라이브 동기화 상태
Guide Tabs Title,2,crm.aiHub.catalogSync.contentCal.guideTabsTitle,Guide Tabs Title,Guide Tabs Title,가이드 탭 제목
Sec Lock,2,crm.aiHub.catalogSync.mr.secLockDesc,Sec Lock,Sec Lock,보안 잠금
Sec Lock Title,2,crm.aiHub.catalogSync.mr.secLockTitle,Sec Lock Title,Sec Lock Title,보안 잠금 제목
Create Pixel,2,crm.aiHub.catalogSync.pxl.createPixel,Create Pixel,Create Pixel,픽셀 생성
AI Creative,2,crm.aiHub.guideTabCreativeName,AI Creative,AI Creative,AI 크리에이티브
Instagram DM,2,crm.aiHub.journey.nodeTypes.instagram,Instagram DM,Instagram DM,Instagram DM
Webhook URL,2,crm.aiHub.journey.webhookUrl,Webhook URL,Webhook URL,Webhook URL
Aria Label,2,crm.aiHub.mobileNav.ariaLabel,Aria Label,Aria Label,ARIA 라벨
🏪 Own Mall / Others,2,crm.aiHub.omniChannel.groupOwnMall,🏪 Own Mall / Others,🏪 Own Mall / Others,🏪 자사몰 / 기타
Last Update,2,crm.aiHub.omniChannel.invLastUpdate,Last Update,Last Update,최종 업데이트
Out of Stock,2,crm.aiHub.omniChannel.invOutOfStock,Out of Stock,Out of Stock,품절
Real-time Inventory,2,crm.aiHub.omniChannel.invTitle,Real-time Inventory,Real-time Inventory,실시간 재고
Total Products,2,crm.aiHub.omniChannel.invTotalProducts,Total Products,Total Products,총 상품 수
📥 Export,2,crm.aiHub.omniChannel.ordBtnExport,📥 Export,📥 Export,📥 내보내기
Unified Order Management,2,crm.aiHub.omniChannel.ordTitle,Unified Order Management,Unified Order Management,통합 주문 관리
Avg Order Value,2,crm.aiHub.omniChannel.ovAvgOrderValue,Avg Order Value,Avg Order Value,평균 주문 금액
Revenue Share by Channel,2,crm.aiHub.omniChannel.ovChannelShare,Revenue Share by Channel,Revenue Share by Channel,채널별 매출 비중
Revenue Trend by Channel,2,crm.aiHub.omniChannel.ovRevenueByChannel,Revenue Trend by Channel,Revenue Trend by Channel,채널별 매출 트렌드
Avg Price,2,crm.aiHub.omniChannel.prodAvgPrice,Avg Price,Avg Price,평균 가격
🔄 Sync All,2,crm.aiHub.omniChannel.prodBtnSync,🔄 Sync All,🔄 Sync All,🔄 전체 동기화
Channel Coverage,2,crm.aiHub.omniChannel.prodChannelCoverage,Channel Coverage,Channel Coverage,채널 커버리지
Product Name,2,crm.aiHub.omniChannel.prodColName,Product Name,Product Name,상품명
Sync Status,2,crm.aiHub.omniChannel.prodSyncStatus,Sync Status,Sync Status,동기화 상태
Unified Product Management,2,crm.aiHub.omniChannel.prodTitle,Unified Product Management,Unified Product Management,통합 상품 관리
Total SKUs,2,crm.aiHub.omniChannel.prodTotalSKU,Total SKUs,Total SKUs,총 SKU 수
Copied to clipboard,2,crm.aiHub.reviews.copied,Copied to clipboard,Copied to clipboard,클립보드에 복사되었습니다
Order ID,2,crm.aiHub.reviews.orderId,Order ID,Order ID,주문 ID
https://example.com/landing-page,2,crm.aiHub.webPopup.linkUrlPh,https://example.com/landing-page,https://example.com/landing-page,https://example.com/landing-page
Product name,2,crm.email.catalogSync.colProductName,Product name,Product Name,상품명
Sale Price,2,crm.email.catalogSync.colSalePrice,Sale Price,Sale Price,판매가
Exchange Rate,2,crm.email.catalogSync.exchangeRate,Exchange Rate,Exchange Rate,환율
ROAS < 3.0x,2,crm.email.ds.ruleROAS3,ROAS < 3.0x,ROAS < 3.0x,ROAS < 3.0x
TikTok Ads Manager → Assets → Events → Web Events,2,crm.email.dt.tiktokStep1,TikTok Ads Manager → Assets → Events → Web Events,TikTok Ads Manager → Assets → Events → Web Events,TikTok Ads Manager → Assets → Events → Web Events
Days Left,2,daysLeft,,days left,남은 일수
13 Alerts,2,marketing.g.sidebarAlertCount,13 Alerts,13 Alerts,알림 13건
Exit  & Logout,2,marketing.g.sidebarLogout,Exit  & Logout,Exit  & Logout,종료 & 로그아웃
View Upgrade Plans,2,marketing.g.upgradalBtn,View Upgrade Plans,View Upgrade Plans,업그레이드 플랜 보기
Pro Plan Exclusive,2,marketing.g.upgradalTitle,Pro Plan Exclusive,Pro Plan Exclusive,Pro 플랜 전용
Plans & Pricing,2,marketing.gNav.app_pricing,Plans & Pricing,Plans & Pricing,플랜 & 요금
Data Schema,2,marketing.gNav.dataSchema,Data Schema,Data Schema,데이터 스키마
Order Hub,2,marketing.gNav.orderHub,Order Hub,Order Hub,주문 허브
Performance Hub,2,marketing.gNav.performanceHub,Performance Hub,Performance Hub,성과 허브
Price Optimization,2,marketing.gNav.priceOpt,Price Optimization,Price Optimization,가격 최적화
WMS Inventory,2,marketing.gNav.wms,WMS Inventory,WMS Inventory,WMS 재고
SmartConnect (ERP·SCM),2,nav.pages.cmpRow.r17,,,SmartConnect (ERP·SCM)
:{page} / {total},2,nav.pages.ui.pageOf,,,:{page} / {total}
Account Health,2,pages.amazonRisk.accountScore,Account Health,Account Health,계정 건전성
Average Rating,2,pages.amazonRisk.avgRating,Average Rating,Average Rating,평균 평점
Buy Box Rate,2,pages.amazonRisk.buyBox,Buy Box Rate,Buy Box Rate,바이박스 점유율
FBA Stock Rate,2,pages.amazonRisk.fbaStockRate,FBA Stock Rate,FBA Stock Rate,FBA 재고율
High Severity,2,pages.amazonRisk.highRisk,High Severity,High Risk,높은 심각도
Medium Risk,2,pages.amazonRisk.mediumRisk,Medium Risk,Medium Risk,중간 리스크
Risk Alerts,2,pages.amazonRisk.riskAlerts,Risk Alerts,Risk Alerts,리스크 알림
Home Dashboard,2,pages.cmpRow.r1,Home Dashboard,Home Dashboard,홈 대시보드
Average Unit Price,2,pages.cmpVal.aiPredict.aiRec.avgPrice,Average Unit Price,Average Unit Price,평균 단가
Catalog Auto-fill,2,pages.cmpVal.aiPredict.aiRec.catalogAuto,Catalog Auto-fill,Catalog Auto-fill,카탈로그 자동 입력
Revenue Target,2,pages.cmpVal.aiPredict.aiRec.goalRevenue,Revenue Target,Revenue Target,매출 목표
Main Sales Channels,2,pages.cmpVal.aiPredict.aiRec.mainChannels,Main Sales Channels,Main Sales Channels,주요 판매 채널
Monthly Sales Target,2,pages.cmpVal.aiPredict.aiRec.monthlyQty,Monthly Sales Target,Monthly Sales Target,월 판매 목표
📦 Product Sales Info,2,pages.cmpVal.aiPredict.aiRec.salesInfo,📦 Product Sales Info,📦 Product Sales Info,📦 상품 판매 정보
e.g. Beauty brand Instagram ad strategy or marketing goal,2,pages.cmpVal.aiPredict.aiRec.searchPh,e.g. Beauty brand Instagram ad strategy or marketing goal,e.g. Beauty brand Instagram ad strategy or marketing goal,예: 뷰티 브랜드 Instagram 광고 전략 또는 마케팅 목표
Product/SKU Count,2,pages.cmpVal.aiPredict.aiRec.skuCount,Product/SKU Count,Product/SKU Count,상품/SKU 수
Electronics,2,pages.cmpVal.aiPredict.cat.electronics,Electronics,Electronics,전자제품
🛒 Purchase Agent,2,pages.cmpVal.aiPredict.cat.purchasing,🛒 Purchase Agent,🛒 Purchase Agent,🛒 구매 대행
Channel Intelligen,2,pages.cmpVal.aiPredict.kpi.k_9,Channel Intelligen,Channel Intelligen,채널 인텔리전스
P&L Waterfall — 3-Domain Integrated,2,pages.cmpVal.aiPredict.kpi.p_11,P&L Waterfall — 3-Domain Integrated,P&L Waterfall — 3-Domain Integrated,P&L 워터폴 — 3개 도메인 통합
Ad Domain,2,pages.cmpVal.aiPredict.kpi.p_12,Ad Domain,Ad Domain,광고 도메인
Market Domain,2,pages.cmpVal.aiPredict.kpi.p_13,Market Domain,Market Domain,시장 도메인
By SKU,2,pages.cmpVal.aiPredict.kpi.p_15,By SKU,By SKU,SKU별
By Channel,2,pages.cmpVal.aiPredict.kpi.p_16,By Channel,By Channel,채널별
By Campaign,2,pages.cmpVal.aiPredict.kpi.p_17,By Campaign,By Campaign,캠페인별
By Creator,2,pages.cmpVal.aiPredict.kpi.p_18,By Creator,By Creator,크리에이터별
Forecast P&L Simulation,2,pages.cmpVal.aiPredict.kpi.p_19,Forecast P&L Simulation,Forecast P&L Simulation,P&L 예측 시뮬레이션
Parameter Settings,2,pages.cmpVal.aiPredict.kpi.p_20,Parameter Settings,Parameter Settings,파라미터 설정
Forecast Annual Revenue,2,pages.cmpVal.aiPredict.kpi.p_21,Forecast Annual Revenue,Forecast Annual Revenue,예상 연간 매출
Forecast Net Profit,2,pages.cmpVal.aiPredict.kpi.p_22,Forecast Net Profit,Forecast Net Profit,예상 순이익
Influencer Cost,2,pages.cmpVal.aiPredict.kpi.p_4,Influencer Cost,Influencer Cost,인플루언서 비용
Net Settlement,2,pages.cmpVal.aiPredict.kpi.p_5,Net Settlement,Net Settlement,순 정산액
Bday Desc,2,pages.cmpVal.aiPredict.kpi.tab.bdayDesc,Bday Desc,Bday Desc,생일 안내
Churn Desc,2,pages.cmpVal.aiPredict.kpi.tab.churnDesc,Churn Desc,Churn Desc,이탈 안내
Vip Desc,2,pages.cmpVal.aiPredict.kpi.tab.vipDesc,Vip Desc,Vip Desc,VIP 안내
List View,2,pages.cmpVal.list_view,List View,List View,목록 보기
Average Order Value,2,pages.dashboard.avgOrder,Average Order Value,Average Order Value,평균 주문 금액
Net R O A S,2,pages.dashboard.netROAS,Net R O A S,Net R O A S,Net ROAS
Ad Spend Rate,2,pages.krChannel.adSpendRate,Ad Spend Rate,Ad Spend Rate,광고 비용률
Api Disconnected,2,pages.krChannel.apiDisconnected,Api Disconnected,Api Disconnected,API 연결 해제
Category All,2,pages.krChannel.categoryAll,Category All,Category All,전체 카테고리
Channel Master,2,pages.krChannel.channelMaster,Channel Master,Channel Master,채널 마스터
Channel Select,2,pages.krChannel.channelSelect,Channel Select,Channel Select,채널 선택
Commission History,2,pages.krChannel.commissionHistory,Commission History,Commission History,수수료 이력
Commission Reg,2,pages.krChannel.commissionReg,Commission Reg,Commission Reg,수수료 등록
Effective Date,2,pages.krChannel.effectiveDate,Effective Date,Effective Date,적용일
Ingest Title,2,pages.krChannel.ingestTitle,Ingest Title,Ingest Title,데이터 수집 제목
Load Sample,2,pages.krChannel.loadSample,Load Sample,Load Sample,샘플 불러오기
Missing Order,2,pages.krChannel.missingOrder,Missing Order,Missing Order,누락된 주문
Missing Settle,2,pages.krChannel.missingSettle,Missing Settle,Missing Settle,누락된 정산
Net Diff,2,pages.krChannel.netDiff,Net Diff,Net Diff,순 차액
No Data Hint,2,pages.krChannel.noDataHint,No Data Hint,No Data Hint,데이터 없음 안내
Recon Run,2,pages.krChannel.reconRun,Recon Run,Recon Run,대조 실행
Recon Start,2,pages.krChannel.reconStart,Recon Start,Recon Start,대조 시작
Return Fee,2,pages.krChannel.returnFee,Return Fee,Return Fee,반품 수수료
Save Commission,2,pages.krChannel.saveCommission,Save Commission,Save Commission,수수료 저장
Select Channel Hint,2,pages.krChannel.selectChannelHint,Select Channel Hint,Select Channel Hint,채널을 선택하세요
Settle Cycle,2,pages.krChannel.settleCycle,Settle Cycle,Settle Cycle,정산 주기
Base Shipping Fee (₩),2,pages.krChannel.shippingFee,Base Shipping Fee (₩),Base Shipping Fee (₩),기본 배송비 (₩)
Tab Fees,2,pages.krChannel.tabFees,Tab Fees,Tab Fees,수수료
Tab Ingest,2,pages.krChannel.tabIngest,Tab Ingest,Tab Ingest,데이터 수집
Summary Score,2,pages.krChannel.tabSummary,Summary Score,Summary Score,요약 점수
Total Commission,2,pages.krChannel.totalCommission,Total Commission,Total Commission,총 수수료
Total Settlement,2,pages.krChannel.totalSettlement,Total Settlement,Total Settlement,총 정산액
Vat Rate Label,2,pages.krChannel.vatRateLabel,Vat Rate Label,Vat Rate Label,VAT 세율
Age Distribution,2,pages.marketing.ageDist,Age Distribution,Age Distribution,연령 분포
AI Communication,2,pages.marketing.aiMarketingHub,AI Communication,AI Communication,AI 커뮤니케이션
Analytics Modules,2,pages.marketing.analyticsModules,Analytics Modules,Analytics Modules,분석 모듈
View Integration Guide,2,pages.marketing.ApiRegister,View Integration Guide,View Integration Guide,연동 가이드 보기
Core KPIs by Channel,2,pages.marketing.channelDesc,Core KPIs by Channel,Core KPIs by Channel,채널별 핵심 KPI
Channel Mix,2,pages.marketing.channelMix,Channel Mix,Channel Mix,채널 믹스
Ch Intel Desc1,2,pages.marketing.chIntelDesc1,Ch Intel Desc1,Ch Intel Desc1,채널 인텔리전스 안내 1
Ch Intel Desc2,2,pages.marketing.chIntelDesc2,Ch Intel Desc2,Ch Intel Desc2,채널 인텔리전스 안내 2
Ch Intel Desc3,2,pages.marketing.chIntelDesc3,Ch Intel Desc3,Ch Intel Desc3,채널 인텔리전스 안내 3
Ch Intel Desc4,2,pages.marketing.chIntelDesc4,Ch Intel Desc4,Ch Intel Desc4,채널 인텔리전스 안내 4
