ns,path,ko_value,suggested_ko
pages,pages.marketingIntel.aiPredict.channelKpiPage.chkImprove,Identify Items for Improvement,개선 항목 파악
pages,pages.marketingIntel.aiPredict.channelKpiPage.chSearchAds,Ch Search Ads,검색 광고 채널
pages,pages.marketingIntel.aiPredict.channelKpiPage.chSnsAds,Ch Sns Ads,SNS 광고 채널
pages,pages.marketingIntel.aiPredict.channelKpiPage.claudeAiDesc,Claude Ai Desc,Claude AI 안내
pages,pages.marketingIntel.aiPredict.channelKpiPage.claudeAiTitle,Claude Ai Title,Claude AI 제목
pages,pages.marketingIntel.aiPredict.channelKpiPage.clickSelect,Click Select,클릭하여 선택
pages,pages.marketingIntel.aiPredict.channelKpiPage.communityAct,Community Act,커뮤니티 활동
pages,pages.marketingIntel.aiPredict.channelKpiPage.communityGrowth,Community Growth,커뮤니티 성장
pages,pages.marketingIntel.aiPredict.channelKpiPage.communityKpi,Community Kpi,커뮤니티 KPI
pages,pages.marketingIntel.aiPredict.channelKpiPage.contentEngage,Content Engage,콘텐츠 참여
pages,pages.marketingIntel.aiPredict.channelKpiPage.contentImpressions,Content Impressions,콘텐츠 노출 수
pages,pages.marketingIntel.aiPredict.channelKpiPage.contentInterest,Content Interest,콘텐츠 관심도
pages,pages.marketingIntel.aiPredict.channelKpiPage.contentKpi,Content Kpi,콘텐츠 KPI
pages,pages.marketingIntel.aiPredict.channelKpiPage.convRate,Conversion Rate,전환율
pages,pages.marketingIntel.aiPredict.channelKpiPage.coreKpis,Core KPIs,핵심 KPI
pages,pages.marketingIntel.aiPredict.channelKpiPage.cpa,Cost Per Acquisition (CPA),고객 획득 비용 (CPA)
pages,pages.marketingIntel.aiPredict.channelKpiPage.cpc,Cost Per Click (CPC),클릭당 비용 (CPC)
pages,pages.marketingIntel.aiPredict.channelKpiPage.ctr,Click-through Rate (CTR),클릭률 (CTR)
pages,pages.marketingIntel.aiPredict.channelKpiPage.currentMonth,Current Month,이번 달
pages,pages.marketingIntel.aiPredict.channelKpiPage.descBrandReach,Large-scale brand exposure through SNS platform ads,SNS 플랫폼 광고를 통한 대규모 브랜드 노출
pages,pages.marketingIntel.aiPredict.channelKpiPage.descCaptureIntent,Target users with high purchase intent via search algorithms,검색 알고리즘을 활용한 구매 의도 높은 사용자 타겟팅
pages,pages.marketingIntel.aiPredict.channelKpiPage.descConvRate,Conversion Rate vs Target,목표 대비 전환율
pages,pages.marketingIntel.aiPredict.channelKpiPage.descCpa,Desc Cpa,CPA 안내
pages,pages.marketingIntel.aiPredict.channelKpiPage.descCpc,Desc Cpc,CPC 안내
pages,pages.marketingIntel.aiPredict.channelKpiPage.descCtr,Desc Ctr,CTR 안내
pages,pages.marketingIntel.aiPredict.channelKpiPage.descCustRel,Secure customer loyalty through community activities,커뮤니티 활동을 통한 고객 충성도 확보
pages,pages.marketingIntel.aiPredict.channelKpiPage.descInfoTrust,Build expertise and trust through problem-solving content,문제 해결 콘텐츠를 통한 전문성과 신뢰 구축
pages,pages.marketingIntel.aiPredict.channelKpiPage.descRoas,Desc Roas,ROAS 안내
pages,pages.marketingIntel.aiPredict.channelKpiPage.engagement,Engagement Rate,참여율
pages,pages.marketingIntel.aiPredict.channelKpiPage.hintConvRate,Hint Conv Rate,전환율 도움말
pages,pages.marketingIntel.aiPredict.channelKpiPage.hintCpa,Hint Cpa,CPA 도움말
pages,pages.marketingIntel.aiPredict.channelKpiPage.hintCpc,Hint Cpc,CPC 도움말
pages,pages.marketingIntel.aiPredict.channelKpiPage.hintCtr,Hint Ctr,CTR 도움말
pages,pages.marketingIntel.aiPredict.channelKpiPage.hintRoas,Hint Roas,ROAS 도움말
pages,pages.marketingIntel.aiPredict.channelKpiPage.improveRecs,Improvement Recommendations,개선 추천 사항
pages,pages.marketingIntel.aiPredict.channelKpiPage.inquiriesPurchases,Inquiries Purchases,문의·구매
pages,pages.marketingIntel.aiPredict.channelKpiPage.inquiriesPurchasesDesc,Inquiries Purchases Desc,문의·구매 안내
pages,pages.marketingIntel.aiPredict.channelKpiPage.interestConv,Interest Conv,관심·전환
pages,pages.marketingIntel.aiPredict.channelKpiPage.kakaoGuild,Kakao Guild,카카오 가이드
pages,pages.marketingIntel.aiPredict.channelKpiPage.lblConvRate,Conversion Rate,전환율
pages,pages.marketingIntel.aiPredict.channelKpiPage.lblCpaFull,Lbl Cpa Full,고객 획득 비용(CPA)
pages,pages.marketingIntel.aiPredict.channelKpiPage.lblCpcFull,Lbl Cpc Full,클릭당 비용(CPC)
pages,pages.marketingIntel.aiPredict.channelKpiPage.lblCtrFull,Lbl Ctr Full,클릭률(CTR)
pages,pages.marketingIntel.aiPredict.channelKpiPage.lblRoasFull,Lbl Roas Full,광고 수익률(ROAS)
pages,pages.marketingIntel.aiPredict.channelKpiPage.monitorAi,AI Channel Performance Monitoring,AI 채널 성과 모니터링
pages,pages.marketingIntel.aiPredict.channelKpiPage.monthlyAi,Monthly Report,월간 리포트
pages,pages.marketingIntel.aiPredict.channelKpiPage.monthlyTrend,Monthly Trend,월간 트렌드
pages,pages.marketingIntel.aiPredict.channelKpiPage.naverCafe,Naver Cafe,네이버 카페
pages,pages.marketingIntel.aiPredict.channelKpiPage.newMembers,New Signups,신규 가입
pages,pages.marketingIntel.aiPredict.channelKpiPage.noData,No Data Available,데이터 없음
pages,pages.marketingIntel.aiPredict.channelKpiPage.noHistory,No execution history,실행 이력 없음
pages,pages.marketingIntel.aiPredict.channelKpiPage.overallAchieve,Overall Achievement Status,전체 달성 현황
pages,pages.marketingIntel.aiPredict.channelKpiPage.pageViews,Page Views,페이지뷰
pages,pages.marketingIntel.aiPredict.channelKpiPage.period,Analysis Period,분석 기간
pages,pages.marketingIntel.aiPredict.channelKpiPage.pleaseSelectGoal,Please Select Goal,목표를 선택해주세요
pages,pages.marketingIntel.aiPredict.channelKpiPage.postViews,Post Views,게시물 조회 수
pages,pages.marketingIntel.aiPredict.channelKpiPage.roleBrandReach,Brand Reach,브랜드 도달
pages,pages.marketingIntel.aiPredict.channelKpiPage.roleCaptureIntent,Capture Purchase Intent,구매 의도 포착
pages,pages.marketingIntel.aiPredict.channelKpiPage.roleCustRel,Strengthen Customer Relationships,고객 관계 강화
pages,pages.marketingIntel.aiPredict.channelKpiPage.roleInfoTrust,Info · Trust Building,정보·신뢰 구축
pages,pages.marketingIntel.aiPredict.channelKpiPage.searchTraffic,Search Traffic,검색 트래픽
pages,pages.marketingIntel.aiPredict.channelKpiPage.selectedGoals,Selected Goals,선택된 목표
pages,pages.marketingIntel.aiPredict.channelKpiPage.seoImpact,Seo Impact,SEO 영향도
pages,pages.marketingIntel.aiPredict.channelKpiPage.siteTraffic,Site Traffic,사이트 트래픽
pages,pages.marketingIntel.aiPredict.channelKpiPage.snsKpiByChannel,Sns Kpi By Channel,채널별 SNS KPI
pages,pages.marketingIntel.aiPredict.channelKpiPage.snsKpiOverview,Sns Kpi Overview,SNS KPI 개요
pages,pages.marketingIntel.aiPredict.channelKpiPage.tabCommunity,Tab Community,커뮤니티
pages,pages.marketingIntel.aiPredict.channelKpiPage.tabContent,Tab Content,콘텐츠
pages,pages.marketingIntel.aiPredict.channelKpiPage.tabGoals,Tab Goals,목표
pages,pages.marketingIntel.aiPredict.channelKpiPage.tabMonitor,Tab Monitor,모니터링
pages,pages.marketingIntel.aiPredict.channelKpiPage.tabRoles,Tab Roles,역할 탭
pages,pages.marketingIntel.aiPredict.channelKpiPage.tabSetup,Tab Setup,설정
pages,pages.marketingIntel.aiPredict.channelKpiPage.tabSns,Tab Sns,SNS
pages,pages.marketingIntel.aiPredict.channelKpiPage.tabTargets,Tab Targets,타겟 탭
pages,pages.marketingIntel.aiPredict.channelKpiPage.targetSetup,KPI Target Setting by Channel,채널별 KPI 목표 설정
pages,pages.marketingIntel.aiPredict.channelKpiPage.targetVsActuals,Target Vs Actuals,목표 대비 실적
pages,pages.marketingIntel.aiPredict.channelKpiPage.videoViews,Video Views,동영상 조회 수
pages,pages.marketingIntel.aiPredict.channelKpiPage.webTraffic,Web Traffic,웹 트래픽
pages,pages.marketingIntel.aiPredict.channelKpiPage.webTrafficDesc,Web Traffic Desc,웹 트래픽 안내
pages,pages.marketingIntel.aiPredict.channelKpiPage.weeklyAdTrend,Weekly Ad Efficiency Trend,주간 광고 효율 트렌드
pages,pages.marketingIntel.aiPredict.channelKpiPage.weeklyAi,Weekly Report,주간 리포트
pages,pages.marketingIntel.aiPredict.col.churn,Final Churn Status,최종 이탈 상태
pages,pages.marketingIntel.aiPredict.col.detail,Detail View,상세 보기
pages,pages.marketingIntel.aiPredict.col.nextPurchase,Next Purchase,다음 구매
pages,pages.marketingIntel.aiPredict.col.prob30,30-day Churn Probability,30일 이탈 확률
pages,pages.marketingIntel.aiPredict.filterHigh,Filter High,높음
pages,pages.marketingIntel.aiPredict.filterLow,Filter Low,낮음
pages,pages.marketingIntel.aiPredict.filterMed,Filter Med,중간
pages,pages.marketingIntel.aiPredict.gdpr.bannerDesc,Banner Desc,배너 설명
pages,pages.marketingIntel.aiPredict.gdpr.bannerTitle,Banner Title,배너 제목
pages,pages.marketingIntel.aiPredict.gdpr.consentDate,Consent Date,동의일
pages,pages.marketingIntel.aiPredict.gdpr.consentNow,Consent Now,지금 동의
pages,pages.marketingIntel.aiPredict.gdpr.consentRate,Consent Rate,동의율
pages,pages.marketingIntel.aiPredict.gdpr.cookiePolicy,Cookie Policy,쿠키 정책
pages,pages.marketingIntel.aiPredict.gdpr.currentConsentStatus,Current Consent Status,현재 동의 상태
pages,pages.marketingIntel.aiPredict.gdpr.editSettings,Edit Settings,설정 편집
pages,pages.marketingIntel.aiPredict.gdpr.marketing,Marketing Performance,마케팅 성과
pages,pages.marketingIntel.aiPredict.gdpr.noConsentInfo,No Consent Info,동의 정보 없음
pages,pages.marketingIntel.aiPredict.gdpr.notConsented,Not Consented,미동의
pages,pages.marketingIntel.aiPredict.gdpr.panelSub,Panel Sub,패널 설명
pages,pages.marketingIntel.aiPredict.gdpr.panelTitle,Panel Title,패널 제목
pages,pages.marketingIntel.aiPredict.gdpr.platformStats,Platform Stats,플랫폼 통계
pages,pages.marketingIntel.aiPredict.gdpr.policyNote1,Policy Note1,정책 안내 1
pages,pages.marketingIntel.aiPredict.gdpr.policyNote2,Policy Note2,정책 안내 2
pages,pages.marketingIntel.aiPredict.gdpr.policyNote3,Policy Note3,정책 안내 3
pages,pages.marketingIntel.aiPredict.gdpr.privacyPolicy,Privacy Policy,개인정보 처리방침
pages,pages.marketingIntel.aiPredict.gdpr.savePref,Save Pref,환경설정 저장
pages,pages.marketingIntel.aiPredict.gdpr.totalVisitors,Total Visitors,총 방문자
pages,pages.marketingIntel.aiPredict.influencerUGC.txt_ActualPaid_9,Txt_ Actual Paid_9,실제 지급액
pages,pages.marketingIntel.aiPredict.influencerUGC.txt_AdCreative_13,Txt_ Ad Creative_13,광고 크리에이티브
pages,pages.marketingIntel.aiPredict.influencerUGC.txt_Channelper_15,Txt_ Channelper_15,채널별
pages,pages.marketingIntel.aiPredict.influencerUGC.txt_CreatorROI_11,Txt_ Creator R O I_11,크리에이터 ROI
pages,pages.marketingIntel.aiPredict.influencerUGC.txt_Difference_10,Txt_ Difference_10,차액
pages,pages.marketingIntel.aiPredict.influencerUGC.txt_Engagement_12,Txt_ Engagement_12,참여도
pages,pages.marketingIntel.aiPredict.influencerUGC.txt_Percontrac_8,Txt_ Percontrac_8,계약당
pages,pages.marketingIntel.aiPredict.influencerUGC.txt_ProductPag_14,Txt_ Product Pag_14,상품 페이지
pages,pages.marketingIntel.aiPredict.influencerUGC.txt_WhitelistA_4,Txt_ Whitelist A_4,화이트리스트 A
pages,pages.marketingIntel.aiPredict.influencerUGC.u_107,Total Channels,전체 채널
pages,pages.marketingIntel.aiPredict.influencerUGC.u_114,Sum Total,합계
pages,pages.marketingIntel.aiPredict.influencerUGC.u_81,Action Recommendations,액션 추천
pages,pages.marketingIntel.aiPredict.influencerUGC.u_84,Engagement Rate,참여율
pages,pages.marketingIntel.aiPredict.influencerUGC.u_86,UGC Revenue,UGC 매출
pages,pages.marketingIntel.aiPredict.influencerUGC.u_91,Conversion Rate,전환율
pages,pages.marketingIntel.aiPredict.kpi.churnAction,Churn Action,이탈 대응 액션
pages,pages.marketingIntel.aiPredict.kpi.churnRisk,Churn Risk Customer,이탈 위험 고객
pages,pages.marketingIntel.aiPredict.kpi.highLtv,High Ltv,고 LTV 고객
pages,pages.marketingIntel.aiPredict.kpi.highLtvSub,High Ltv Sub,고 LTV 고객 안내
pages,pages.marketingIntel.aiPredict.kpi.mlAccuracy,Ml Accuracy,ML 정확도
pages,pages.marketingIntel.aiPredict.kpi.mlSub,Ml Sub,ML 분석 안내
pages,pages.marketingIntel.aiPredict.kpi.revenue,Estimated Revenue,예상 매출
pages,pages.marketingIntel.aiPredict.kpi.revenueSub,Revenue Sub,매출 분석 안내
pages,pages.marketingIntel.aiPredict.liveDB,Live D B,라이브 DB
pages,pages.marketingIntel.aiPredict.unified.alertSuccess,Alert Success,알림 발송 성공
pages,pages.marketingIntel.aiPredict.unified.btnLaunch,Btn Launch,런칭
pages,pages.marketingIntel.aiPredict.unified.btnLaunching,Btn Launching,런칭 중
pages,pages.marketingIntel.aiPredict.unified.btnRetry,Btn Retry,재시도
pages,pages.marketingIntel.aiPredict.unified.btnReview,Btn Review,검토
pages,pages.marketingIntel.aiPredict.unified.btnSimulate,Btn Simulate,시뮬레이션 실행
pages,pages.marketingIntel.aiPredict.unified.budgetErr,Budget Err,예산 오류
pages,pages.marketingIntel.aiPredict.unified.budgetLabel,Budget Label,예산
pages,pages.marketingIntel.aiPredict.unified.budgetSub,Budget Sub,예산 안내
pages,pages.marketingIntel.aiPredict.unified.campName,Campaign Name,캠페인명
pages,pages.marketingIntel.aiPredict.unified.cases, orders,주문
pages,pages.marketingIntel.aiPredict.unified.catBeauty,Cat Beauty,뷰티
pages,pages.marketingIntel.aiPredict.unified.catFashion,Cat Fashion,패션
pages,pages.marketingIntel.aiPredict.unified.catFood,Cat Food,식품
pages,pages.marketingIntel.aiPredict.unified.catGeneral,Cat General,일반
pages,pages.marketingIntel.aiPredict.unified.catSoftware,Cat Software,소프트웨어
pages,pages.marketingIntel.aiPredict.unified.catTech,Cat Tech,테크
pages,pages.marketingIntel.aiPredict.unified.catTravel,Cat Travel,여행
pages,pages.marketingIntel.aiPredict.unified.corporateCard,Corporate Card,법인 카드
pages,pages.marketingIntel.aiPredict.unified.estConv,Est Conv,예상 전환 수
pages,pages.marketingIntel.aiPredict.unified.estRoas,Estimated Blended ROAS,예상 Blended ROAS
pages,pages.marketingIntel.aiPredict.unified.expRoas,Exp Roas,예상 ROAS
pages,pages.marketingIntel.aiPredict.unified.launchSub,Launch Sub,런칭 안내
pages,pages.marketingIntel.aiPredict.unified.launchTitle,Launch Title,런칭 제목
pages,pages.marketingIntel.aiPredict.unified.mainTitle,Main Title,메인 제목
pages,pages.marketingIntel.aiPredict.unified.mixSub,Mix Sub,믹스 안내
pages,pages.marketingIntel.aiPredict.unified.mixTitle,AI Media Mix Recommendation,AI 미디어 믹스 추천
pages,pages.marketingIntel.aiPredict.unified.payMethod,Pay Method,결제 수단
pages,pages.marketingIntel.aiPredict.unified.qBudget,Q Budget,분기 예산
pages,pages.marketingIntel.aiPredict.unified.totalAmt,Total Gross,총 금액
pages,pages.marketingIntel.aiPredict.unified.whichCategory,Which Category,카테고리 선택
pages,pages.marketingIntel.aiPredict.workspace.title,Email Marketing,이메일 마케팅
pages,pages.marketingIntel.aiSuggestions,Ai Suggestions,AI 추천
pages,pages.marketingIntel.amazonRisk.accountScore,Account Health,계정 건전성
pages,pages.marketingIntel.amazonRisk.avgRating,Average Rating,평균 평점
pages,pages.marketingIntel.amazonRisk.buyBox,Buy Box Rate,바이박스 점유율
pages,pages.marketingIntel.amazonRisk.fbaStockRate,FBA Stock Rate,FBA 재고율
pages,pages.marketingIntel.amazonRisk.highRisk,High Severity,높은 심각도
pages,pages.marketingIntel.amazonRisk.keyMetrics,Core KPIs,핵심 KPI
pages,pages.marketingIntel.amazonRisk.mediumRisk,Medium Risk,중간 리스크
pages,pages.marketingIntel.amazonRisk.riskAlerts,Risk Alerts,리스크 알림
pages,pages.marketingIntel.analyzing,Analyzing...,분석 중...
pages,pages.marketingIntel.anomalyDetected,Anomaly detected,이상 징후 감지
pages,pages.marketingIntel.attrData.guideLtvName,💰 LTV vs CAC,💰 LTV vs CAC
pages,pages.marketingIntel.attrData.tabLtvLabel,LTV vs CAC,LTV vs CAC
pages,pages.marketingIntel.audienceInsights,Audience Insights,오디언스 인사이트
pages,pages.marketingIntel.auditLog.colDetail,Col Detail,상세 정보
pages,pages.marketingIntel.auditLog.exportCsv,Export CSV,CSV 내보내기
pages,pages.marketingIntel.auditLog.filterAction,Filter Action,액션 필터
pages,pages.marketingIntel.auditLog.filterDate,Filter Date,날짜 필터
pages,pages.marketingIntel.auditLog.filterUser,Filter User,사용자 필터
pages,pages.marketingIntel.auditLog.noLogs,No Logs,로그가 없습니다
pages,pages.marketingIntel.auth.adChannelNote,Ad Channel Note,광고 채널 안내
pages,pages.marketingIntel.auth.adChannelTitle,Ad Channel Title,광고 채널
pages,pages.marketingIntel.auth.addressDetailLabel,Address Detail Label,상세 주소
pages,pages.marketingIntel.auth.addressRequired,Address Required,주소를 입력해주세요
pages,pages.marketingIntel.auth.adminEmailLabel,Admin Email Label,관리자 이메일
pages,pages.marketingIntel.auth.adminKeyLabel,Admin Key Label,관리자 키
pages,pages.marketingIntel.auth.adminKeyPh,Admin Key Ph,관리자 키 입력
pages,pages.marketingIntel.auth.adminLoginBtn,Admin Login Btn,관리자 로그인
pages,pages.marketingIntel.auth.adminLoginDesc,Admin Login Desc,관리자 계정으로 로그인해주세요
pages,pages.marketingIntel.auth.adminLoginTitle,Admin Login Title,관리자 로그인
pages,pages.marketingIntel.auth.agreeAll,Agree All,전체 동의
pages,pages.marketingIntel.auth.agreeAnd,Agree And,및
pages,pages.marketingIntel.auth.agreeConsent,I agree to,동의합니다
pages,pages.marketingIntel.auth.agreeMarketing,Agree Marketing,마케팅 수신 동의
pages,pages.marketingIntel.auth.agreePrivacy,Privacy Policy,개인정보 처리방침
pages,pages.marketingIntel.auth.agreeTerms,Terms of Service,이용약관
pages,pages.marketingIntel.auth.agreeTermsRequired,Agree Terms Required,이용약관 동의가 필요합니다
pages,pages.marketingIntel.auth.alreadyHaveAccount,Already have an account?,이미 계정이 있으신가요?
pages,pages.marketingIntel.auth.businessNumberHint,Business Number Hint,사업자등록번호 안내
pages,pages.marketingIntel.auth.businessNumberLabel,Business Number,사업자등록번호
pages,pages.marketingIntel.auth.businessNumberRequired,Business Number Required,사업자등록번호를 입력해주세요
pages,pages.marketingIntel.auth.businessTypeRequired,Business Type Required,업종을 선택해주세요
pages,pages.marketingIntel.auth.businessWarning,Business Warning,사업자 정보 확인이 필요합니다
pages,pages.marketingIntel.auth.ceoNameLabel,Ceo Name Label,대표자명
pages,pages.marketingIntel.auth.ceoRequired,Ceo Required,대표자명을 입력해주세요
pages,pages.marketingIntel.auth.companyLabel,Company Label,회사명
pages,pages.marketingIntel.auth.companyRequired,Company Required,회사명을 입력해주세요
pages,pages.marketingIntel.auth.completionNote,Completion Note,가입 완료 안내
pages,pages.marketingIntel.auth.countryRequired,Country Required,국가를 선택해주세요
pages,pages.marketingIntel.auth.emailRequired,Email Required,이메일을 입력해주세요
pages,pages.marketingIntel.auth.freePlan,Free Trial (Demo),무료 체험 (데모)
pages,pages.marketingIntel.auth.freePlanDesc,Simple sign up with email · name,이메일 · 이름만으로 간편 가입
pages,pages.marketingIntel.auth.freeRegister,✨ Free Sign Up,✨ 무료 가입
pages,pages.marketingIntel.auth.freeTrialDesc,Easy start · Free trial of core features,간편하게 시작하고 핵심 기능을 무료로 체험해보세요
pages,pages.marketingIntel.auth.freeTrialTitle,Free Trial (Demo) Registration,무료 체험(데모) 가입
pages,pages.marketingIntel.auth.includedFeatures,Included Features,포함 기능
pages,pages.marketingIntel.auth.keyVerified,Key Verified,키 검증 완료
pages,pages.marketingIntel.auth.loggingIn,Logging in...,로그인 중입니다...
pages,pages.marketingIntel.auth.loginBtn,🔐 Login,🔐 로그인
pages,pages.marketingIntel.auth.monthlyRevenueLabel,Monthly Revenue Label,월 매출
pages,pages.marketingIntel.auth.nameRequired,Name Required,이름을 입력해주세요
pages,pages.marketingIntel.auth.nextBusiness,Next Business,다음: 사업자 정보
pages,pages.marketingIntel.auth.nextChannels,Next Channels,다음: 채널 설정
pages,pages.marketingIntel.auth.notAdminAccount,Not Admin Account,관리자 계정이 아닙니다
pages,pages.marketingIntel.auth.orLoginWith,Or login with account,또는 계정으로 로그인
pages,pages.marketingIntel.auth.paidPlan,Paid Plan Sign Up,유료 플랜 가입
pages,pages.marketingIntel.auth.paidPlanDesc,Paid Plan Desc,유료 플랜 안내
pages,pages.marketingIntel.auth.paidPlanNote,Paid Plan Note,유료 플랜 참고사항
pages,pages.marketingIntel.auth.paidPlanTitle,Paid Plan Title,유료 플랜 가입
pages,pages.marketingIntel.auth.passwordConfirm,Confirm Password,비밀번호 확인
pages,pages.marketingIntel.auth.passwordHint,Password (min 6 characters),비밀번호 (최소 6자 이상)
pages,pages.marketingIntel.auth.passwordMismatch,Password Mismatch,비밀번호가 일치하지 않습니다
pages,pages.marketingIntel.auth.passwordTooShort,Password Too Short,비밀번호가 너무 짧습니다
pages,pages.marketingIntel.auth.phoneRequired,Phone Required,전화번호를 입력해주세요
pages,pages.marketingIntel.auth.PlanNote,Plan Note,플랜 참고사항
pages,pages.marketingIntel.auth.planQuestion,Plan Question,플랜 문의
pages,pages.marketingIntel.auth.planTypeTitle,Select Registration Type,가입 유형 선택
pages,pages.marketingIntel.auth.premiumOnly,Premium Only,프리미엄 전용
pages,pages.marketingIntel.auth.priceNotSet,Price Not Set,가격 미설정
pages,pages.marketingIntel.auth.processingRegister,Processing Register,가입 처리 중입니다
pages,pages.marketingIntel.auth.quickStart,⚡ Quick Demo,⚡ 빠른 데모
pages,pages.marketingIntel.auth.recommendedFor,Recommended For,추천 대상
pages,pages.marketingIntel.auth.reenterKey,Reenter Key,키 다시 입력
pages,pages.marketingIntel.auth.registering,Registering...,등록 중...
pages,pages.marketingIntel.auth.registerLink,Sign Up,회원가입
pages,pages.marketingIntel.auth.salesChannelNote,Sales Channel Note,판매 채널 안내
pages,pages.marketingIntel.auth.salesChannelRequired,Sales Channel Required,판매 채널을 선택해주세요
pages,pages.marketingIntel.auth.salesChannelTitle,Sales Channel Title,판매 채널
pages,pages.marketingIntel.auth.selectPlaceholder,Select Placeholder,선택해주세요
pages,pages.marketingIntel.auth.startFree,🚀 Start Free,🚀 무료로 시작하기
pages,pages.marketingIntel.auth.startPlan,Start Plan,플랜 시작
pages,pages.marketingIntel.auth.step1Account,① Account Info,① 계정 정보
pages,pages.marketingIntel.auth.step2Business,② Business Info,② 사업자 정보
pages,pages.marketingIntel.auth.step3Channels,③ Channels & Complete,③ 채널 설정 및 완료
pages,pages.marketingIntel.auth.termsRequired,Terms Required,약관 동의가 필요합니다
pages,pages.marketingIntel.auth.try,🎯 Try Demo,🎯 데모 체험
pages,pages.marketingIntel.auth.verifyKey,Verify Key,키 검증
pages,pages.marketingIntel.auth.websiteLabel,Website Label,웹사이트
pages,pages.marketingIntel.auth.wrongAdminKey,Wrong Admin Key,관리자 키가 올바르지 않습니다
pages,pages.marketingIntel.auth.zipCodeLabel,Zip Code Label,우편번호
pages,pages.marketingIntel.autoOrderMode,Auto Order Mode,자동 주문 모드
pages,pages.marketingIntel.autoRules,⚙️ Automation Rules List,⚙️ 자동화 규칙 목록
pages,pages.marketingIntel.avgConfidence,Avg Confidence,평균 신뢰도
pages,pages.marketingIntel.avgEngRate,Avg Eng Rate,평균 참여율
pages,pages.marketingIntel.backToList,Back To List,목록으로 돌아가기
pages,pages.marketingIntel.badgeAiRec,Badge Ai Rec,AI 추천 배지
pages,pages.marketingIntel.banner.abGroupA,Ab Group A,A 그룹
pages,pages.marketingIntel.banner.abGroupB,Ab Group B,B 그룹
pages,pages.marketingIntel.banner.backToList,Back To List,목록으로 돌아가기
pages,pages.marketingIntel.banner.clickToEdit,Click To Edit,클릭하여 편집
pages,pages.marketingIntel.banner.conditionEmailClicked,Condition Email Clicked,이메일 클릭 조건
pages,pages.marketingIntel.banner.conditionEmailOpened,Condition Email Opened,이메일 열람 조건
pages,pages.marketingIntel.banner.conditionField,Condition Field,조건 필드
pages,pages.marketingIntel.banner.conditionKakaoClicked,Condition Kakao Clicked,카카오 클릭 조건
pages,pages.marketingIntel.banner.conditionLineClicked,LINE Clicks,LINE 클릭
pages,pages.marketingIntel.banner.conditionLtvGt,Condition Ltv Gt,LTV 초과 조건
pages,pages.marketingIntel.banner.crmChurn,Crm Churn,CRM 이탈
pages,pages.marketingIntel.banner.crmJourney,Crm Journey,CRM 여정
pages,pages.marketingIntel.banner.crmJourneyAction,Crm Journey Action,CRM 여정 액션
pages,pages.marketingIntel.banner.crmVip,Crm Vip,CRM VIP
pages,pages.marketingIntel.banner.days, days,일
pages,pages.marketingIntel.banner.delayTime,Delay Time,지연 시간
pages,pages.marketingIntel.banner.deleteNode,Delete Node,노드 삭제
pages,pages.marketingIntel.banner.emailFrom,Email From,발신자
pages,pages.marketingIntel.banner.emailSendSim,Email Send Sim,이메일 발송 시뮬레이션
pages,pages.marketingIntel.banner.emailSimulate,Email Simulate,이메일 시뮬레이션
pages,pages.marketingIntel.banner.emailSubject,Email Subject,이메일 제목
pages,pages.marketingIntel.banner.emailSubjectPh,Email Subject Ph,이메일 제목 입력
pages,pages.marketingIntel.banner.emailTestSend,Email Test Send,이메일 테스트 발송
pages,pages.marketingIntel.banner.execLog,Auto Execution Log,자동 실행 로그
pages,pages.marketingIntel.banner.kakaoAlimtalk,Kakao Alimtalk,카카오 알림톡
pages,pages.marketingIntel.banner.kakaoFriendtalk,Kakao Friendtalk,카카오 친구톡
pages,pages.marketingIntel.banner.kakaoMsgType,Kakao Msg Type,카카오 메시지 유형
pages,pages.marketingIntel.banner.kakaoSendSim,Kakao Send Sim,카카오 발송 시뮬레이션
pages,pages.marketingIntel.banner.kakaoTemplate,Kakao Template,카카오 템플릿
pages,pages.marketingIntel.banner.kakaoTest,Kakao Test,카카오 테스트
pages,pages.marketingIntel.banner.lineMsgType,Line Msg Type,LINE 메시지 유형
pages,pages.marketingIntel.banner.lineSendSim,Line Send Sim,LINE 발송 시뮬레이션
pages,pages.marketingIntel.banner.lineSimulate,Line Simulate,LINE 시뮬레이션
pages,pages.marketingIntel.banner.lineTemplate,Line Template,LINE 템플릿
pages,pages.marketingIntel.banner.lineTestSend,Line Test Send,LINE 테스트 발송
pages,pages.marketingIntel.banner.mktBudgetAction,Mkt Budget Action,마케팅 예산 액션
pages,pages.marketingIntel.banner.mktHighRoas,Mkt High Roas,고 ROAS 마케팅
pages,pages.marketingIntel.banner.mktHighRoasSub,Mkt High Roas Sub,고 ROAS 마케팅 안내
pages,pages.marketingIntel.banner.mktHubAction,Mkt Hub Action,마케팅 허브 액션
pages,pages.marketingIntel.banner.mktLowRoas,Mkt Low Roas,저 ROAS 마케팅
pages,pages.marketingIntel.banner.mktOptimizeNow,Mkt Optimize Now,지금 마케팅 최적화
pages,pages.marketingIntel.banner.mktRulesActive,Mkt Rules Active,활성 마케팅 규칙
pages,pages.marketingIntel.banner.nodeConfig,Node Config,노드 설정
pages,pages.marketingIntel.banner.nodeName,Node Name,노드명
pages,pages.marketingIntel.banner.ordersAiRun,Orders Ai Run,주문 AI 실행
pages,pages.marketingIntel.banner.ordersAiSub,Orders Ai Sub,주문 AI 안내
