path,ja_value,ko_value,ja_type,ja_hangul
crm.email.catalogSync.nearOutOfStock,품절 임박,품절 임박,string,1
crm.email.catalogSync.nearOutOfStockLabel,品切れ間近,品切れ間近,string,0
crm.email.catalogSync.nextApprove,다음: 승인 & 등록 →,다음: 승인 & 등록 →,string,1
crm.email.catalogSync.nextApproveBtn,次へ: 承認 & 登録 →,次へ: 承認 & 登録 →,string,0
crm.email.catalogSync.nextPage,다음,다음,string,1
crm.email.catalogSync.nextSetPrice,다음: 가격 설정 →,다음: 가격 설정 →,string,1
crm.email.catalogSync.nextSetPriceBtn,次へ: 価格設定 →,次へ: 価格設定 →,string,0
crm.email.catalogSync.noData,No Data Available,No Data Available,string,0
crm.email.catalogSync.noHistory,No execution history,No execution history,string,0
crm.email.catalogSync.notIntegrated,미연동,미연동,string,1
crm.email.catalogSync.notSynced,미동기화,미동기화,string,1
crm.email.catalogSync.openPricePreview,💰 価格プレビュー,💰 価格プレビュー,string,0
crm.email.catalogSync.optionsVariants,옵션/변형,옵션/변형,string,1
crm.email.catalogSync.palletDetails,파렛트 (PL) 단위 상세,파렛트 (PL) 단위 상세,string,1
crm.email.catalogSync.palletDetailsTitle,📦📦 パレット(PL)単位詳細,📦📦 パレット(PL)単位詳細,string,0
crm.email.catalogSync.prevPage,이전,이전,string,1
crm.email.catalogSync.previewPrices,가격 미리보기,가격 미리보기,string,1
crm.email.catalogSync.priceEditApply,{{n}}개 상품 가격 적용,{{n}}개 상품 가격 적용,string,1
crm.email.catalogSync.priceEditDone,가격 수정 완료!,가격 수정 완료!,string,1
crm.email.catalogSync.priceEditDoneToast,✅ {{n}}개 상품 가격 편집 완료!,✅ {{n}}개 상품 가격 편집 완료!,string,1
crm.email.catalogSync.priceFormula,추천가 공식: 상품원가 ÷ (1 - 수수료율 - 세금율 - 마진율),추천가 공식: 상품원가 ÷ (1 - 수수료율 - 세금율 - 마진율),string,1
crm.email.catalogSync.pricing,Pricing,Pricing,string,0
crm.email.catalogSync.processed,처리됨,처리됨,string,1
crm.email.catalogSync.processing,Processing...,Processing...,string,0
crm.email.catalogSync.productCostAuto,Product Cost Auto,Product Cost Auto,string,0
crm.email.catalogSync.productCount,Product Count,Product Count,string,0
crm.email.catalogSync.productImage,상품 이미지,상품 이미지,string,1
crm.email.catalogSync.productNameLabel,상품명,상품명,string,1
crm.email.catalogSync.productNamePh,상품명을 입력하세요,상품명을 입력하세요,string,1
crm.email.catalogSync.productsUnregister,{{n}}件の商品を解除,{{n}}件の商品を解除,string,0
crm.email.catalogSync.progress,진행률,진행률,string,1
crm.email.catalogSync.purchaseCostLabel,매입 원가,매입 원가,string,1
crm.email.catalogSync.qtyPerBox,박스당 수량 (개) *,박스당 수량 (개) *,string,1
crm.email.catalogSync.qtyPerBoxLabel,1ボックスあたり数量 (ea) *,1ボックスあたり数量 (ea) *,string,0
crm.email.catalogSync.registerAction,채널에 등록,채널에 등록,string,1
crm.email.catalogSync.registerActionDesc,선택 채널에 판매 등록/활성화,선택 채널에 판매 등록/활성화,string,1
crm.email.catalogSync.registerDone,:{{products}}개 상품 · {{channels}}개 채널 등록 완료!,:{{products}}개 상품 · {{channels}}개 채널 등록 완료!,string,1
crm.email.catalogSync.registerDoneMsg,✅ {{prodCount}}商品 · {{chCount}}チャネル 登録完了！,✅ {{prodCount}}商品 · {{chCount}}チャネル 登録完了！,string,0
crm.email.catalogSync.registerDoneToast,✅ {{n}}개 상품 채널 등록 완료!,✅ {{n}}개 상품 채널 등록 완료!,string,1
crm.email.catalogSync.registerProduct,상품 등록,상품 등록,string,1
crm.email.catalogSync.registerRun,:{{products}}개 상품 · {{channels}}개 채널 등록 실행,:{{products}}개 상품 · {{channels}}개 채널 등록 실행,string,1
crm.email.catalogSync.registerRunMsg,🚀 {{prodCount}}商品 · {{chCount}}チャネル 登録実行,🚀 {{prodCount}}商品 · {{chCount}}チャネル 登録実行,string,0
crm.email.catalogSync.registerToChannel,채널 등록,채널 등록,string,1
crm.email.catalogSync.registerToChannelAction,✅ チャネル登録,✅ チャネル登録,string,0
crm.email.catalogSync.registerToChannelDesc,選択したチャネルで販売を登録/有効化,選択したチャネルで販売を登録/有効化,string,0
crm.email.catalogSync.registering,Registering...,Registering...,string,0
crm.email.catalogSync.removeImage,이미지 삭제,이미지 삭제,string,1
crm.email.catalogSync.reserveQty,예약 수량,예약 수량,string,1
crm.email.catalogSync.reservedStock,예약 재고,예약 재고,string,1
crm.email.catalogSync.rounding,라운딩 규칙,라운딩 규칙,string,1
crm.email.catalogSync.rounding900,"900원 단위 (예: ₩29,900)","900원 단위 (예: ₩29,900)",string,1
crm.email.catalogSync.rounding990,"990원 단위 (예: ₩29,990)","990원 단위 (예: ₩29,990)",string,1
crm.email.catalogSync.roundingNone,なし,なし,string,0
crm.email.catalogSync.running,Running,Running,string,0
crm.email.catalogSync.safetyStock,안전 재고,안전 재고,string,1
crm.email.catalogSync.salePriceLabel,판매가,판매가,string,1
crm.email.catalogSync.save,Save,Save,string,0
crm.email.catalogSync.schedFreq12h,12時間ごと,12時間ごと,string,0
crm.email.catalogSync.schedFreq1h,1時間ごと,1時間ごと,string,0
crm.email.catalogSync.schedFreq30m,30分ごと,30分ごと,string,0
crm.email.catalogSync.schedFreq6h,6時間ごと,6時間ごと,string,0
crm.email.catalogSync.schedSaveBtn,スケジュール保存,スケジュール保存,string,0
crm.email.catalogSync.scheduleDesc,自動同期の間隔を設定します。,自動同期の間隔を設定します。,string,0
crm.email.catalogSync.scheduleEnabled,自動スケジュール有効化,自動スケジュール有効化,string,0
crm.email.catalogSync.scheduleSaved,スケジュールが保存されました。,スケジュールが保存されました。,string,0
crm.email.catalogSync.scheduleTitle,⏰ 同期スケジュール,⏰ 同期スケジュール,string,0
crm.email.catalogSync.scope,범위,범위,string,1
crm.email.catalogSync.searchPlaceholder,Search product/SKU...,Search product/SKU...,string,0
crm.email.catalogSync.selectAllBtn,전체 선택,전체 선택,string,1
crm.email.catalogSync.selectChannel,채널 선택,채널 선택,string,1
crm.email.catalogSync.selectChannelStep,チャネル選択,チャネル選択,string,0
crm.email.catalogSync.selectedProductSummary,선택 상품 ({{n}}개) · 평균 상품원가,선택 상품 ({{n}}개) · 평균 상품원가,string,1
crm.email.catalogSync.selectedProducts,{{n}}개 선택됨,{{n}}개 선택됨,string,1
crm.email.catalogSync.setPrice,가격 설정,가격 설정,string,1
crm.email.catalogSync.shippingCost,배송비,배송비,string,1
crm.email.catalogSync.shippingFeeLabel,배송비,배송비,string,1
crm.email.catalogSync.skuLabel,SKU 코드,SKU 코드,string,1
crm.email.catalogSync.skuPh,SKU 코드를 입력하세요,SKU 코드를 입력하세요,string,1
crm.email.catalogSync.specLabel,Spec Label,Spec Label,string,0
crm.email.catalogSync.specPh,규격·사양을 입력하세요,규격·사양을 입력하세요,string,1
crm.email.catalogSync.startTime,시작 시간,시작 시간,string,1
crm.email.catalogSync.statusError,エラー,エラー,string,0
crm.email.catalogSync.statusNormal,정상,정상,string,1
crm.email.catalogSync.statusWarning,Warnings,Warnings,string,0
crm.email.catalogSync.stockQtyLabel,재고 수량,재고 수량,string,1
crm.email.catalogSync.stockStatus,재고 현황,재고 현황,string,1
crm.email.catalogSync.stockThreshold,안전재고 임계치,안전재고 임계치,string,1
crm.email.catalogSync.storageCost,보관비,보관비,string,1
crm.email.catalogSync.storageFeeLabel,보관비,보관비,string,1
crm.email.catalogSync.syncInProgress,동기화 진행 중...,동기화 진행 중...,string,1
crm.email.catalogSync.syncNow,Sync Now,Sync Now,string,0
crm.email.catalogSync.syncScope,동기화 범위,동기화 범위,string,1
crm.email.catalogSync.syncStart,동기화 시작,동기화 시작,string,1
crm.email.catalogSync.syncThisProduct,이 상품 동기화,이 상품 동기화,string,1
crm.email.catalogSync.syncing,동기화 중...,동기화 중...,string,1
crm.email.catalogSync.tabCatalog,카탈로그,카탈로그,string,1
crm.email.catalogSync.tabCategoryMapping,カテゴリマッピング,カテゴリマッピング,string,0
crm.email.catalogSync.tabHistory,📋 アラート履歴,📋 アラート履歴,string,0
crm.email.catalogSync.tabPriceRules,가격 규칙,가격 규칙,string,1
crm.email.catalogSync.tabStockPolicy,재고 정책,재고 정책,string,1
crm.email.catalogSync.tabSyncRun,동기화 실행,동기화 실행,string,1
crm.email.catalogSync.targetChannel,대상 채널,대상 채널,string,1
crm.email.catalogSync.targetChannels,대상 채널,대상 채널,string,1
crm.email.catalogSync.templateDownloaded,一括登録テンプレートをダウンロードしました,一括登録テンプレートをダウンロードしました,string,0
crm.email.catalogSync.totalSkuCombo,총 SKU 조합: {{n}}개,총 SKU 조합: {{n}}개,string,1
crm.email.catalogSync.type,Type,Type,string,0
crm.email.catalogSync.unitBox,Box,Box,string,0
crm.email.catalogSync.unitBoxDesc,1박스 = N개 입력,1박스 = N개 입력,string,1
crm.email.catalogSync.unitEa,개 (단품),개 (단품),string,1
crm.email.catalogSync.unitEaDesc,개별 단위로 등록,개별 단위로 등록,string,1
crm.email.catalogSync.unitPl,PL (파렛트),PL (파렛트),string,1
crm.email.catalogSync.unitPlDesc,1PL = N박스 = M개,1PL = N박스 = M개,string,1
crm.email.catalogSync.unitSelection,판매 단위 선택,판매 단위 선택,string,1
crm.email.catalogSync.unmapped,未マッピング,未マッピング,string,0
crm.email.catalogSync.unregisterAction,채널 해제,채널 해제,string,1
crm.email.catalogSync.unregisterActionDesc,선택 채널에서 상품 비활성화,선택 채널에서 상품 비활성화,string,1
crm.email.catalogSync.unregisterChannelAction,⛔ チャネル解除,⛔ チャネル解除,string,0
crm.email.catalogSync.unregisterChannelDesc,選択したチャネルで商品を無効化,選択したチャネルで商品を無効化,string,0
crm.email.catalogSync.unregisterProducts,:{{n}}개 상품 해제,:{{n}}개 상품 해제,string,1
crm.email.catalogSync.uploadImage,Upload Image,Upload Image,string,0
crm.email.catalogSync.validationBox,박스당 수량을 입력해 주세요.,박스당 수량을 입력해 주세요.,string,1
crm.email.catalogSync.validationNameCategory,상품명과 카테고리를 입력해 주세요.,상품명과 카테고리를 입력해 주세요.,string,1
crm.email.catalogSync.validationPl,팔레트당 박스 수를 입력해 주세요.,팔레트당 박스 수를 입력해 주세요.,string,1
crm.email.catalogSync.workCost,작업비,작업비,string,1
crm.email.colAction,アクション,액션,string,0
crm.email.colClick,클릭율,클릭율,string,1
crm.email.colCnt,回数,횟수,string,0
crm.email.colEmail,メール,이메일,string,0
crm.email.colGrade,等級,등급,string,0
crm.email.colLast,最終,최근,string,0
crm.email.colLtv,LTV,LTV,string,0
crm.email.colName,Campaign name,이름,string,0
crm.email.colOpen,Open Rate,오픈율,string,0
crm.email.colPhone,電話,전화,string,0
crm.email.colSent,Send,발송수,string,0
crm.email.colStatus,ステータス,상태,string,0
crm.email.colTarget,Target,세그먼트,string,0
crm.email.colTpl,Template,템플릿,string,0
crm.email.conn.badgeRealSync,リアルタイム同期,リアルタイム同期,string,0
crm.email.conn.badgeSecurity,セキュリティ有効,セキュリティ有効,string,0
crm.email.conn.connected,接続済み,接続済み,string,0
crm.email.conn.crossTabSync,別タブからスキーマ同期,別タブからスキーマ同期,string,0
crm.email.conn.dwArchAd,広告プラットフォーム,広告プラットフォーム,string,0
crm.email.conn.dwArchAnalytics,アナリティクス,アナリティクス,string,0
crm.email.conn.dwArchCRM,CRM,CRM,string,0
crm.email.conn.dwArchCommerce,コマース,コマース,string,0
crm.email.conn.dwArchTitle,データパイプラインアーキテクチャ,データパイプラインアーキテクチャ,string,0
crm.email.conn.dwAuthSA,サービスアカウント,サービスアカウント,string,0
crm.email.conn.dwBadge1,✓ Zero-ETLパイプライン,✓ Zero-ETLパイプライン,string,0
crm.email.conn.dwBadge2,✓ リアルタイムストリーミング,✓ リアルタイムストリーミング,string,0
crm.email.conn.dwBadge4,✓ 自動スキーマ進化,✓ 自動スキーマ進化,string,0
crm.email.conn.dwBadge5,✓ 圧縮・パーティショニング,✓ 圧縮・パーティショニング,string,0
crm.email.conn.dwConnectPrompt,データウェアハウス接続後マーケティングデータを自動同期します,データウェアハウス接続後マーケティングデータを自動同期します,string,0
crm.email.conn.dwDesc,BigQuery・Snowflake・Redshift・Databricksにマーケティングデータをリアルタイム同期。ネイティブコネクタで既存BIツールと即座に統合可能。,BigQuery・Snowflake・Redshift・Databricksにマーケティングデータをリアルタイム同期。ネイティブコネクタで既存BIツールと即座に統合可能。,string,0
crm.email.conn.dwFeatureAutoScale,自動スケーリング,自動スケーリング,string,0
crm.email.conn.dwFeatureDelta,Deltaトランザクション,Deltaトランザクション,string,0
crm.email.conn.dwFeatureML,MLモデル統合,MLモデル統合,string,0
crm.email.conn.dwFeatureMLBuiltin,ML内蔵サポート,ML内蔵サポート,string,0
crm.email.conn.dwFeaturePartition,パーティショニング自動化,パーティショニング自動化,string,0
crm.email.conn.dwFeatureSpectrum,Spectrum外部テーブル,Spectrum外部テーブル,string,0
crm.email.conn.dwFeatureStreaming,リアルタイムストリーミング,リアルタイムストリーミング,string,0
crm.email.conn.dwSync15min,15分ごと,15分ごと,string,0
crm.email.conn.dwSync30min,30分ごと,30分ごと,string,0
crm.email.conn.dwSync5min,5分ごと,5分ごと,string,0
crm.email.conn.dwTitle,データウェアハウス — 分析データ自動同期,データウェアハウス — 分析データ自動同期,string,0
crm.email.conn.eventFeed,イベントフィード,イベントフィード,string,0
crm.email.conn.eventFeedSub,リアルタイム,リアルタイム,string,0
crm.email.conn.filterAll,すべて,すべて,string,0
crm.email.conn.heroDesc,API キーを登録し接続状態を管理します。,API キーを登録し接続状態を管理します。,string,0
crm.email.conn.kpiConnected,接続済み,接続済み,string,0
crm.email.conn.kpiTotal,全チャネル,全チャネル,string,0
crm.email.conn.noEvents,受信イベントなし,受信イベントなし,string,0
crm.email.conn.noPlatforms,接続済みプラットフォームなし,接続済みプラットフォームなし,string,0
crm.email.conn.noPlatformsDesc,APIキーまたはOAuthで広告・コマース・CRMプラットフォームを接続してください。,APIキーまたはOAuthで広告・コマース・CRMプラットフォームを接続してください。,string,0
crm.email.conn.pageSub,コネクタ＆統合管理,コネクタ＆統合管理,string,0
crm.email.conn.pageTitle,🔌 連携ハブ,🔌 連携ハブ,string,0
crm.email.conn.secCode,ロック解除コード入力,ロック解除コード入力,string,0
crm.email.conn.secTitle,セキュリティ脅威検出,セキュリティ脅威検出,string,0
crm.email.conn.secUnlock,ロック解除,ロック解除,string,0
crm.email.conn.tabDW,データウェアハウス,データウェアハウス,string,0
crm.email.conn.tabPlatforms,📡 プラットフォーム,📡 プラットフォーム,string,0
crm.email.ds.adDesc,キャンペーン・クリエイティブ・キーワード・オーディエンスレベルのインプレッション/クリック/コンバージョンイベント標準スキーマ,キャンペーン・クリエイティブ・キーワード・オーディエンスレベルのインプレッション/クリック/コンバージョンイベント標準スキーマ,string,0
crm.email.ds.adEvents,広告イベント,広告イベント,string,0
crm.email.ds.alertCondition,アラート条件,アラート条件,string,0
crm.email.ds.alertRuleCatalog,推奨/アラートルールカタログ,推奨/アラートルールカタログ,string,0
crm.email.ds.badgeAlertRules,アラートルール,アラートルール,string,0
crm.email.ds.badgeMetrics,メトリクス定義,メトリクス定義,string,0
crm.email.ds.badgePlatforms,対応プラットフォーム,対応プラットフォーム,string,0
crm.email.ds.badgeTotalFields,全イベントフィールド,全イベントフィールド,string,0
crm.email.ds.channel,チャネル,チャネル,string,0
crm.email.ds.crossTabSync,別タブからスキーマ同期,別タブからスキーマ同期,string,0
crm.email.ds.dataFlowSummary,データフロー要約,データフロー要約,string,0
crm.email.ds.definedMetrics,定義済みメトリクス,定義済みメトリクス,string,0
crm.email.ds.domain,ドメイン,ドメイン,string,0
crm.email.ds.fAccountId,広告アカウントID,広告アカウントID,string,0
crm.email.ds.fAdId,クリエイティブ(広告)ID,クリエイティブ(広告)ID,string,0
crm.email.ds.fAdName,クリエイティブ名,クリエイティブ名,string,0
crm.email.ds.fAdsetId,広告セット/グループID,広告セット/グループID,string,0
crm.email.ds.fAdsetName,広告セット名,広告セット名,string,0
crm.email.ds.fAttribRevenue,アトリビューション寄与売上,アトリビューション寄与売上,string,0
crm.email.ds.fAudienceId,オーディエンスセグメントID,オーディエンスセグメントID,string,0
crm.email.ds.fAudienceType,リターゲト/LAL/関心,リターゲト/LAL/関心,string,0
crm.email.ds.fCampaignId,キャンペーンID,キャンペーンID,string,0
crm.email.ds.fCampaignName,キャンペーン名,キャンペーン名,string,0
crm.email.ds.fCampaignObj,キャンペーン目標,キャンペーン目標,string,0
crm.email.ds.fClicks,クリック数,クリック数,string,0
crm.email.ds.fContentId,プラットフォームコンテンツID,プラットフォームコンテンツID,string,0
crm.email.ds.fContentType,コンテンツタイプ,コンテンツタイプ,string,0
crm.email.ds.fContractType,契約タイプ,契約タイプ,string,0
crm.email.ds.fConvValue,コンバージョン金額,コンバージョン金額,string,0
crm.email.ds.fConversions,コンバージョン数,コンバージョン数,string,0
crm.email.ds.fCpc,クリック単価,クリック単価,string,0
crm.email.ds.fCreativeType,クリエイティブタイプ,クリエイティブタイプ,string,0
crm.email.ds.fCreatorId,内部クリエイターUUID,内部クリエイターUUID,string,0
crm.email.ds.fCtr,クリック率,クリック率,string,0
crm.email.ds.fCurrency,通貨コード,通貨コード,string,0
crm.email.ds.fDeviceType,デバイスタイプ,デバイスタイプ,string,0
crm.email.ds.fEngRate,エンゲージメント率,エンゲージメント率,string,0
crm.email.ds.fEventDate,イベント日時UTC,イベント日時UTC,string,0
crm.email.ds.fEventId,イベント固有UUID v4,イベント固有UUID v4,string,0
crm.email.ds.fGeoCountry,国コード,国コード,string,0
crm.email.ds.fHandle,プラットフォームハンドル,プラットフォームハンドル,string,0
crm.email.ds.fImpressions,インプレッション数,インプレッション数,string,0
crm.email.ds.fKeywordId,検索キーワードID,検索キーワードID,string,0
crm.email.ds.fKeywordText,キーワードテキスト,キーワードテキスト,string,0
crm.email.ds.fLikes,いいね数,いいね数,string,0
crm.email.ds.fMatchType,キーワードマッチタイプ,キーワードマッチタイプ,string,0
crm.email.ds.fPlatform,プラットフォームコード,プラットフォームコード,string,0
crm.email.ds.fPlatformFee,プラットフォーム手数料,プラットフォーム手数料,string,0
crm.email.ds.fReach,ユニークリーチ,ユニークリーチ,string,0
crm.email.ds.fTier,クリエイターティア,クリエイターティア,string,0
crm.email.ds.fields,フィールド,フィールド,string,0
crm.email.ds.flowBigQuery,BigQuery,BigQuery,string,0
crm.email.ds.flowKafkaS3,Kafka/S3,Kafka/S3,string,0
crm.email.ds.flowPlatformApi,プラットフォームAPI,プラットフォームAPI,string,0
crm.email.ds.heroDesc,API キーを登録し接続状態を管理します。,API キーを登録し接続状態を管理します。,string,0
crm.email.ds.marketDesc,注文・返品・クレーム・精算の詳細控除項目を含むマーケットイベント標準スキーマ,注文・返品・クレーム・精算の詳細控除項目を含むマーケットイベント標準スキーマ,string,0
crm.email.ds.marketOrders,マーケット注文/精算,マーケット注文/精算,string,0
crm.email.ds.metCreatorROI,クリエイターROI,クリエイターROI,string,0
crm.email.ds.metEngRate,エンゲージメント率,エンゲージメント率,string,0
crm.email.ds.metric,メトリクス,メトリクス,string,0
crm.email.ds.metricsCatalog,メトリクスカタログ,メトリクスカタログ,string,0
crm.email.ds.pipeAdApiDesc,OAuth2トークン自動更新、15分間隔,OAuth2トークン自動更新、15分間隔,string,0
crm.email.ds.pipeAnomalyAlert,異常アラート,異常アラート,string,0
crm.email.ds.pipeAnomalyAlertDesc,anomaly_score > 70 → Slack + インアプリ,anomaly_score > 70 → Slack + インアプリ,string,0
crm.email.ds.pipeBatchAgg,日次バッチ集計,日次バッチ集計,string,0
crm.email.ds.pipeBudgetReallocDesc,ROAS基準予算移動シミュレーション,ROAS基準予算移動シミュレーション,string,0
crm.email.ds.pipeCreatorUnify,クリエイターID統合,クリエイターID統合,string,0
crm.email.ds.pipeCreatorUnifyDesc,メールハッシュ+ハンドル類似度ベース重複検出,メールハッシュ+ハンドル類似度ベース重複検出,string,0
crm.email.ds.pipeDQ,データ品質検証,データ品質検証,string,0
crm.email.ds.pipeDQDesc,必須フィールドNULLチェック、異常検出,必須フィールドNULLチェック、異常検出,string,0
crm.email.ds.pipeDerivedMetrics,派生メトリクス,派生メトリクス,string,0
crm.email.ds.pipeDerivedMetricsDesc,ROAS・ACOS・CTR・CVR・返品率等,ROAS・ACOS・CTR・CVR・返品率等,string,0
crm.email.ds.pipeFieldMap,フィールドマッピング・通貨変換,フィールドマッピング・通貨変換,string,0
crm.email.ds.pipeFieldMapDesc,プラットフォーム別→標準スキーママッピング,プラットフォーム別→標準スキーママッピング,string,0
crm.email.ds.pipeMarketFile,マーケット精算ファイル,マーケット精算ファイル,string,0
crm.email.ds.pipeMarketFileDesc,精算CSV自動ダウンロード→S3ロード,精算CSV自動ダウンロード→S3ロード,string,0
crm.email.ds.pipeMetricsCalc,メトリクス計算,メトリクス計算,string,0
crm.email.ds.pipeRecommend,推奨/アラート,推奨/アラート,string,0
crm.email.ds.pipeStreamAgg,リアルタイム集計,リアルタイム集計,string,0
crm.email.ds.pipeStreamAggDesc,Kafka Streams: 1分ウィンドウ集計→Redis→ダッシュボード,Kafka Streams: 1分ウィンドウ集計→Redis→ダッシュボード,string,0
crm.email.ds.pipeUgcCrawl,UGCコンテンツ収集,UGCコンテンツ収集,string,0
crm.email.ds.pipeUgcCrawlDesc,投稿後1h・24h・7d・30dスナップショット,投稿後1h・24h・7d・30dスナップショット,string,0
crm.email.ds.platforms,プラットフォーム,プラットフォーム,string,0
crm.email.ds.ruleCreatorROI10,クリエイターROI < 10x,クリエイターROI < 10x,string,0
crm.email.ds.ruleHighViewLowOrderAction,コンテンツ/LP最適化推奨,コンテンツ/LP最適化推奨,string,0
crm.email.ds.ruleOverpay,過払い検出,過払い検出,string,0
crm.email.ds.ruleOverpayAction,回収ワークフロートリガー,回収ワークフロートリガー,string,0
crm.email.ds.ruleROAS2Action,キャンペーン自動一時停止 + 即時Slack通知,キャンペーン自動一時停止 + 即時Slack通知,string,0
crm.email.ds.ruleROAS3,ROAS < 3.0x,ROAS < 3.0x,string,0
crm.email.ds.ruleROAS3Action,予算再配分推奨カード,予算再配分推奨カード,string,0
crm.email.ds.ruleReturn12Action,商品運営対策推奨 + MDメール,商品運営対策推奨 + MDメール,string,0
crm.email.ds.ruleWhitelistD0,ホワイトリスト D-0 期限切,ホワイトリスト D-0 期限切,string,0
crm.email.ds.ruleWhitelistD30,ホワイトリスト満了 D-30,ホワイトリスト満了 D-30,string,0
crm.email.ds.ruleWhitelistD30Action,クリエイターに更新依頼メール,クリエイターに更新依頼メール,string,0
crm.email.ds.ruleWhitelistD7,ホワイトリスト満了 D-7,ホワイトリスト満了 D-7,string,0
crm.email.ds.ruleWhitelistD7Action,緊急広告配信レビューバナー,緊急広告配信レビューバナー,string,0
crm.email.ds.secAudienceTarget,オーディエンスターゲティング,オーディエンスターゲティング,string,0
crm.email.ds.secCampaignHierarchy,キャンペーン階層,キャンペーン階層,string,0
crm.email.ds.secCode,ロック解除コード入力,ロック解除コード入力,string,0
crm.email.ds.secContentPerf,コンテンツパフォーマンス,コンテンツパフォーマンス,string,0
crm.email.ds.secCreatorIdentity,クリエイター識別,クリエイター識別,string,0
crm.email.ds.secPerfMetrics,パフォーマンス指標,パフォーマンス指標,string,0
crm.email.ds.secReturnClaim,返品・クレーム,返品・クレーム,string,0
crm.email.ds.secTitle,セキュリティ脅威検出,セキュリティ脅威検出,string,0
crm.email.ds.secUnlock,ロック解除,ロック解除,string,0
crm.email.ds.tabAlerts,推奨/アラートルール,推奨/アラートルール,string,0
crm.email.ds.tabAlertsDesc,自動化トリガー,自動化トリガー,string,0
crm.email.ds.tabMetrics,メトリクスカタログ,メトリクスカタログ,string,0
crm.email.ds.tabPipelineDesc,データパイプライン,データパイプライン,string,0
crm.email.ds.tabSchema,イベントスキーマ,イベントスキーマ,string,0
crm.email.ds.tabSchemaDesc,標準フィールド仕様,標準フィールド仕様,string,0
crm.email.ds.thField,フィールド,フィールド,string,0
crm.email.ds.thTags,タグ,タグ,string,0
crm.email.ds.thType,タイプ,タイプ,string,0
crm.email.ds.triggerCondition,トリガー条件,トリガー条件,string,0
crm.email.ds.ugcDesc,コンテンツ活動・クリック・クーポン・契約・権利/ホワイトリスト標準スキーマ,コンテンツ活動・クリック・クーポン・契約・権利/ホワイトリスト標準スキーマ,string,0
crm.email.ds.ugcInfluencer,UGC/インフルエンサー,UGC/インフルエンサー,string,0
crm.email.dt.auditDesc,連携設定の変更とシステムイベントの記録を追跡します,連携設定の変更とシステムイベントの記録を追跡します,string,0
crm.email.dt.auditEmpty,監査ログなし,監査ログなし,string,0
crm.email.dt.auditEmptyDesc,連携設定を変更するとここに記録されます,連携設定を変更するとここに記録されます,string,0
crm.email.dt.auditEntries,件の記録,件の記録,string,0
crm.email.dt.auditTitle,データ監査ログ,データ監査ログ,string,0
crm.email.dt.cancel,キャンセル,キャンセル,string,0
crm.email.dt.connectTest,接続テスト,接続テスト,string,0
crm.email.dt.fillAllFields,すべてのフィールドを入力してください,すべてのフィールドを入力してください,string,0
crm.email.dt.goToIntegrationHub,連携ハブへ移動,連携ハブへ移動,string,0
crm.email.dt.googleDesc,GA4 Enhanced Ecommerce + Google Ads コンバージョントラッキング,GA4 Enhanced Ecommerce + Google Ads コンバージョントラッキング,string,0
crm.email.dt.googleStep1,Google Analytics → 管理 → データストリーム → 測定IDをコピー,Google Analytics → 管理 → データストリーム → 測定IDをコピー,string,0
crm.email.dt.googleStep2,Google Ads → ツール → コンバージョン → タグ設定 → コンバージョンIDをコピー,Google Ads → ツール → コンバージョン → タグ設定 → コンバージョンIDをコピー,string,0
crm.email.dt.googleStep3,下の入力欄にIDを入力,下の入力欄にIDを入力,string,0
crm.email.dt.heroDesc,API キーを登録し接続状態を管理します。,API キーを登録し接続状態を管理します。,string,0
crm.email.dt.historyCurrentScore,現在のスコア,現在のスコア,string,0
crm.email.dt.historyDataPoints,データポイント,データポイント,string,0
crm.email.dt.historyDesc,時間の経過に伴うデータ信頼度スコアの変化を追跡します,時間の経過に伴うデータ信頼度スコアの変化を追跡します,string,0
crm.email.dt.historyPeakScore,最高スコア,最高スコア,string,0
crm.email.dt.historyTitle,信頼度スコア推移,信頼度スコア推移,string,0
crm.email.dt.improveStep1,Meta Pixel + CAPI連携でコンバージョンデータを実測値に変換,Meta Pixel + CAPI連携でコンバージョンデータを実測値に変換,string,0
crm.email.dt.improveStep2,Google Analytics 4連携でサイトトラフィックの実測分析を開始,Google Analytics 4連携でサイトトラフィックの実測分析を開始,string,0
crm.email.dt.improveStep3,チャネルAPIキー登録で注文・在庫データをリアルタイム収集,チャネルAPIキー登録で注文・在庫データをリアルタイム収集,string,0
crm.email.dt.improveTitle,データ信頼度の向上方法,データ信頼度の向上方法,string,0
crm.email.dt.integrated,連携済み,連携済み,string,0
crm.email.dt.kakaoDesc,Kakaoモーメント広告コンバージョン＆Kakaoチャネル分析,Kakaoモーメント広告コンバージョン＆Kakaoチャネル分析,string,0
crm.email.dt.kakaoStep1,Kakaoビジネス → Pixel&SDK → ピクセル作成 → Track IDコピー,Kakaoビジネス → Pixel&SDK → ピクセル作成 → Track IDコピー,string,0
crm.email.dt.kakaoStep2,下にTrack IDを入力,下にTrack IDを入力,string,0
crm.email.dt.lineageDashboard,ダッシュボード,ダッシュボード,string,0
crm.email.dt.lineageDesc,データの収集元から加工を経て最終出力までのフローを可視化します,データの収集元から加工を経て最終出力までのフローを可視化します,string,0
crm.email.dt.lineageEstSources,推定ソース,推定ソース,string,0
crm.email.dt.lineageNoneSources,未連携ソース,未連携ソース,string,0
crm.email.dt.lineageRealSources,リアルタイムソース,リアルタイムソース,string,0
