keypath,ko_value,ko_class,en_value,en_class,ja_value,ja_class,zh_value,zh_class,zh-TW_value,zh-TW_class,es_value,es_class,fr_value,fr_class,de_value,de_class,pt_value,pt_class,ru_value,ru_class,ar_value,ar_class,hi_value,hi_class,id_value,id_class,th_value,th_class,vi_value,vi_class,n_placeholder,action
pages.marketingIntel.attrData.noTimeSeriesData,연동 채널에서 시계열 데이터가 수집되면 자동으로 분석이 시작됩니다. 연동 허브에서 채널을 연결해주세요.,PASS,Analysis will start automatically once time-series data is collected from connected channels. Please connect channels via Integration Hub.,PASS,連携チャネルから時系列データが収集されると自動的に分析が開始されます。連携ハブでチャネルを接続してください。,PASS,当连接的渠道收集到时序数据后，分析将自动开始。请在集成中心连接渠道。,PASS,連接的頻道收集到時序資料後，分析將自動開始。請在整合中心連接頻道。,PASS,Analysis will start automatically once time-series data is collected from connected channels. Please connect channels via Integration Hub.,PASS,Analysis will start automatically once time-series data is collected from connected channels. Please connect channels via Integration Hub.,PASS,"Die Analyse beginnt automatisch, sobald Zeitreihendaten von verbundenen Kanälen gesammelt werden. Bitte verbinden Sie Kanäle im Integrations-Hub.",PASS,Analysis will start automatically once time-series data is collected from connected channels. Please connect channels via Integration Hub.,PASS,Analysis will start automatically once time-series data is collected from connected channels. Please connect channels via Integration Hub.,PASS,Analysis will start automatically once time-series data is collected from connected channels. Please connect channels via Integration Hub.,PASS,Analysis will start automatically once time-series data is collected from connected channels. Please connect channels via Integration Hub.,PASS,Analisis akan dimulai otomatis setelah data time series dikumpulkan. Silakan hubungkan saluran di Hub Integrasi.,PASS,การวิเคราะห์จะเริ่มอัตโนมัติเมื่อเก็บข้อมูลอนุกรมเวลาจากช่องทางที่เชื่อมต่อ กรุณาเชื่อมต่อช่องทางที่ศูนย์การเชื่อมต่อ,PASS,Phân tích sẽ tự động bắt đầu khi thu thập dữ liệu từ các kênh đã kết nối. Vui lòng kết nối kênh tại Hub Tích hợp.,PASS,0,skip
pages.marketingIntel.attrData.normal,,MISSING,Normal,P4,普通,PASS,一般,PASS,一般,PASS,Normal,P4,Normal,P4,Normal,P4,Normal,P4,Normal,P4,Normal,P4,Normal,P4,Normal,P4,ปกติ,PASS,Bình thường,PASS,9,translate
pages.marketingIntel.attrData.northbeam,,MISSING,Northbeam Standard,PASS,Northbeam標準,PASS,Northbeam标准,PASS,Northbeam標準,PASS,Northbeam Standard,PASS,Northbeam Standard,PASS,Northbeam Standard,PASS,Northbeam Standard,PASS,Northbeam Standard,PASS,Northbeam Standard,PASS,Northbeam Standard,PASS,Standar Northbeam,PASS,มาตรฐาน Northbeam,PASS,Tiêu chuẩn Northbeam,PASS,0,skip
pages.marketingIntel.attrData.position,포지션 기반,PASS,Position-based,PASS,ポジションベース,PASS,位置加权,PASS,位置加權,PASS,Position-based,PASS,Position-based,PASS,Positionsbasiert,PASS,Position-based,PASS,Position-based,PASS,Position-based,PASS,Position-based,PASS,Berbasis Posisi,PASS,ตามตำแหน่ง,PASS,Dựa trên vị trí,PASS,0,skip
pages.marketingIntel.attrData.radarCompare,🕸️ 채널 기여도 레이더 비교,PASS,🕸️ Channel Attribution Radar Comparison,PASS,🕸️ チャネル貢献度レーダー比較,PASS,🕸️ 渠道贡献度雷达比较,PASS,🕸️ 頻道貢獻度雷達比較,PASS,🕸️ Channel Attribution Radar Comparison,PASS,🕸️ Channel Attribution Radar Comparison,PASS,🕸️ Kanal-Radar-Vergleich,PASS,🕸️ Channel Attribution Radar Comparison,PASS,🕸️ Channel Attribution Radar Comparison,PASS,🕸️ Channel Attribution Radar Comparison,PASS,🕸️ Channel Attribution Radar Comparison,PASS,🕸️ Perbandingan Radar Kontribusi,PASS,🕸️ เปรียบเทียบเรดาร์,PASS,🕸️ So sánh radar đóng góp kênh,PASS,0,skip
pages.marketingIntel.attrData.realtimeSync,실시간 동기화 ✓,PASS,Real-time Sync ✓,PASS,リアルタイム同期 ✓,PASS,实时同步 ✓,PASS,即時同步 ✓,PASS,Real-time Sync ✓,PASS,Real-time Sync ✓,PASS,Echtzeit-Synchronisation ✓,PASS,Real-time Sync ✓,PASS,Real-time Sync ✓,PASS,Real-time Sync ✓,PASS,Real-time Sync ✓,PASS,Sinkronisasi Real-time ✓,PASS,ซิงค์เรียลไทม์ ✓,PASS,Đồng bộ thời gian thực ✓,PASS,0,skip
pages.marketingIntel.attrData.review,,MISSING,↓ Review for reduction,PASS,↓ 減額検討,PASS,↓ 建议减少,PASS,↓ 建議減少,PASS,↓ Review for reduction,PASS,↓ Review for reduction,PASS,↓ Reduzierung prüfen,PASS,↓ Review for reduction,PASS,↓ Review for reduction,PASS,↓ Review for reduction,PASS,↓ Review for reduction,PASS,↓ Tinjau untuk dikurangi,PASS,↓ พิจารณาลด,PASS,↓ Xem xét giảm,PASS,0,skip
pages.marketingIntel.attrData.roasSurge,,MISSING,ROAS Surge,PASS,ROAS急上昇,PASS,ROAS急升,PASS,ROAS急升,PASS,ROAS Surge,PASS,ROAS Surge,PASS,ROAS-Anstieg,PASS,ROAS Surge,PASS,ROAS Surge,PASS,ROAS Surge,PASS,ROAS Surge,PASS,ROAS melonjak,PASS,ROAS พุ่ง,PASS,ROAS tăng vọt,PASS,0,skip
pages.marketingIntel.attrData.saturation,,MISSING,Saturated,PASS,飽和,PASS,饱和,PASS,飽和,PASS,Saturated,PASS,Saturated,PASS,Gesättigt,PASS,Saturated,PASS,Saturated,PASS,Saturated,PASS,Saturated,PASS,Jenuh,PASS,อิ่มตัว,PASS,Bão hòa,PASS,0,skip
pages.marketingIntel.attrData.saturationWarning,,MISSING,⚠ Saturation {{sat}}% — Diminishing marginal returns,PASS,⚠ 飽和度{{sat}}% — 追加投資効用低下,PASS,⚠ 饱和度{{sat}}% — 边际效益递减,PASS,⚠ 飽和度{{sat}}% — 邊際效益遞減,PASS,⚠ Saturation {{sat}}% — Diminishing marginal returns,PASS,⚠ Saturation {{sat}}% — Diminishing marginal returns,PASS,⚠ Sättigung {{sat}}% — Abnehmender Grenznutzen,PASS,⚠ Saturation {{sat}}% — Diminishing marginal returns,PASS,⚠ Saturation {{sat}}% — Diminishing marginal returns,PASS,⚠ Saturation {{sat}}% — Diminishing marginal returns,PASS,⚠ Saturation {{sat}}% — Diminishing marginal returns,PASS,⚠ Saturasi {{sat}}% — Diminishing returns,PASS,⚠ ความอิ่มตัว {{sat}}% — ผลตอบแทนส่วนเพิ่มลดลง,PASS,⚠ Bão hòa {{sat}}% — Hiệu quả biên giảm,PASS,0,skip
pages.marketingIntel.attrData.shapleyBudgetRec,💡 Shapley 기반 예산 추천,PASS,💡 Shapley-based Budget Recommendation,PASS,💡 Shapleyベース予算推奨,PASS,💡 Shapley预算建议,PASS,💡 Shapley預算建議,PASS,💡 Shapley-based Budget Recommendation,PASS,💡 Shapley-based Budget Recommendation,PASS,💡 Shapley-Budgetempfehlung,PASS,💡 Shapley-based Budget Recommendation,PASS,💡 Shapley-based Budget Recommendation,PASS,💡 Shapley-based Budget Recommendation,PASS,💡 Shapley-based Budget Recommendation,PASS,💡 Rekomendasi Anggaran Shapley,PASS,💡 คำแนะนำงบประมาณ Shapley,PASS,💡 Đề xuất ngân sách Shapley,PASS,0,skip
pages.marketingIntel.attrData.shapleyInProgress,2^n 정밀 Shapley 기여도 계산 중…,PASS,Computing 2^n Exact Shapley attribution values…,PASS,2^n精密Shapley貢献度を計算中…,PASS,正在计算2^n精确Shapley贡献度…,PASS,正在計算2^n精確Shapley貢獻度…,PASS,Computing 2^n Exact Shapley attribution values…,PASS,Computing 2^n Exact Shapley attribution values…,PASS,Berechne 2^n Shapley-Beiträge…,PASS,Computing 2^n Exact Shapley attribution values…,PASS,Computing 2^n Exact Shapley attribution values…,PASS,Computing 2^n Exact Shapley attribution values…,PASS,Computing 2^n Exact Shapley attribution values…,PASS,Menghitung Shapley 2^n…,PASS,กำลังคำนวณ 2^n Shapley…,PASS,Đang tính toán Shapley 2^n…,PASS,0,skip
pages.marketingIntel.attrData.shapleyTitle,🎯 채널별 Exact Shapley 기여도,PASS,🎯 Exact Shapley Attribution by Channel,PASS,🎯 チャネル別Exact Shapley貢献度,PASS,🎯 各渠道Exact Shapley贡献度,PASS,🎯 各頻道Exact Shapley貢獻度,PASS,🎯 Exact Shapley Attribution by Channel,PASS,🎯 Exact Shapley Attribution by Channel,PASS,🎯 Exakte Shapley-Beiträge pro Kanal,PASS,🎯 Exact Shapley Attribution by Channel,PASS,🎯 Exact Shapley Attribution by Channel,PASS,🎯 Exact Shapley Attribution by Channel,PASS,🎯 Exact Shapley Attribution by Channel,PASS,🎯 Kontribusi Exact Shapley per Saluran,PASS,🎯 ส่วนร่วม Exact Shapley ตามช่องทาง,PASS,🎯 Đóng góp Exact Shapley theo kênh,PASS,0,skip
pages.marketingIntel.attrData.sizeHdr,,MISSING,Size,PASS,規模,PASS,规模,PASS,規模,PASS,Size,PASS,Size,PASS,Größe,PASS,Size,PASS,Size,PASS,Size,PASS,Size,PASS,Ukuran,PASS,ขนาด,PASS,Quy mô,PASS,0,skip
pages.marketingIntel.attrData.statusAlert,,MISSING,🟠 Alert,PASS,🟠 注意,PASS,🟠 警告,PASS,🟠 警告,PASS,🟠 Alert,PASS,🟠 Alert,PASS,🟠 Warnung,PASS,🟠 Alert,PASS,🟠 Alert,PASS,🟠 Alert,PASS,🟠 Alert,PASS,🟠 Peringatan,PASS,🟠 แจ้งเตือน,PASS,🟠 Cảnh báo,PASS,0,skip
pages.marketingIntel.attrData.statusCrit,,MISSING,🔴 Critical,PASS,🔴 危険,PASS,🔴 危险,PASS,🔴 危險,PASS,🔴 Critical,PASS,🔴 Critical,PASS,🔴 Kritisch,PASS,🔴 Critical,PASS,🔴 Critical,PASS,🔴 Critical,PASS,🔴 Critical,PASS,🔴 Kritis,PASS,🔴 วิกฤต,PASS,🔴 Nguy hiểm,PASS,0,skip
pages.marketingIntel.attrData.statusInfo,,MISSING,🔵 Info,PASS,🔵 情報,PASS,🔵 信息,PASS,🔵 資訊,PASS,🔵 Info,PASS,🔵 Info,PASS,🔵 Info,PASS,🔵 Info,PASS,🔵 Info,PASS,🔵 Info,PASS,🔵 Info,PASS,🔵 Info,PASS,🔵 ข้อมูล,PASS,🔵 Thông tin,PASS,0,skip
pages.marketingIntel.attrData.statusOk,,MISSING,🟢 Normal,PASS,🟢 正常,PASS,🟢 正常,PASS,🟢 正常,PASS,🟢 Normal,PASS,🟢 Normal,PASS,🟢 Normal,PASS,🟢 Normal,PASS,🟢 Normal,PASS,🟢 Normal,PASS,🟢 Normal,PASS,🟢 Normal,PASS,🟢 ปกติ,PASS,🟢 Bình thường,PASS,0,skip
pages.marketingIntel.attrData.statusWarn,,MISSING,🟡 Warning,PASS,🟡 警告,PASS,🟡 提醒,PASS,🟡 提醒,PASS,🟡 Warning,PASS,🟡 Warning,PASS,🟡 Hinweis,PASS,🟡 Warning,PASS,🟡 Warning,PASS,🟡 Warning,PASS,🟡 Warning,PASS,🟡 Waspada,PASS,🟡 เตือน,PASS,🟡 Chú ý,PASS,0,skip
pages.marketingIntel.attrData.subtitle,정밀 Shapley(2^n) · 베이지안 MMM · 마르코프 체인 · 인크리멘털 업리프트 · 톰슨 A/B,PASS,Exact Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Double ML) · Thompson Sampling A/B,PASS,正確Shapley (2^n) · ベイジアンMMM · マルコフ連鎖 · インクリメンタルアップリフト · トンプソンA/B,PASS,精确Shapley (2^n) · 贝叶斯MMM · 马尔可夫链 · 增量提升(双重ML) · 汤普森采样A/B,PASS,精確Shapley (2^n) · 貝葉斯MMM · 馬爾可夫鏈 · 增量提升(雙重ML) · 湯普森採樣A/B,PASS,Shapley exacto (2^n) · MMM Bayesiano · Cadena de Markov · Uplift incremental · Muestreo Thompson A/B,PASS,Shapley exact (2^n) · MMM bayésien · Chaîne de Markov · Uplift incrémental · Échantillonnage Thompson A/B,PASS,Exakter Shapley (2^n) · Bayesian MMM · Markov-Kette · Inkrementeller Uplift (Double ML) · Thompson Sampling A/B,PASS,Exact Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Double ML) · Thompson Sampling A/B,PASS,Exact Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Double ML) · Thompson Sampling A/B,PASS,Exact Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Double ML) · Thompson Sampling A/B,PASS,Exact Shapley (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Double ML) · Thompson Sampling A/B,PASS,Shapley Akurat (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Double ML) · Thompson Sampling A/B,PASS,Shapley แม่นยำ (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Double ML) · Thompson Sampling A/B,PASS,Shapley chính xác (2^n) · Bayesian MMM · Markov Chain · Incremental Uplift (Double ML) · Thompson Sampling A/B,PASS,0,skip
pages.marketingIntel.attrData.tabAbDesc,톰슨 샘플링,PASS,Thompson Sampling,PASS,トンプソンサンプリング,PASS,汤普森采样,PASS,湯普森採樣,PASS,Thompson Sampling,PASS,Thompson Sampling,PASS,Thompson Sampling,PASS,Thompson Sampling,PASS,Thompson Sampling,PASS,Thompson Sampling,PASS,Thompson Sampling,PASS,Thompson Sampling,PASS,Thompson Sampling,PASS,Thompson Sampling,PASS,0,skip
pages.marketingIntel.attrData.tabAbLabel,베이지안 A/B,PASS,Bayesian A/B,PASS,ベイジアンA/B,PASS,贝叶斯A/B,PASS,貝葉斯A/B,PASS,Bayesian A/B,PASS,Bayesian A/B,PASS,Bayesian A/B,PASS,Bayesian A/B,PASS,Bayesian A/B,PASS,Bayesian A/B,PASS,Bayesian A/B,PASS,Bayesian A/B,PASS,Bayesian A/B,PASS,Bayesian A/B,PASS,0,skip
pages.marketingIntel.attrData.tabAnomalyDesc,Z 점수 모니터링,PASS,Z-score monitoring,PASS,Zスコア監視,PASS,Z-score监控,PASS,Z-score監控,PASS,Z-score monitoring,PASS,Z-score monitoring,PASS,Z-Score-Überwachung,PASS,Z-score monitoring,PASS,Z-score monitoring,PASS,Z-score monitoring,PASS,Z-score monitoring,PASS,Pemantauan Z-score,PASS,การตรวจสอบ Z-score,PASS,Giám sát Z-score,PASS,0,skip
pages.marketingIntel.attrData.tabAnomalyLabel,,MISSING,Anomaly Detection,PASS,異常検知,PASS,异常检测,PASS,異常偵測,PASS,Anomaly Detection,PASS,Anomaly Detection,PASS,Anomalieerkennung,PASS,Anomaly Detection,PASS,Anomaly Detection,PASS,Anomaly Detection,PASS,Anomaly Detection,PASS,Deteksi Anomali,PASS,ตรวจจับความผิดปกติ,PASS,Phát hiện bất thường,PASS,0,skip
pages.marketingIntel.attrData.tabCohortDesc,주별 리텐션,PASS,Weekly retention,PASS,週次リテンション,PASS,周留存率,PASS,週留存率,PASS,Weekly retention,PASS,Weekly retention,PASS,Wöchentliche Retention,PASS,Weekly retention,PASS,Weekly retention,PASS,Weekly retention,PASS,Weekly retention,PASS,Retensi mingguan,PASS,อัตราการรักษา,PASS,Tỷ lệ giữ chân,PASS,0,skip
pages.marketingIntel.attrData.tabCohortLabel,코호트 분석,PASS,Cohort Analysis,PASS,コホート分析,PASS,队列分析,PASS,同期群分析,PASS,Cohort Analysis,PASS,Cohort Analysis,PASS,Kohortenanalyse,PASS,Cohort Analysis,PASS,Cohort Analysis,PASS,Cohort Analysis,PASS,Cohort Analysis,PASS,Analisis Kohort,PASS,การวิเคราะห์กลุ่ม,PASS,Phân tích nhóm,PASS,0,skip
pages.marketingIntel.attrData.tabCompareDesc,,MISSING,A-Score reliability,PASS,A-Score信頼度,PASS,A-Score可信度,PASS,A-Score可信度,PASS,A-Score reliability,PASS,A-Score reliability,PASS,A-Score Zuverlässigkeit,PASS,A-Score reliability,PASS,A-Score reliability,PASS,A-Score reliability,PASS,A-Score reliability,PASS,Reliabilitas A-Score,PASS,ความน่าเชื่อถือ A-Score,PASS,Độ tin cậy A-Score,PASS,0,skip
pages.marketingIntel.attrData.tabCompareLabel,모델 비교,PASS,Model Compare,PASS,モデル比較,PASS,模型比较,PASS,模型比較,PASS,Model Compare,PASS,Model Compare,PASS,Modellvergleich,PASS,Model Compare,PASS,Model Compare,PASS,Model Compare,PASS,Model Compare,PASS,Perbandingan Model,PASS,เปรียบเทียบโมเดล,PASS,So sánh mô hình,PASS,0,skip
pages.marketingIntel.attrData.tabGuideDesc,사용법,PASS,How to use,PASS,使い方,PASS,使用方法,PASS,使用方法,PASS,How to use,PASS,How to use,PASS,Anleitung,PASS,How to use,PASS,How to use,PASS,How to use,PASS,How to use,PASS,Cara penggunaan,PASS,วิธีใช้,PASS,Cách sử dụng,PASS,0,skip
pages.marketingIntel.attrData.tabGuideLabel,이용 가이드,PASS,User Guide,PASS,利用ガイド,PASS,使用指南,PASS,使用指南,PASS,User Guide,PASS,User Guide,PASS,Benutzerhandbuch,PASS,User Guide,PASS,User Guide,PASS,User Guide,PASS,User Guide,PASS,Panduan,PASS,คู่มือใช้งาน,PASS,Hướng dẫn,PASS,0,skip
pages.marketingIntel.attrData.tabLtvDesc,채널 효율,PASS,Channel efficiency,PASS,チャネル効率,PASS,渠道投资效率,PASS,頻道投資效率,PASS,Channel efficiency,PASS,Channel efficiency,PASS,Kanaleffizienz,PASS,Channel efficiency,PASS,Channel efficiency,PASS,Channel efficiency,PASS,Channel efficiency,PASS,Efisiensi saluran,PASS,ประสิทธิภาพช่องทาง,PASS,Hiệu quả kênh,PASS,0,skip
pages.marketingIntel.attrData.tabLtvLabel,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,LTV vs CAC,PASS,0,skip
pages.marketingIntel.attrData.tabMarkovDesc,제거 효과 + 더블 ML,PASS,Removal+Double ML,PASS,除去効果+ダブルML,PASS,移除效果+双重ML,PASS,移除效果+雙重ML,PASS,Removal+Double ML,PASS,Removal+Double ML,PASS,Entfernung+Double ML,PASS,Removal+Double ML,PASS,Removal+Double ML,PASS,Removal+Double ML,PASS,Removal+Double ML,PASS,Removal+Double ML,PASS,ผลการลบ+Double ML,PASS,Loại bỏ+Double ML,PASS,0,skip
pages.marketingIntel.attrData.tabMarkovLabel,마르코프 + 업리프트,PASS,Markov+Uplift,PASS,マルコフ+アップリフト,PASS,马尔可夫+增量,PASS,馬爾可夫+增量,PASS,Markov+Uplift,PASS,Markov+Uplift,PASS,Markov+Uplift,PASS,Markov+Uplift,PASS,Markov+Uplift,PASS,Markov+Uplift,PASS,Markov+Uplift,PASS,Markov+Uplift,PASS,Markov+Uplift,PASS,Markov+Uplift,PASS,0,skip
pages.marketingIntel.attrData.tabMmmDesc,,MISSING,Regression+Adstock+Saturation,PASS,回帰+残留効果+飽和,PASS,回归+广告残留+饱和,PASS,迴歸+廣告殘留+飽和,PASS,Regression+Adstock+Saturation,PASS,Regression+Adstock+Saturation,PASS,Regression+Adstock+Sättigung,PASS,Regression+Adstock+Saturation,PASS,Regression+Adstock+Saturation,PASS,Regression+Adstock+Saturation,PASS,Regression+Adstock+Saturation,PASS,Regresi+Adstock+Saturasi,PASS,การถดถอย+ผลกระทบ+ความอิ่มตัว,PASS,Hồi quy+Tồn dư+Bão hòa,PASS,0,skip
pages.marketingIntel.attrData.tabMmmLabel,베이지안 MMM,PASS,Bayesian MMM,PASS,ベイジアンMMM,PASS,贝叶斯MMM,PASS,貝葉斯MMM,PASS,Bayesian MMM,PASS,Bayesian MMM,PASS,Bayesian MMM,PASS,Bayesian MMM,PASS,Bayesian MMM,PASS,Bayesian MMM,PASS,Bayesian MMM,PASS,Bayesian MMM,PASS,Bayesian MMM,PASS,Bayesian MMM,PASS,0,skip
pages.marketingIntel.attrData.tabMtaDesc,5개 모델,PASS,5 models,PASS,5つのモデル,PASS,5种模型,PASS,5種模型,PASS,5 models,PASS,5 models,PASS,5 Modelle,PASS,5 models,PASS,5 models,PASS,5 models,PASS,5 models,PASS,5 model,PASS,5 โมเดล,PASS,5 mô hình,PASS,0,skip
pages.marketingIntel.attrData.tabMtaLabel,멀티터치 MTA,PASS,Multi-Touch MTA,PASS,マルチタッチMTA,PASS,多触点MTA,PASS,多觸點MTA,PASS,Multi-Touch MTA,PASS,Multi-Touch MTA,PASS,Multi-Touch MTA,PASS,Multi-Touch MTA,PASS,Multi-Touch MTA,PASS,Multi-Touch MTA,PASS,Multi-Touch MTA,PASS,Multi-Touch MTA,PASS,Multi-Touch MTA,PASS,Multi-Touch MTA,PASS,0,skip
pages.marketingIntel.attrData.tabShapleyDesc,,MISSING,2^n calculation,PASS,2^n精密計算,PASS,2^n精确计算,PASS,2^n精確計算,PASS,2^n calculation,PASS,2^n calculation,PASS,2^n Berechnung,PASS,2^n calculation,PASS,2^n calculation,PASS,2^n calculation,PASS,2^n calculation,PASS,Perhitungan 2^n,PASS,การคำนวณ 2^n,PASS,Tính toán 2^n,PASS,0,skip
pages.marketingIntel.attrData.tabShapleyLabel,,MISSING,Exact Shapley,PASS,正確Shapley,PASS,精确Shapley,PASS,精確Shapley,PASS,Exact Shapley,PASS,Exact Shapley,PASS,Exakter Shapley,PASS,Exact Shapley,PASS,Exact Shapley,PASS,Exact Shapley,PASS,Exact Shapley,PASS,Shapley Akurat,PASS,Shapley แม่นยำ,PASS,Shapley chính xác,PASS,0,skip
pages.marketingIntel.attrData.thompsonInProgress,"톰슨 샘플링(5,000회) 실행 중…",PASS,"Running Thompson Sampling (5,000 iterations)…",PASS,"トンプソンサンプリング(5,000回)実行中…",PASS,"汤普森采样(5,000次)模拟执行中…",PASS,"湯普森採樣(5,000次)模擬執行中…",PASS,"Running Thompson Sampling (5,000 iterations)…",PASS,"Running Thompson Sampling (5,000 iterations)…",PASS,Führe Thompson Sampling (5.000 Iterationen) aus…,PASS,"Running Thompson Sampling (5,000 iterations)…",PASS,"Running Thompson Sampling (5,000 iterations)…",PASS,"Running Thompson Sampling (5,000 iterations)…",PASS,"Running Thompson Sampling (5,000 iterations)…",PASS,Menjalankan Thompson Sampling (5.000 iterasi)…,PASS,"กำลังจำลอง Thompson Sampling (5,000 รอบ)…",PASS,"Đang chạy Thompson Sampling (5,000 lần)…",PASS,0,skip
pages.marketingIntel.attrData.timeDecay,타임 디케이,PASS,Time Decay,PASS,タイムディケイ,PASS,时间衰减,PASS,時間衰減,PASS,Time Decay,PASS,Time Decay,PASS,Zeitverfall,PASS,Time Decay,PASS,Time Decay,PASS,Time Decay,PASS,Time Decay,PASS,Peluruhan Waktu,PASS,การเสื่อมตามเวลา,PASS,Suy giảm thời gian,PASS,0,skip
pages.marketingIntel.attrData.timeSeries,52주 시계열 데이터,PASS,52-week time series data,PASS,52週時系列データ,PASS,52周时序数据,PASS,52週時序資料,PASS,52-week time series data,PASS,52-week time series data,PASS,52-Wochen-Zeitreihendaten,PASS,52-week time series data,PASS,52-week time series data,PASS,52-week time series data,PASS,52-week time series data,PASS,Data time series 52 minggu,PASS,ข้อมูลอนุกรมเวลา 52 สัปดาห์,PASS,Dữ liệu chuỗi thời gian 52 tuần,PASS,0,skip
pages.marketingIntel.attrData.title,마케팅 어트리뷰션 — 실시간 ML 엔진 v3.0,PASS,Marketing Attribution — Real-time ML Engine v3.0,PASS,マーケティングアトリビューション — リアルタイムMLエンジン v3.0,PASS,营销归因分析 — 实时ML引擎 v3.0,PASS,行銷歸因分析 — 即時ML引擎 v3.0,PASS,Atribución Marketing — Motor ML en tiempo real v3.0,PASS,Attribution Marketing — Moteur ML en temps réel v3.0,PASS,Marketing-Attribution — Echtzeit-ML-Engine v3.0,PASS,Marketing Attribution — Real-time ML Engine v3.0,PASS,Marketing Attribution — Real-time ML Engine v3.0,PASS,Marketing Attribution — Real-time ML Engine v3.0,PASS,Marketing Attribution — Real-time ML Engine v3.0,PASS,Atribusi Pemasaran — ML Engine Real-time v3.0,PASS,การวิเคราะห์การมีส่วนร่วมทางการตลาด — ML Engine เรียลไทม์ v3.0,PASS,Phân tích đóng góp Marketing — ML Engine thời gian thực v3.0,PASS,0,skip
pages.marketingIntel.attrData.topOne,#1,PASS,#1,PASS,#1,PASS,#1,PASS,#1,PASS,#1,PASS,#1,PASS,#1,PASS,#1,PASS,#1,PASS,#1,PASS,#1,PASS,#1,PASS,#1,PASS,#1,PASS,0,skip
pages.marketingIntel.attrData.topPaths,주요 전환 경로,PASS,Top Conversion Paths,PASS,主要コンバージョンパス,PASS,主要转化路径,PASS,主要轉化路徑,PASS,Top Conversion Paths,PASS,Top Conversion Paths,PASS,Top-Konversionspfade,PASS,Top Conversion Paths,PASS,Top Conversion Paths,PASS,Top Conversion Paths,PASS,Top Conversion Paths,PASS,Jalur Konversi Utama,PASS,เส้นทาง Conversion หลัก,PASS,Đường chuyển đổi chính,PASS,0,skip
pages.marketingIntel.attrData.totalCac,,MISSING,Total CAC Spend,PASS,総CAC支出,PASS,总CAC支出,PASS,總CAC支出,PASS,Total CAC Spend,PASS,Total CAC Spend,PASS,Gesamt-CAC,PASS,Total CAC Spend,PASS,Total CAC Spend,PASS,Total CAC Spend,PASS,Total CAC Spend,PASS,Total CAC,PASS,CAC รวม,PASS,Tổng CAC,PASS,0,skip
pages.marketingIntel.attrData.totalLtv,,MISSING,Total LTV,PASS,総LTV合計,PASS,总LTV,PASS,總LTV,PASS,Total LTV,PASS,Total LTV,PASS,Gesamt-LTV,PASS,Total LTV,PASS,Total LTV,PASS,Total LTV,PASS,Total LTV,PASS,Total LTV,PASS,LTV รวม,PASS,Tổng LTV,PASS,0,skip
pages.marketingIntel.attrData.totalStr,,MISSING,Total:,PASS,合計:,PASS,合计:,PASS,合計:,PASS,Total:,PASS,Total:,PASS,Gesamt:,PASS,Total:,PASS,Total:,PASS,Total:,PASS,Total:,PASS,Total:,PASS,รวม:,PASS,Tổng:,PASS,0,skip
pages.marketingIntel.attrData.upliftSub,로빈슨 편회귀로 순증분 효과를 산출,PASS,Calculates pure incremental effects using Robinson partial regression,PASS,ロビンソン偏回帰による純増分効果を算出,PASS,基于Robinson偏回归计算纯增量效果,PASS,基於Robinson偏迴歸計算純增量效果,PASS,Calculates pure incremental effects using Robinson partial regression,PASS,Calculates pure incremental effects using Robinson partial regression,PASS,Berechnet reine inkrementelle Effekte mit Robinson-Partialregression,PASS,Calculates pure incremental effects using Robinson partial regression,PASS,Calculates pure incremental effects using Robinson partial regression,PASS,Calculates pure incremental effects using Robinson partial regression,PASS,Calculates pure incremental effects using Robinson partial regression,PASS,Menghitung efek inkremental murni dengan Robinson partial regression,PASS,คำนวณผลกระทบเพิ่มขึ้นจริงด้วย Robinson Partial Regression,PASS,Tính hiệu ứng tăng trưởng thuần bằng Robinson partial regression,PASS,0,skip
pages.marketingIntel.attrData.upliftTitle,📐 증분 모델(더블 ML 업리프트),PASS,📐 Incremental Model (Double ML Uplift),PASS,📐 増分モデル (ダブルMLアップリフト),PASS,📐 增量模型(双重ML提升),PASS,📐 增量模型(雙重ML提升),PASS,📐 Incremental Model (Double ML Uplift),PASS,📐 Incremental Model (Double ML Uplift),PASS,📐 Inkrementelles Modell (Double ML Uplift),PASS,📐 Incremental Model (Double ML Uplift),PASS,📐 Incremental Model (Double ML Uplift),PASS,📐 Incremental Model (Double ML Uplift),PASS,📐 Incremental Model (Double ML Uplift),PASS,📐 Model Inkremental (Double ML Uplift),PASS,📐 โมเดลเพิ่มขึ้น (Double ML Uplift),PASS,📐 Mô hình tăng trưởng (Double ML Uplift),PASS,0,skip
