keypath,pattern,action,ko_pass,n_locales_pass,n_locales_placeholder,n_locales_missing,ko_value,ko_class,en_value,en_class,ja_value,ja_class,zh_value,zh_class,zh-TW_value,zh-TW_class,es_value,es_class,fr_value,fr_class,de_value,de_class,pt_value,pt_class,ru_value,ru_class,ar_value,ar_class,hi_value,hi_class,id_value,id_class,th_value,th_class,vi_value,vi_class
pages.marketingIntel.aiPredict.influencerUGC.txt_Budget최적화제_45,PAT_X,skip,0,14,0,1,,MISSING,Txt_ udget최적화제_45,PASS,Txt_ udget최적화제_45,PASS,Txt_ udget최적화제_45,PASS,Txt_ udget최적화제_45,PASS,Txt_ udget최적화제_45,PASS,Txt_ udget최적화제_45,PASS,Txt_ udget최적화제_45,PASS,Txt_ udget최적화제_45,PASS,Txt_ udget최적화제_45,PASS,Txt_ udget최적화제_45,PASS,Txt_ udget최적화제_45,PASS,Txt_ udget최적화제_45,PASS,Txt_ udget최적화제_45,PASS,Txt_ udget최적화제_45,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_CS대응_23,PAT_X,skip,0,14,0,1,,MISSING,Txt_  대응_23,PASS,Txt_  대응_23,PASS,Txt_  대응_23,PASS,Txt_  대응_23,PASS,Txt_  대응_23,PASS,Txt_  대응_23,PASS,Txt_  대응_23,PASS,Txt_  대응_23,PASS,Txt_  대응_23,PASS,Txt_  대응_23,PASS,Txt_  대응_23,PASS,Txt_  대응_23,PASS,Txt_  대응_23,PASS,Txt_  대응_23,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_Channelper_15,PAT_X,skip,1,15,0,0,채널별,PASS,Txt_ Channelper_15,PASS,Txt_ Channelper_15,PASS,Txt_ Channelper_15,PASS,Txt_ Channelper_15,PASS,Txt_ Channelper_15,PASS,Txt_ Channelper_15,PASS,Txt_ Channelper_15,PASS,Txt_ Channelper_15,PASS,Txt_ Channelper_15,PASS,Txt_ Channelper_15,PASS,Txt_ Channelper_15,PASS,Txt_ Channelper_15,PASS,Txt_ Channelper_15,PASS,Txt_ Channelper_15,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_ClaudeAI가C_35,PAT_X,skip,1,15,0,0,AI가 크리에이터 데이터를 분석 중입니다...,PASS,AI is analyzing Creator data...,PASS,AIがクリエイターデータを分析中です...,PASS,AI正在分析创作者数据...,PASS,AI正在分析创作者数据...,PASS,AI is analyzing Creator data...,PASS,AI is analyzing Creator data...,PASS,AI is analyzing Creator data...,PASS,AI is analyzing Creator data...,PASS,AI is analyzing Creator data...,PASS,AI is analyzing Creator data...,PASS,AI is analyzing Creator data...,PASS,AI is analyzing Creator data...,PASS,AI đang phân tích dữ liệu Creator...,PASS,AI is analyzing Creator data...,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_ClaudeSonn_33,PAT_X,skip,1,15,0,0,AI 기반 · ROI·전환율·참여도·커미션 추천·계약 갱신 제안 + 지역·연령·성별 분석,PASS,"AI-driven insights for ROI, conversion, engagement, and commission structuring · Geographic & demographic engagement clusters",PASS,AIモデル駆動 · ROI·コンバージョン·エンゲージメント·コミッション推奨·契約更新提案 + 地域·年齢·性別分析,PASS,AI模型驱动 · ROI·转化·参与·佣金推荐·合约续签建议 + 地区·年龄·性别参与贡献分析,PASS,AI模型驱动 · ROI·转化·参与·佣金推荐·合约续签建议 + 地区·年龄·性别参与贡献分析,PASS,"AI-driven insights for ROI, conversion, engagement, and commission structuring · Geographic & demographic engagement clusters",PASS,"AI-driven insights for ROI, conversion, engagement, and commission structuring · Geographic & demographic engagement clusters",PASS,"AI-driven insights for ROI, conversion, engagement, and commission structuring · Geographic & demographic engagement clusters",PASS,"AI-driven insights for ROI, conversion, engagement, and commission structuring · Geographic & demographic engagement clusters",PASS,"AI-driven insights for ROI, conversion, engagement, and commission structuring · Geographic & demographic engagement clusters",PASS,"AI-driven insights for ROI, conversion, engagement, and commission structuring · Geographic & demographic engagement clusters",PASS,"AI-driven insights for ROI, conversion, engagement, and commission structuring · Geographic & demographic engagement clusters",PASS,"AI-driven insights for ROI, conversion, engagement, and commission structuring · Geographic & demographic engagement clusters",PASS,"AI-driven insights for ROI, conversion, engagement, and commission structuring · Geographic & demographic engagement clusters",PASS,"AI-driven insights for ROI, conversion, engagement, and commission structuring · Geographic & demographic engagement clusters",PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_CreatorAI평_39,PAT_X,skip,0,14,0,1,,MISSING,Txt_ reator  평_39,PASS,Txt_ reator  평_39,PASS,Txt_ reator  평_39,PASS,Txt_ reator  평_39,PASS,Txt_ reator  평_39,PASS,Txt_ reator  평_39,PASS,Txt_ reator  평_39,PASS,Txt_ reator  평_39,PASS,Txt_ reator  평_39,PASS,Txt_ reator  평_39,PASS,Txt_ reator  평_39,PASS,Txt_ reator  평_39,PASS,Txt_ reator  평_39,PASS,Txt_ reator  평_39,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_CreatorROI_11,PAT_X,skip,1,15,0,0,크리에이터 ROI,PASS,Txt_ Creator R O I_11,PASS,Txt_ Creator R O I_11,PASS,Txt_ Creator R O I_11,PASS,Txt_ Creator R O I_11,PASS,Txt_ Creator R O I_11,PASS,Txt_ Creator R O I_11,PASS,Txt_ Creator R O I_11,PASS,Txt_ Creator R O I_11,PASS,Txt_ Creator R O I_11,PASS,Txt_ Creator R O I_11,PASS,Txt_ Creator R O I_11,PASS,Txt_ Creator R O I_11,PASS,Txt_ Creator R O I_11,PASS,Txt_ Creator R O I_11,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_Difference_10,PAT_X,skip,1,15,0,0,차액,PASS,Txt_ Difference_10,PASS,Txt_ Difference_10,PASS,Txt_ Difference_10,PASS,Txt_ Difference_10,PASS,Txt_ Difference_10,PASS,Txt_ Difference_10,PASS,Txt_ Difference_10,PASS,Txt_ Difference_10,PASS,Txt_ Difference_10,PASS,Txt_ Difference_10,PASS,Txt_ Difference_10,PASS,Txt_ Difference_10,PASS,Txt_ Difference_10,PASS,Txt_ Difference_10,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_Engagement_12,PAT_X,skip,1,15,0,0,참여도,PASS,Txt_ Engagement_12,PASS,Txt_ Engagement_12,PASS,Txt_ Engagement_12,PASS,Txt_ Engagement_12,PASS,Txt_ Engagement_12,PASS,Txt_ Engagement_12,PASS,Txt_ Engagement_12,PASS,Txt_ Engagement_12,PASS,Txt_ Engagement_12,PASS,Txt_ Engagement_12,PASS,Txt_ Engagement_12,PASS,Txt_ Engagement_12,PASS,Txt_ Engagement_12,PASS,Txt_ Engagement_12,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_Percontrac_8,PAT_X,skip,1,15,0,0,계약당,PASS,Txt_ Percontrac_8,PASS,Txt_ Percontrac_8,PASS,Txt_ Percontrac_8,PASS,Txt_ Percontrac_8,PASS,Txt_ Percontrac_8,PASS,Txt_ Percontrac_8,PASS,Txt_ Percontrac_8,PASS,Txt_ Percontrac_8,PASS,Txt_ Percontrac_8,PASS,Txt_ Percontrac_8,PASS,Txt_ Percontrac_8,PASS,Txt_ Percontrac_8,PASS,Txt_ Percontrac_8,PASS,Txt_ Percontrac_8,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_ProductPag_14,PAT_X,skip,1,15,0,0,상품 페이지,PASS,Txt_ Product Pag_14,PASS,Txt_ Product Pag_14,PASS,Txt_ Product Pag_14,PASS,Txt_ Product Pag_14,PASS,Txt_ Product Pag_14,PASS,Txt_ Product Pag_14,PASS,Txt_ Product Pag_14,PASS,Txt_ Product Pag_14,PASS,Txt_ Product Pag_14,PASS,Txt_ Product Pag_14,PASS,Txt_ Product Pag_14,PASS,Txt_ Product Pag_14,PASS,Txt_ Product Pag_14,PASS,Txt_ Product Pag_14,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_SearchResultNo_24,PAT_X,skip,0,12,0,3,,MISSING,Txt_ Search Result No_24,PASS,,MISSING,,MISSING,Txt_ Search Result No_24,PASS,Txt_ Search Result No_24,PASS,Txt_ Search Result No_24,PASS,Txt_ Search Result No_24,PASS,Txt_ Search Result No_24,PASS,Txt_ Search Result No_24,PASS,Txt_ Search Result No_24,PASS,Txt_ Search Result No_24,PASS,Txt_ Search Result No_24,PASS,Txt_ Search Result No_24,PASS,Txt_ Search Result No_24,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_Search결과No_24,PAT_X,skip,0,14,0,1,,MISSING,Txt_ earch결과 o_24,PASS,Txt_ earch결과 o_24,PASS,Txt_ earch결과 o_24,PASS,Txt_ earch결과 o_24,PASS,Txt_ earch결과 o_24,PASS,Txt_ earch결과 o_24,PASS,Txt_ earch결과 o_24,PASS,Txt_ earch결과 o_24,PASS,Txt_ earch결과 o_24,PASS,Txt_ earch결과 o_24,PASS,Txt_ earch결과 o_24,PASS,Txt_ earch결과 o_24,PASS,Txt_ earch결과 o_24,PASS,Txt_ earch결과 o_24,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_WhitelistA_4,PAT_X,skip,1,15,0,0,화이트리스트 A,PASS,Txt_ Whitelist A_4,PASS,Txt_ Whitelist A_4,PASS,Txt_ Whitelist A_4,PASS,Txt_ Whitelist A_4,PASS,Txt_ Whitelist A_4,PASS,Txt_ Whitelist A_4,PASS,Txt_ Whitelist A_4,PASS,Txt_ Whitelist A_4,PASS,Txt_ Whitelist A_4,PASS,Txt_ Whitelist A_4,PASS,Txt_ Whitelist A_4,PASS,Txt_ Whitelist A_4,PASS,Txt_ Whitelist A_4,PASS,Txt_ Whitelist A_4,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_inprogress_21,PAT_X,skip,1,15,0,0,보통,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_강점_28,PAT_X,translate,0,0,14,1,,MISSING,Txt_강점_28,P4,Txt_강점_28,P4,Txt_강점_28,P4,Txt_강점_28,P4,Txt_강점_28,P4,Txt_강점_28,P4,Txt_강점_28,P4,Txt_강점_28,P4,Txt_강점_28,P4,Txt_강점_28,P4,Txt_강점_28,P4,Txt_강점_28,P4,Txt_강점_28,P4,Txt_강점_28,P4
pages.marketingIntel.aiPredict.influencerUGC.txt_개선포인트_29,PAT_X,translate,0,0,14,1,,MISSING,Txt_개선포인트_29,P4,Txt_개선포인트_29,P4,Txt_개선포인트_29,P4,Txt_개선포인트_29,P4,Txt_개선포인트_29,P4,Txt_개선포인트_29,P4,Txt_개선포인트_29,P4,Txt_개선포인트_29,P4,Txt_개선포인트_29,P4,Txt_개선포인트_29,P4,Txt_개선포인트_29,P4,Txt_개선포인트_29,P4,Txt_개선포인트_29,P4,Txt_개선포인트_29,P4
pages.marketingIntel.aiPredict.influencerUGC.txt_계약갱신Recommendations_42,PAT_D,skip,0,3,0,12,,MISSING,Txt_계약갱신 ecommendations_42,PASS,,MISSING,,MISSING,,MISSING,Txt_계약갱신 ecommendations_42,PASS,Txt_계약갱신 ecommendations_42,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING
pages.marketingIntel.aiPredict.influencerUGC.txt_계약갱신권고_42,PAT_X,translate,0,0,14,1,,MISSING,Txt_계약갱신권고_42,P4,Txt_계약갱신권고_42,P4,Txt_계약갱신권고_42,P4,Txt_계약갱신권고_42,P4,Txt_계약갱신권고_42,P4,Txt_계약갱신권고_42,P4,Txt_계약갱신권고_42,P4,Txt_계약갱신권고_42,P4,Txt_계약갱신권고_42,P4,Txt_계약갱신권고_42,P4,Txt_계약갱신권고_42,P4,Txt_계약갱신권고_42,P4,Txt_계약갱신권고_42,P4,Txt_계약갱신권고_42,P4
pages.marketingIntel.aiPredict.influencerUGC.txt_권장Commissi_43,PAT_X,skip,0,14,0,1,,MISSING,Txt_권장 ommissi_43,PASS,Txt_권장 ommissi_43,PASS,Txt_권장 ommissi_43,PASS,Txt_권장 ommissi_43,PASS,Txt_권장 ommissi_43,PASS,Txt_권장 ommissi_43,PASS,Txt_권장 ommissi_43,PASS,Txt_권장 ommissi_43,PASS,Txt_권장 ommissi_43,PASS,Txt_권장 ommissi_43,PASS,Txt_권장 ommissi_43,PASS,Txt_권장 ommissi_43,PASS,Txt_권장 ommissi_43,PASS,Txt_권장 ommissi_43,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_긍정Rate_53,PAT_X,skip,0,14,0,1,,MISSING,Txt_긍정 ate_53,PASS,Txt_긍정 ate_53,PASS,Txt_긍정 ate_53,PASS,Txt_긍정 ate_53,PASS,Txt_긍정 ate_53,PASS,Txt_긍정 ate_53,PASS,Txt_긍정 ate_53,PASS,Txt_긍정 ate_53,PASS,Txt_긍정 ate_53,PASS,Txt_긍정 ate_53,PASS,Txt_긍정 ate_53,PASS,Txt_긍정 ate_53,PASS,Txt_긍정 ate_53,PASS,Txt_긍정 ate_53,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_긍정_20,PAT_X,skip,1,15,0,0,긍정적,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_리뷰피드_18,PAT_X,translate,0,0,14,1,,MISSING,Txt_리뷰피드_18,P4,Txt_리뷰피드_18,P4,Txt_리뷰피드_18,P4,Txt_리뷰피드_18,P4,Txt_리뷰피드_18,P4,Txt_리뷰피드_18,P4,Txt_리뷰피드_18,P4,Txt_리뷰피드_18,P4,Txt_리뷰피드_18,P4,Txt_리뷰피드_18,P4,Txt_리뷰피드_18,P4,Txt_리뷰피드_18,P4,Txt_리뷰피드_18,P4,Txt_리뷰피드_18,P4
pages.marketingIntel.aiPredict.influencerUGC.txt_부정_22,PAT_X,skip,1,15,0,0,부정적,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_부정리뷰_51,PAT_X,translate,0,0,14,1,,MISSING,Txt_부정리뷰_51,P4,Txt_부정리뷰_51,P4,Txt_부정리뷰_51,P4,Txt_부정리뷰_51,P4,Txt_부정리뷰_51,P4,Txt_부정리뷰_51,P4,Txt_부정리뷰_51,P4,Txt_부정리뷰_51,P4,Txt_부정리뷰_51,P4,Txt_부정리뷰_51,P4,Txt_부정리뷰_51,P4,Txt_부정리뷰_51,P4,Txt_부정리뷰_51,P4,Txt_부정리뷰_51,P4
pages.marketingIntel.aiPredict.influencerUGC.txt_부정키워드Top5_16,PAT_X,skip,0,14,0,1,,MISSING,Txt_부정키워드 op5_16,PASS,Txt_부정키워드 op5_16,PASS,Txt_부정키워드 op5_16,PASS,Txt_부정키워드 op5_16,PASS,Txt_부정키워드 op5_16,PASS,Txt_부정키워드 op5_16,PASS,Txt_부정키워드 op5_16,PASS,Txt_부정키워드 op5_16,PASS,Txt_부정키워드 op5_16,PASS,Txt_부정키워드 op5_16,PASS,Txt_부정키워드 op5_16,PASS,Txt_부정키워드 op5_16,PASS,Txt_부정키워드 op5_16,PASS,Txt_부정키워드 op5_16,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_부정키워드급증10건_17,PAT_X,translate,0,0,14,1,,MISSING,Txt_부정키워드급증10건_17,P4,Txt_부정키워드급증10건_17,P4,Txt_부정키워드급증10건_17,P4,Txt_부정키워드급증10건_17,P4,Txt_부정키워드급증10건_17,P4,Txt_부정키워드급증10건_17,P4,Txt_부정키워드급증10건_17,P4,Txt_부정키워드급증10건_17,P4,Txt_부정키워드급증10건_17,P4,Txt_부정키워드급증10건_17,P4,Txt_부정키워드급증10건_17,P4,Txt_부정키워드급증10건_17,P4,Txt_부정키워드급증10건_17,P4,Txt_부정키워드급증10건_17,P4
pages.marketingIntel.aiPredict.influencerUGC.txt_실적_27,PAT_X,translate,0,0,14,1,,MISSING,Txt_실적_27,P4,Txt_실적_27,P4,Txt_실적_27,P4,Txt_실적_27,P4,Txt_실적_27,P4,Txt_실적_27,P4,Txt_실적_27,P4,Txt_실적_27,P4,Txt_실적_27,P4,Txt_실적_27,P4,Txt_실적_27,P4,Txt_실적_27,P4,Txt_실적_27,P4,Txt_실적_27,P4
pages.marketingIntel.aiPredict.influencerUGC.txt_전Channel가i_50,PAT_X,skip,0,14,0,1,,MISSING,Txt_전 hannel가i_50,PASS,Txt_전 hannel가i_50,PASS,Txt_전 hannel가i_50,PASS,Txt_전 hannel가i_50,PASS,Txt_전 hannel가i_50,PASS,Txt_전 hannel가i_50,PASS,Txt_전 hannel가i_50,PASS,Txt_전 hannel가i_50,PASS,Txt_전 hannel가i_50,PASS,Txt_전 hannel가i_50,PASS,Txt_전 hannel가i_50,PASS,Txt_전 hannel가i_50,PASS,Txt_전 hannel가i_50,PASS,Txt_전 hannel가i_50,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_전월31p_54,PAT_X,translate,0,0,14,1,,MISSING,Txt_전월31p_54,P4,Txt_전월31p_54,P4,Txt_전월31p_54,P4,Txt_전월31p_54,P4,Txt_전월31p_54,P4,Txt_전월31p_54,P4,Txt_전월31p_54,P4,Txt_전월31p_54,P4,Txt_전월31p_54,P4,Txt_전월31p_54,P4,Txt_전월31p_54,P4,Txt_전월31p_54,P4,Txt_전월31p_54,P4,Txt_전월31p_54,P4
pages.marketingIntel.aiPredict.influencerUGC.txt_즉시대응필요_52,PAT_X,translate,0,0,14,1,,MISSING,Txt_즉시대응필요_52,P4,Txt_즉시대응필요_52,P4,Txt_즉시대응필요_52,P4,Txt_즉시대응필요_52,P4,Txt_즉시대응필요_52,P4,Txt_즉시대응필요_52,P4,Txt_즉시대응필요_52,P4,Txt_즉시대응필요_52,P4,Txt_즉시대응필요_52,P4,Txt_즉시대응필요_52,P4,Txt_즉시대응필요_52,P4,Txt_즉시대응필요_52,P4,Txt_즉시대응필요_52,P4,Txt_즉시대응필요_52,P4
pages.marketingIntel.aiPredict.influencerUGC.txt_지역연령성per참여_31,PAT_X,translate,0,0,14,1,,MISSING,Txt_지역연령성per참여_31,P4,Txt_지역연령성per참여_31,P4,Txt_지역연령성per참여_31,P4,Txt_지역연령성per참여_31,P4,Txt_지역연령성per참여_31,P4,Txt_지역연령성per참여_31,P4,Txt_지역연령성per참여_31,P4,Txt_지역연령성per참여_31,P4,Txt_지역연령성per참여_31,P4,Txt_지역연령성per참여_31,P4,Txt_지역연령성per참여_31,P4,Txt_지역연령성per참여_31,P4,Txt_지역연령성per참여_31,P4,Txt_지역연령성per참여_31,P4
pages.marketingIntel.aiPredict.influencerUGC.txt_지역연령성per참여_34,PAT_X,translate,0,0,14,1,,MISSING,Txt_지역연령성per참여_34,P4,Txt_지역연령성per참여_34,P4,Txt_지역연령성per참여_34,P4,Txt_지역연령성per참여_34,P4,Txt_지역연령성per참여_34,P4,Txt_지역연령성per참여_34,P4,Txt_지역연령성per참여_34,P4,Txt_지역연령성per참여_34,P4,Txt_지역연령성per참여_34,P4,Txt_지역연령성per참여_34,P4,Txt_지역연령성per참여_34,P4,Txt_지역연령성per참여_34,P4,Txt_지역연령성per참여_34,P4,Txt_지역연령성per참여_34,P4
pages.marketingIntel.aiPredict.influencerUGC.txt_평가대상Creato_36,PAT_X,skip,0,14,0,1,,MISSING,Txt_평가대상 reato_36,PASS,Txt_평가대상 reato_36,PASS,Txt_평가대상 reato_36,PASS,Txt_평가대상 reato_36,PASS,Txt_평가대상 reato_36,PASS,Txt_평가대상 reato_36,PASS,Txt_평가대상 reato_36,PASS,Txt_평가대상 reato_36,PASS,Txt_평가대상 reato_36,PASS,Txt_평가대상 reato_36,PASS,Txt_평가대상 reato_36,PASS,Txt_평가대상 reato_36,PASS,Txt_평가대상 reato_36,PASS,Txt_평가대상 reato_36,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_평가항목per점Co_26,PAT_X,skip,0,14,0,1,,MISSING,Txt_평가항목per점 o_26,PASS,Txt_평가항목per점 o_26,PASS,Txt_평가항목per점 o_26,PASS,Txt_평가항목per점 o_26,PASS,Txt_평가항목per점 o_26,PASS,Txt_평가항목per점 o_26,PASS,Txt_평가항목per점 o_26,PASS,Txt_평가항목per점 o_26,PASS,Txt_평가항목per점 o_26,PASS,Txt_평가항목per점 o_26,PASS,Txt_평가항목per점 o_26,PASS,Txt_평가항목per점 o_26,PASS,Txt_평가항목per점 o_26,PASS,Txt_평가항목per점 o_26,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_포트폴리오전략인사이_44,PAT_X,translate,0,0,14,1,,MISSING,Txt_포트폴리오전략인사이_44,P4,Txt_포트폴리오전략인사이_44,P4,Txt_포트폴리오전략인사이_44,P4,Txt_포트폴리오전략인사이_44,P4,Txt_포트폴리오전략인사이_44,P4,Txt_포트폴리오전략인사이_44,P4,Txt_포트폴리오전략인사이_44,P4,Txt_포트폴리오전략인사이_44,P4,Txt_포트폴리오전략인사이_44,P4,Txt_포트폴리오전략인사이_44,P4,Txt_포트폴리오전략인사이_44,P4,Txt_포트폴리오전략인사이_44,P4,Txt_포트폴리오전략인사이_44,P4,Txt_포트폴리오전략인사이_44,P4
pages.marketingIntel.aiPredict.influencerUGC.txt_포트폴리오종합Ana_38,PAT_X,skip,0,14,0,1,,MISSING,Txt_포트폴리오종합 na_38,PASS,Txt_포트폴리오종합 na_38,PASS,Txt_포트폴리오종합 na_38,PASS,Txt_포트폴리오종합 na_38,PASS,Txt_포트폴리오종합 na_38,PASS,Txt_포트폴리오종합 na_38,PASS,Txt_포트폴리오종합 na_38,PASS,Txt_포트폴리오종합 na_38,PASS,Txt_포트폴리오종합 na_38,PASS,Txt_포트폴리오종합 na_38,PASS,Txt_포트폴리오종합 na_38,PASS,Txt_포트폴리오종합 na_38,PASS,Txt_포트폴리오종합 na_38,PASS,Txt_포트폴리오종합 na_38,PASS
pages.marketingIntel.aiPredict.influencerUGC.txt_행Clicks시항목_40,PAT_X,skip,0,14,0,1,,MISSING,Txt_행 licks시항목_40,PASS,Txt_행 licks시항목_40,PASS,Txt_행 licks시항목_40,PASS,Txt_행 licks시항목_40,PASS,Txt_행 licks시항목_40,PASS,Txt_행 licks시항목_40,PASS,Txt_행 licks시항목_40,PASS,Txt_행 licks시항목_40,PASS,Txt_행 licks시항목_40,PASS,Txt_행 licks시항목_40,PASS,Txt_행 licks시항목_40,PASS,Txt_행 licks시항목_40,PASS,Txt_행 licks시항목_40,PASS,Txt_행 licks시항목_40,PASS
pages.marketingIntel.aiPredict.influencerUGC.u_0,PAT_X,translate,0,0,15,0,U_0,P1,U_0,P1,U_0,P1,U_0,P1,U_0,P1,U_0,P1,U_0,P1,U_0,P1,U_0,P1,U_0,P1,U_0,P1,U_0,P1,U_0,P1,U_0,P1,U_0,P1
pages.marketingIntel.aiPredict.influencerUGC.u_1,PAT_X,translate,0,1,14,0,U_1,P1,U_1,P1,U_1,P1,U_1,P1,U_1,P1,U_1,P1,U_1,P1,U_1,P1,U_1,P1,U_1,P1,U_1,P1,U_1,P1,U_1,P1,U_1,P1,e-Sign ?湲?,PASS
pages.marketingIntel.aiPredict.influencerUGC.u_10,PAT_X,translate,0,0,15,0,U_10,P1,U_10,P1,U_10,P1,U_10,P1,U_10,P1,U_10,P1,U_10,P1,U_10,P1,U_10,P1,U_10,P1,U_10,P1,U_10,P1,U_10,P1,U_10,P1,U_10,P1
pages.marketingIntel.aiPredict.influencerUGC.u_100,PAT_X,skip,1,15,0,0,긍정적,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS,Positive,PASS
pages.marketingIntel.aiPredict.influencerUGC.u_101,PAT_X,skip,1,15,0,0,보통,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS,Neutral,PASS
pages.marketingIntel.aiPredict.influencerUGC.u_102,PAT_X,skip,1,15,0,0,부정적,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS,Negative,PASS,遺??,PASS
pages.marketingIntel.aiPredict.influencerUGC.u_103,PAT_X,skip,1,15,0,0,감성 분석,PASS,Sentiment,PASS,Sentiment,PASS,Sentiment,PASS,Sentiment,PASS,Sentiment,PASS,Sentiment,PASS,Sentiment,PASS,Sentiment,PASS,Sentiment,PASS,Sentiment,PASS,Sentiment,PASS,Sentiment,PASS,Sentiment,PASS,Sentiment,PASS
pages.marketingIntel.aiPredict.influencerUGC.u_104,PAT_X,translate,0,0,15,0,U_104,P1,U_104,P1,U_104,P1,U_104,P1,U_104,P1,U_104,P1,U_104,P1,U_104,P1,U_104,P1,U_104,P1,U_104,P1,U_104,P1,U_104,P1,U_104,P1,U_104,P1
pages.marketingIntel.aiPredict.influencerUGC.u_105,PAT_X,translate,0,0,15,0,U_105,P1,U_105,P1,U_105,P1,U_105,P1,U_105,P1,U_105,P1,U_105,P1,U_105,P1,U_105,P1,U_105,P1,U_105,P1,U_105,P1,U_105,P1,U_105,P1,U_105,P1
pages.marketingIntel.aiPredict.influencerUGC.u_106,PAT_X,translate,0,0,15,0,U_106,P1,U_106,P1,U_106,P1,U_106,P1,U_106,P1,U_106,P1,U_106,P1,U_106,P1,U_106,P1,U_106,P1,U_106,P1,U_106,P1,U_106,P1,U_106,P1,U_106,P1
pages.marketingIntel.aiPredict.influencerUGC.u_107,PAT_X,skip,1,15,0,0,전체 채널,PASS,All Channels,PASS,Total Channels,PASS,Total Channels,PASS,Total Channels,PASS,All Channels,PASS,All Channels,PASS,Total Channels,PASS,Total Channels,PASS,Total Channels,PASS,Total Channels,PASS,Total Channels,PASS,Total Channels,PASS,Total Channels,PASS,All Channels,PASS
pages.marketingIntel.aiPredict.influencerUGC.u_108,PAT_X,translate,0,0,15,0,U_108,P1,U_108,P1,U_108,P1,U_108,P1,U_108,P1,U_108,P1,U_108,P1,U_108,P1,U_108,P1,U_108,P1,U_108,P1,U_108,P1,U_108,P1,U_108,P1,U_108,P1
pages.marketingIntel.aiPredict.influencerUGC.u_109,PAT_X,skip,1,15,0,0,순위,PASS,Ranking,PASS,Ranking,PASS,Ranking,PASS,Ranking,PASS,Ranking,PASS,Ranking,PASS,Ranking,PASS,Ranking,PASS,Ranking,PASS,Ranking,PASS,Ranking,PASS,Ranking,PASS,Ranking,PASS,Ranking,PASS
pages.marketingIntel.aiPredict.influencerUGC.u_11,PAT_X,skip,1,15,0,0,크리에이터,PASS,Creator,PASS,Creator,PASS,Creator,PASS,Creator,PASS,Creator,PASS,Creator,PASS,Creator,PASS,Creator,PASS,Creator,PASS,Creator,PASS,Creator,PASS,Creator,PASS,Creator,PASS,Creator,PASS
pages.marketingIntel.aiPredict.influencerUGC.u_110,PAT_X,skip,1,15,0,0,등급,PASS,Tier,PASS,Tier,PASS,Tier,PASS,Tier,PASS,Tier,PASS,Tier,PASS,Tier,PASS,Tier,PASS,Tier,PASS,Tier,PASS,Tier,PASS,Tier,PASS,Tier,PASS,Tier,PASS
